tconst,wikidata_title,wikidata_directors,wikidata_writers
tt0012016,Buried Treasure,George D. Baker,\N
tt0012065,O Condenado,\N,\N
tt0012446,Man Overboard,Karl Grune,\N
tt0012586,The Primal Law,Bernard Durning,Paul Schofield
tt0013366,Q17396765,Paul Bern,\N
tt0013415,\N,\N,\N
tt0013437,\N,\N,\N
tt0013484,\N,\N,\N
tt0013732,Sunken Worlds,Siegfried Philippi,\N
tt0013746,Western Speed,Scott R. Dunlap,\N
tt0013814,The Abysmal Brute,Hobart Henley,\N
tt0014206,The Little Red Schoolhouse,John G. Adolfi,\N
tt0014341,Our Hospitality,Buster Keaton; John G. Blystone,Joseph A. Mitchell; Jean Havez; Clyde Bruckman
tt0014611,Why Worry?,Sam Taylor,Sam Taylor; Ted Wilde
tt0014769,Cheap Kisses,John Ince,\N
tt0014799,The Conspirators,Sinclair Hill,\N
tt0014822,The Dangerous Blonde,Robert F. Hill,\N
tt0014827,Daring Chances,Clifford Smith,\N
tt0014980,\N,\N,\N
tt0015077,Lolita la huérfana,Aureliano González,Aureliano González; Alejandro Olabarria
tt0015248,The Price She Paid,Henry MacRae,\N
tt0015382,\N,\N,\N
tt0015528,Q10727103,John Lindlöf,\N
tt0015734,\N,\N,\N
tt0015764,\N,\N,\N
tt0015997,The Stationmaster,Ivan Moskvin; Yuri Zhelyabuzhsky,Nikolai Kovarsky; Fedor Ozep
tt0016029,The Little Colonel,David Butler,William Conselman
tt0016042,The Love Gamble,Edward LeSaint,\N
tt0016044,The Love Hour,Herman C. Raymaker,Bess Meredyth
tt0016255,\N,\N,\N
tt0016316,Scandal Street,Whitman Bennett,\N
tt0016374,A Son of His Father,Victor Fleming,\N
tt0016522,\N,\N,\N
tt0016633,Beatrice Cenci,Baldassarre Negroni,\N
tt0016642,"Bertha, the Sewing Machine Girl",Irving Cummings,Gertrude Orr
tt0016652,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander
tt0016682,The Broadway Boob,Joseph Henabery,Monte M. Katterjohn
tt0016765,The Dangerous Dub,Richard Thorpe,\N
tt0016832,Exit Smiling,Sam Taylor,Sam Taylor; Joseph Farnham
tt0016884,Flesh and the Devil,Clarence Brown,Benjamin Glazer
tt0016946,Hands Across the Border,David Kirkland,\N
tt0017051,Laddie,James Leo Meehan,\N
tt0017156,The Miracle of Life,Stanner E.V. Taylor,\N
tt0017561,Wild to Go,Robert De Lacey,\N
tt0017723,By Whose Hand?,Walter Lang,\N
tt0017845,One Plus One Equals Three,Felix Basch,Béla Balázs
tt0017874,\N,\N,\N
tt0018084,Let It Rain,Edward F. Cline,Wade Boteler
tt0018164,The Missing Link,Charles Reisner,\N
tt0018479,A Texas Steer,Richard Wallace,Garrett Graham
tt0018515,Two Arabian Knights,Lewis Milestone,"Wallace Smith; Cyril Gardner; George Marion, Jr."
tt0018606,Sword of Penitence,Yasujirō Ozu,Kōgo Noda; Yasujirō Ozu
tt0018719,\N,\N,\N
tt0018842,Domestic Meddlers,James Flood,\N
tt0018853,Driftwood,Christy Cabanne,\N
tt0019076,Law of the Mounted,J. P. McGowan,\N
tt0019175,My Son,Yevgeni Chervyakov,\N
tt0019292,Prep and Pep,David Butler,John Stone
tt0019380,The Showdown,Victor Schertzinger,\N
tt0019463,That's My Daddy,Fred C. Newmeyer,\N
tt0019663,\N,\N,\N
tt0019877,Figaro,Tony Lekain,\N
tt0019992,The Hole in the Wall,Robert Florey,Pierre Collings
tt0020000,Hot Stuff,Mervyn LeRoy,\N
tt0020081,The Last of Mrs. Cheyney,Sidney Franklin,Claudine West; Hanns Kräly
tt0020261,The Passion Song,Harry O. Hoyt,\N
tt0020475,Diary of a Lost Girl,Georg Wilhelm Pabst,Margarete Böhme
tt0020867,The Eyes of the World,Henry King,\N
tt0020942,Grumpy,George Cukor; Cyril Gardner,\N
tt0021299,\N,\N,\N
tt0021412,The Spoilers,Edwin Carewe,\N
tt0021707,Los calaveras,James W. Horne; James Parrott,H. M. Walker
tt0021746,Cimarron,Wesley Ruggles,Howard Estabrook
tt0021905,A Gentleman of Paris,Sinclair Hill,Sewell Collins
tt0022371,Sheer Luck,Bruce M. Mitchell,\N
tt0022509,Tukkipojan morsian,Erkki Karu,\N
tt0022582,The Yellow Ticket,Raoul Walsh,Jules Furthman
tt0022771,Ladies Hairdresser,René Guissart,\N
tt0023749,Air Hostess,Albert S. Rogell,\N
tt0023941,Destination Unknown,Tay Garnett,Tom Buckingham
tt0023987,Enemy of the Police,George King,\N
tt0024046,Gallant Lady,Gregory La Cava,Sam Mintz
tt0024343,Mistigri,Harry Lachman,Marcel Achard
tt0024370,\N,\N,\N
tt0024383,Night of the Garter,Jack Raymond,Wilson Collison
tt0024653,Their Night Out,Harry Hughes,\N
tt0024690,Trailing North,John P. McCarthy,\N
tt0026050,Q3818240,\N,\N
tt0026073,Annie Oakley,George Stevens,Joel Sayre; John Twist
tt0026605,The Last Days of Pompeii,Merian C. Cooper; Ernest B. Schoedsack,Ruth Rose; James Ashmore Creelman
tt0026949,The Roof,George A. Cooper,\N
tt0027075,A Tale of Two Cities,Robert Z. Leonard; Jack Conway,W. P. Lipscomb; S. N. Behrman
tt0027330,Ballerine,Gustav Machatý,Albrecht Joseph
tt0027393,Brand of the Outlaws,Robert N. Bradbury,\N
tt0027687,The Golden Arrow,Alfred Edward Green,Charles Kenyon
tt0027710,Q23788296,Martin Frič,Hugo Haas; Tr. Georg Wittuhn; Otakar Vávra
tt0027918,\N,\N,\N
tt0028145,Public Nuisance No. 1,Marcel Varnel,Franz Arnold
tt0028158,Ramona,Henry King,Lamar Trotti; Sonya Levien
tt0028501,White Fang,David Butler,\N
tt0028534,Q113957163,Eduardo Ugarte; José Luis Sáenz de Heredia; Luis Buñuel,Eduardo Ugarte; Enrique Horta; Luis Buñuel
tt0028873,The Firefly,Robert Z. Leonard; Joseph M. Newman,Albert Hackett; Ogden Nash; Frances Goodrich
tt0029157,"Live, Love and Learn",George Fitzmaurice,Charles Brackett
tt0029280,The Mutiny of the Elsinore,Roy Lockwood,Roy Lockwood
tt0029380,Partners in Crime,Ralph Murphy,Gladys Buchanan Unger
tt0029482,Rhythm in the Clouds,John H. Auer,\N
tt0029519,Said O'Reilly to McNab,William Beaudine,Leslie Arliss
tt0029764,When's Your Birthday?,Harry Beaumont,Harvey Gates
tt0030142,Flirting with Fate,Frank McDonald,Joseph Moncure March
tt0030325,The Great and the Little Love,Josef von Báky,Heinrich Oberländer
tt0030384,Lord Jeff,Sam Wood,James Kevin McGuinness
tt0030479,My Bill,John Farrow,Vincent Sherman
tt0030516,\N,\N,\N
tt0030579,Die Pfingstorgel,Franz Seitz Sr.,\N
tt0030704,Q11891550,Yrjö Norta,\N
tt0030841,Tenth Avenue Kid,Bernard Vorhaus,Gordon Kahn
tt0030906,Q3819763,Piero Ballerini,Piero Ballerini; Giuseppe Guarino
tt0030913,The Impossible Mister Pitt,Harry Piel,Georg Mühlen-Schulte
tt0031018,Across the Plains,Jack Randall; Spencer Gordon Bennet,\N
tt0031277,The Life and Loves of Tschaikovsky,Carl Froelich,Géza von Cziffra; Tr. Georg Wittuhn; Frank Thiess
tt0031337,Woman at the Wheel,Paul Martin,\N
tt0031440,Honeymoon in Bali,Edward H. Griffith,Virginia Van Upp
tt0031585,Law of the North,Jacques Feyder,Jacques Feyder
tt0031633,\N,\N,\N
tt0031826,The Private Lives of Elizabeth and Essex,Michael Curtiz,Æneas MacKenzie; Norman Reilly Raine; Maxwell Anderson
tt0031889,Saga of Death Valley,Joseph Kane,\N
tt0031914,Seven Brothers,Wilho Ilmari,\N
tt0031925,Silver on the Sage,Lesley Selander,Maurice Geraghty
tt0032456,The Farmer's Daughter,James P. Hogan,Lewis R. Foster
tt0032699,Let George Do It!,Marcel Varnel,Basil Dearden
tt0033155,Those Were the Days!,Theodore Reed,\N
tt0033766,It Started with Eve,Henry Koster,Norman Krasna
tt0034086,Reaching for the Sun,William A. Wellman,\N
tt0034164,Secret Evidence,William Nigh,\N
tt0034249,They Met in Moscow,Ivan Pyryev,Viktor Gusev
tt0034379,Week-End in Havana,Walter Lang,Karl Tunberg
tt0034593,China Girl (1942 film),Henry Hathaway,Ben Hecht
tt0034739,Flight Lieutenant,Sidney Salkow,Michael Blankfort
tt0034853,Highways by Night,Peter Godfrey,\N
tt0034941,Kid Glove Killer,Fred Zinnemann,John C. Higgins
tt0035089,Mr. Celebrity,William Beaudine,\N
tt0035111,Nai Duniya,Abdur Rashid Kardar,\N
tt0035117,\N,\N,\N
tt0035151,Once Upon a Honeymoon,Leo McCarey,Leo McCarey; Sheridan Gibney
tt0035462,Tower of Terror,Lawrence Huntington,John Reinhardt
tt0035591,Between Heaven and Earth,Harald Braun,\N
tt0035726,The Chance of a Lifetime,William Castle,\N
tt0036017,Hostages,Frank Tuttle,Frank Butler
tt0036177,The Rickshaw Man,Hiroshi Inagaki,\N
tt0036347,She's for Me,Q86685,\N
tt0036515,Watch on the Rhine,Herman Shumlin; Hal Mohr,Lillian Hellman; Dashiell Hammett
tt0036580,"Adam, Eve and the Devil",Alfredo B. Crevenna,\N
tt0036595,Q92747906,Gustav Ucicky,Gerhard Menzel
tt0037011,Law of the Valley,Howard Bretherton,\N
tt0037133,\N,\N,\N
tt0037430,Via Mala,Josef von Báky,Thea von Harbou
tt0037737,Getting Gertie's Garter,Allan Dwan,Karen DeWolf; Allan Dwan
tt0038728,Martin Roumagnac,Georges Lacombe,Pierre Véry
tt0038819,Ouvert pour cause d'inventaire,Alain Resnais,\N
tt0038853,Gates of the Night,Marcel Carné,Jacques Prévert
tt0038873,The Razor's Edge,Edmund Goulding,Lamar Trotti
tt0038902,Tell the Truth,Helmut Weiss,Ernst Marischka
tt0039024,This Man Is Mine,Marcel Varnel,Reginald Beckwith
tt0039310,The Last Vacation,Roger Leenhardt,\N
tt0039527,No Place for Love,Hans Deppe,\N
tt0039816,Seven Were Saved,William H. Pine,\N
tt0039951,Variety Girl,George Marshall,Edmund Hartmann; Monte Brice; Robert L. Welch; Frank Tashlin
tt0039959,Vigilantes of Boomtown,R. G. Springsteen,\N
tt0040074,Adventures in Silverado,Phil Karlson,\N
tt0040105,The Original Sin,Helmut Käutner,Kurd Erich Heyne
tt0040326,The Maragatan Sphinx,Antonio de Obregón,Concha Espina
tt0040410,Gunning for Justice,Ray Taylor,\N
tt0040444,Hollow Triumph,Steve Sekely,Daniel Fuchs
tt0040746,Rope,Alfred Hitchcock,Ben Hecht; Hume Cronyn; Arthur Laurents; Patrick Hamilton
tt0040903,Triggerman (film),Howard Bretherton,\N
tt0041296,Dick Barton Strikes Back,Godfrey Grayson,\N
tt0041392,Frontier Investigator,Fred C. Brannon,\N
tt0041626,The Man from Yesterday,Oswald Mitchell,John Gilling
tt0041764,\N,\N,\N
tt0042255,Black Jack,Julien Duvivier; José Antonio Nieves Conde,Julien Duvivier; Charles Spaak
tt0042478,The Franchise Affair,Lawrence Huntington,\N
tt0042482,Frenchie,Louis King,Oscar Brodney
tt0042992,Square Dance Katy,Jean Yarbrough,\N
tt0043021,Séraphin,Paul Gury,Claude-Henri Grignon; Paul Gury
tt0043515,El Extraño caso del hombre y la bestia,Mario Soffici,Ulyses Petit de Murat; Mario Soffici
tt0043708,The Kid from Amarillo,Ray Nazarro,\N
tt0044043,Skipalong Rosenbloom,Sam Newfield,Dean Riesner
tt0044147,Streetwalker,Matilde Landeta,\N
tt0044210,Whirlwind,John English,\N
tt0044569,Rose of the Mountain,Hubert Marischka,Rudolf Oesterreicher
tt0044582,The Firebird,Hasse Ekman,Hasse Ekman
tt0044814,Q12323349,Asbjørn Andersen,Helge Kjærulff-Schmidt
tt0044848,Lockende Sterne,Hans Müller,Otto Heinz Jahn
tt0044852,Love Is Better Than Ever,Stanley Donen,Ruth Brooks Flippen
tt0044928,Mr. Denning Drives North,Anthony Kimmins,Alec Coppel
tt0044966,Night Stage to Galveston,George Archainbaud,\N
tt0045354,What Madness!,Ramón Torrado,Ramón Torrado
tt0045525,Before the Deluge,André Cayatte,André Cayatte; Charles Spaak
tt0045595,The Bandit of Brazil,Lima Barreto,Lima Barreto; Rachel de Queiroz
tt0045834,\N,\N,\N
tt0045873,The Milkmaid,Toivo Särkkä,Juha Nevalainen
tt0046161,The Red Beret,Terence Young,Sy Bartlett; Richard Maibaum; Frank S. Nugent
tt0046322,Siren of Bagdad,Richard Quine,Robert E. Kent
tt0046369,Steppe Dawns,Lev Saakov,\N
tt0046394,Diary of a Married Woman,Josef von Báky,Johannes Mario Simmel; Emil Burri
tt0046429,Thérèse Raquin,Marcel Carné,Marcel Carné; Charles Spaak
tt0046467,Dreaming Lips,Josef von Báky,Paul Czinner
tt0046492,The Vanquished,Edward Ludwig,Lewis R. Foster
tt0047054,The Big Star Parade,Paul Martin,Ernst Neubach
tt0047267,Q18438908,Camillo Mastrocinque,Camillo Mastrocinque; Gianni Puccini
tt0047673,White Christmas,Michael Curtiz,Norman Panama; Norman Krasna; Melvin Frank
tt0048006,Beautiful But Dangerous,Robert Z. Leonard,Piero Pierotti; Luciano Martino; Franco Solinas; Mario Monicelli
tt0048082,The Girl in the Rain,Alf Kjellin,Volodja Semitjov
tt0048212,Io piaccio,Giorgio Bianchi,Marcello Marchesi; Vittorio Metz
tt0048284,Q98140182,Amvrosy Buchma; Aleksei Shvachko,Aleksei Shvachko
tt0048779,Golden Vein,Mauro Bolognini,Jacques Rémy
tt0049018,Women Without Men,Elmo Williams,Val Guest
tt0049149,A Weary Road,Valentin Nevzorov; Leonid Gaidai,Boris Brodsky; Mikhail Romm
tt0049158,Q1250551,Otto Meyer,Theodor Ottawa
tt0049392,Imperial and Royal Field Marshal,E. W. Emo,\N
tt0049431,The Last Frontier,Anthony Mann,Philip Yordan
tt0049465,\N,\N,\N
tt0049603,Different Fortunes,Leonid Lukov,Leonid Lukov
tt0049775,As Long as the Roses Bloom,Hans Deppe,Julius Joachim Bartsch
tt0049864,Tosca,Carmine Gallone,Giuseppe Giacosa
tt0049961,A Woman's Devotion,Paul Henreid,Robert Hill
tt0050155,Baby Face Nelson,Don Siegel,Daniel Mainwaring
tt0050296,Decision at Sundown,Budd Boetticher,Charles Lang
tt0050302,The Delinquents,Robert Altman,Robert Altman
tt0050583,Q89190359,Hans Heinz König,Johannes Kai
tt0050723,Monster from Green Hell,Kenneth G. Crane,Endre Bohem
tt0050778,Not of This Earth,Roger Corman,Mark Hanna; Charles B. Griffith
tt0050816,Panama Sal,William Witney,\N
tt0050934,The Scamp,Wolf Rilla,Wolf Rilla
tt0050980,School for Fathers,Ladislav Helge,Ivan Kříž
tt0050992,La sombra del otro,Gilberto Martínez Solares,\N
tt0051199,The Winemaker of Langenlois,Hans Heinz König,Janne Furch; Werner Eplinius
tt0051211,Times of Joy and Sorrow,Keisuke Kinoshita,Keisuke Kinoshita
tt0051407,The Beautiful Legs of Sabrina,Camillo Mastrocinque,Piero Pierotti; Vittorio Metz
tt0051490,Les copains du dimanche,Henri Aisner,\N
tt0051492,Count Five and Die,Victor Vicas,\N
tt0051755,I Bury the Living,Albert Band,Louis Garfinkle
tt0051851,The Law Is the Law,Christian-Jaque,Agenore Incrocci; Jean-Charles Tacchella; Jean Manse; Furio Scarpelli; Christian-Jaque
tt0051857,\N,\N,\N
tt0051899,Man of the West,Anthony Mann,Reginald Rose
tt0051971,Münchhausen in Afrika,Werner Jacobs,Max Nosseck
tt0052042,Il padrone delle ferriere,Anton Giulio Majano,Anton Giulio Majano
tt0052605,Battle Flame,R. G. Springsteen,\N
tt0052652,Broth of a Boy,George Pollock,\N
tt0052812,Floods of Fear,Charles Crichton,Charles Crichton
tt0052918,Imitation of Life,Douglas Sirk,Eleanore Griffin; Fannie Hurst; Allan Scott
tt0053188,The Price of Silence,Montgomery Tully,\N
tt0053435,What a Woman Dreams of in Springtime,Erik Ode,Curth Flatow
tt0053562,Q10397430,Åke Grönberg,Lennart Ekström
tt0053797,Doctor Ahrendt's Decision,Frank Vogel,\N
tt0054285,Atom Age Vampire,Anton Giulio Majano,Alberto Bevilacqua
tt0054332,\N,\N,\N
tt0054363,For Men Only,Fernando Fernán Gómez,Fernando Fernán Gómez; Miguel Mihura
tt0054463,Watch Your Stern,Gerald Thomas,Alan Hackney
tt0054492,De zaak M.P.,Bert Haanstra,\N
tt0054660,The Gang of Eight,Tulio Demicheli,Pedro Mario Herrero; Florentino Soria
tt0054703,The Italian Brigands,Mario Camerini,Diego Fabbri; Luciano Vincenzoni; Ghigo De Chiara; Ivo Perilli; Rodolfo Sonego
tt0054910,Ganga Jamna,Nitin Bose,Dilip Kumar
tt0054918,The George Raft Story,Joseph M. Newman,Crane Wilbur
tt0055383,Romanoff and Juliet,Peter Ustinov,Peter Ustinov
tt0055944,Q9248640,Antoni Bohdziewicz,Tadeusz Wybult
tt0056015,Gentlemen Prefer Nature Girls,Doris Wishman,Doris Wishman
tt0056085,How the West Was Won,John Ford; Henry Hathaway; George Marshall,James R. Webb
tt0056110,It's Only Money,Frank Tashlin,\N
tt0056223,The Sea,Giuseppe Patroni Griffi,Giuseppe Patroni Griffi
tt0056831,Apartmentzauber,Helmuth M. Backhaus,Helmuth M. Backhaus
tt0057111,Goldilocks and the Three Bares,Herschell Gordon Lewis,\N
tt0057166,\N,\N,\N
tt0057171,"Yesterday, Today and Tomorrow",Vittorio De Sica,Cesare Zavattini; Eduardo De Filippo; Marialisa Pedroni Zanuso; Isabella Quarantotti
tt0057225,Kings of the Sun,J. Lee Thompson,James R. Webb
tt0057431,\N,\N,\N
tt0057534,\N,\N,\N
tt0058122,The Guns,Ruy Guerra,Miguel Torres de Andrade; Ruy Guerra
tt0058132,Secret of the Chinese Carnation,Rudolf Zehetgruber,Rudolf Zehetgruber
tt0058313,\N,\N,\N
tt0058454,Not Three,Alain Bornet,\N
tt0058500,The Pumpkin Eater,Jack Clayton,Harold Pinter
tt0058690,The Troublemaker,Theodore J. Flicker,Buck Henry
tt0058711,Heat,Kazimierz Kutz,Jadwiga Berens; Jeremi Przybora
tt0058876,\N,\N,\N
tt0059038,Five Dollars for Ringo,Juan Xiol Marchal; Ignacio F. Iquino,Ignacio F. Iquino
tt0059056,The Exterminators,Riccardo Freda,Riccardo Freda
tt0059104,Snow Devils,Antonio Margheriti,Renato Moretti
tt0059120,Two Mafiamen in the Far West,Giorgio Simonelli,Marcello Ciorciolini
tt0059348,Kapurush,Satyajit Ray,Satyajit Ray
tt0059550,Operation Y and Other Shurik's Adventures,Leonid Gaidai,Moris Slobodskoy; Leonid Gaidai; Yakov Kostyukovsky
tt0059678,The Satan Bug,John Sturges,Edward Anhalt; James Clavell
tt0059685,Die schwedische Jungfrau,Kurt Wilhelm,Franz Seitz Jr.; Ilse Lotz-Dupont
tt0059686,Tread Softly,Fritz Umgelter,George Hurdalek
tt0060094,The Alphabet Murders,Frank Tashlin,\N
tt0060143,"Texas, Adios",Ferdinando Baldi,Franco Rossetti; Ferdinando Baldi
tt0060490,Harper,Jack Smight,William Goldman
tt0060492,He Who Rides a Tiger,Charles Crichton,\N
tt0060519,Hotel alojamiento,Fernando Ayala,\N
tt0060766,Nu Stiger Den,Annelise Hovmand,Annelise Hovmand; Jørgen Hartmann-Petersen
tt0060886,Rebeldes en Canadá,Amando de Ossorio Rodríguez,Amando de Ossorio Rodríguez
tt0060888,\N,\N,\N
tt0061530,Black Birds,Eduard Galić,Grgo Gamulin
tt0061628,Veneri in collegio,Marino Girolami,Ricardo Núñez; Tito Carpi
tt0061748,The Happening,Elliot Silverstein,Frank Pierson
tt0062213,\N,\N,\N
tt0062973,"Finders Keepers, Lovers Weepers!",Russ Meyer,Russ Meyer
tt0063043,Parole Korn,Waldemar Podgórski,Marian Reniak
tt0063192,Sinai Commandos,Raphael Nussbaum,\N
tt0063321,Sensuous Taboo,Lee Frost,\N
tt0063344,\N,\N,\N
tt0063374,The Odd Couple,Gene Saks,Neil Simon
tt0063398,Q11800594,Paweł Komorowski,Jerzy Lutowski
tt0063567,Shots Under the Gallows,Horst Seemann,\N
tt0063643,"Stay Away, Joe",Peter Tewksbury,Michael A. Hoey
tt0063715,Spirits of the Dead,Louis Malle; Roger Vadim; Federico Fellini,Daniel Boulanger; Roger Vadim; Federico Fellini; Louis Malle; Bernardino Zapponi
tt0064046,\N,\N,\N
tt0064120,Caliche sangriento,Helvio Soto Soto,\N
tt0064124,A Candidate for a Killing,José María Elorrieta,\N
tt0064231,The Devil's 8,Burt Topper,John Milius
tt0064414,Q23564249,Herbert Ballmann,\N
tt0064602,The Lost Man,Robert Alan Aurthur,Robert Alan Aurthur
tt0064610,Q1349744,Franz Seitz Jr.,Franz Seitz Jr.
tt0064689,Monterey Pop,D. A. Pennebaker,\N
tt0064893,Ring of Bright Water,Jack Couffer,\N
tt0064934,Sappho Darling,Albert Zugsmith,Albert Zugsmith
tt0065062,Q15807530,Kurt Hoffmann,\N
tt0065130,Turistas y bribones,Fernando Merino,Jaime Jesús Balcázar
tt0065870,\N,\N,\N
tt0066056,The Man from O.R.G.Y.,James Hill,\N
tt0066811,The Barefoot Executive,Robert Butler,Joseph L. McEveety
tt0066909,The Man From The Other Side,Yuri Yegorov,Vasily Solovyov; Yuri Yegorov; Emil Braginsky; Volodja Semitjov
tt0066963,Dad's Army,Norman Cohen,Jimmy Perry; David Croft
tt0067012,Sleeping Beauty,Walter Beck,\N
tt0067093,Fiddler on the Roof,Norman Jewison,Joseph Stein
tt0067274,Jo,Jean Girault,Claude Magnier
tt0067365,The Lonely Violent Beach,Ernesto Gastaldi,Ernesto Gastaldi
tt0067369,Der lüsterne Türke,Michael Miller,\N
tt0067477,Naughty!,Stanley Long,\N
tt0067506,The Rebellious Novice,Luis Lucia Mingarro,Luis Lucia Mingarro
tt0067634,The Pursuit of Happiness,Robert Mulligan,\N
tt0067796,\N,\N,\N
tt0067800,Straw Dogs,Sam Peckinpah,David Zelag Goodman; Sam Peckinpah
tt0067922,Vale do Canaã,Jece Valadão,\N
tt0068502,Dr. Jekyll and Sister Hyde,Roy Ward Baker,Brian Clemens
tt0068711,The Honkers,Steve Ihnat,\N
tt0068944,One Billion for a Blonde,Pedro Lazaga,\N
tt0068980,Muschimaus mag's grad heraus,Hubert Frank,Hubert Frank
tt0069670,\N,\N,\N
tt0069691,Alpha,Ola Balogun,\N
tt0069775,"Bella, ricca, lieve difetto fisico, cerca anima gemella",Nando Cicero,Giancarlo Fusco; Nando Cicero; Sandro Continenza
tt0069995,Don't Look Now,Nicolas Roeg,Chris Bryant; Allan Scott; Daphne du Maurier
tt0070051,Heroes Two,Chang Cheh,\N
tt0070183,Hit!,Sidney J. Furie,Alan Trustman
tt0070271,Kincskeresö kisködmön,Mihály Szemes,Mihály Szemes; Marianne Szemes
tt0070437,Bequest to the Nation,James Cellan Jones,Terence Rattigan
tt0070601,Repelsteeltje,Harry Kümel,Harry Kümel
tt0070647,Hubertus Castle,Harald Reinl,Werner P. Zibaso
tt0071308,Evil of Dracula,Michio Yamamoto,\N
tt0071733,"Lacombe, Lucien",Louis Malle,Patrick Modiano; Louis Malle
tt0071762,The Little Prince,Stanley Donen,Alan Jay Lerner
tt0072270,\N,\N,\N
tt0072446,The Promised Land,Andrzej Wajda,Andrzej Wajda; Władysław Reymont
tt0072616,\N,\N,\N
tt0072676,Man Without a Name,László Lugossy,\N
tt0073021,Lady Inger of Ostrat,Sverre Udnæs,Åse Vikene
tt0073519,Blood River,Gianfranco Baldanello,Gianfranco Baldanello
tt0073594,Four of the Apocalypse,Lucio Fulci,Ennio de Concini
tt0074146,Holy Year,Jean Girault,Louis-Émile Galey
tt0074166,La Aventura explosiva,Ricardo Bauleo,\N
tt0074210,Black Fist,Timothy Galfas,Tim Kelly
tt0074231,The Good and the Bad,Claude Lelouch,Claude Lelouch
tt0074271,\N,\N,\N
tt0074420,Doktor Judym,Włodzimierz Haupe,Włodzimierz Haupe; Andrzej Szczypiorski
tt0074700,L'Italia s'è rotta,Steno,Sergio Donati; Steno; Luciano Vincenzoni
tt0074883,Maîtresse,Barbet Schroeder,Barbet Schroeder
tt0075018,The Opening of Misty Beethoven,Radley Metzger,Radley Metzger
tt0075019,Operation Daybreak,Lewis Gilbert,Ronald Harwood
tt0075210,The Sleeping Lion,Mahmoud Koushan; Esmail Koushan,Esmail Koushan
tt0075243,Her Venetian Name in Deserted Calcutta,Q153248,\N
tt0076029,Fire Sale,Alan Arkin,Robert Klane
tt0076339,\N,\N,\N
tt0076415,Guardian of the Wilderness,David O'Malley,David O'Malley
tt0076552,Q16389832,Vladimir Zlatoustovsky,Nikolai Figurovsky
tt0076660,Death Duel,Chor Yuen,Chor Yuen
tt0076687,\N,\N,\N
tt0076688,Servant and Mistress,Bruno Gantillon,\N
tt0076873,"The Virgo, the Taurus and the Capricorn",Luciano Martino,Francesco Milizia; Luciano Martino; Cesare Frugoni
tt0077581,Q27832312,Hans Noever,Hans Noever
