tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0018719,Breed of the Sunsets,Wallace Fox,Stanner E.V. Taylor,\N,\N,\N
tt0018842,\N,\N,\N,Domestic Meddlers,James Flood,\N
tt0018853,Driftwood,Christy Cabanne,Richard Harding Davis,Driftwood,Christy Cabanne,\N
tt0019076,\N,\N,\N,Law of the Mounted,J. P. McGowan,\N
tt0019175,My Son,Yevgeni Chervyakov,Yevgeni Chervyakov; Yuri Gromov; Nikolay Dirin,My Son,Yevgeni Chervyakov,\N
tt0019292,Prep and Pep,David Butler,John Stone; Malcolm Stuart Boylan,Prep and Pep,David Butler,John Stone
tt0019380,The Showdown,Victor Schertzinger,Hope Loring; Ethel Doherty,The Showdown,Victor Schertzinger,\N
tt0019463,That's My Daddy,Fred C. Newmeyer,Albert DeMond; Reginald Denny; Earle Snell,That's My Daddy,Fred C. Newmeyer,\N
tt0019663,\N,\N,\N,\N,\N,\N
tt0019877,Figaro,Tony Lekain; Gaston Ravel,Tony Lekain; Gaston Ravel,Figaro,Tony Lekain,\N
tt0019992,The Hole in the Wall,Robert Florey,Pierre Collings; Frederick J. Jackson,The Hole in the Wall,Robert Florey,Pierre Collings
tt0020000,Hot Stuff,Mervyn LeRoy,Louis Stevens; Robert S. Carr; Humphrey Pearson,Hot Stuff,Mervyn LeRoy,\N
tt0020081,The Last of Mrs. Cheyney,Sidney Franklin,Hanns Kräly,The Last of Mrs. Cheyney,Sidney Franklin,Claudine West; Hanns Kräly
tt0020261,\N,\N,\N,The Passion Song,Harry O. Hoyt,\N
tt0020475,Diary of a Lost Girl,G.W. Pabst,Rudolf Leonhardt,Diary of a Lost Girl,Georg Wilhelm Pabst,Margarete Böhme
tt0020867,The Eyes of the World,Henry King,Harold Bell Wright; Brewster Morse; Clarke Silvernail,The Eyes of the World,Henry King,\N
tt0020942,Grumpy,George Cukor; Cyril Gardner,Doris Anderson,Grumpy,George Cukor; Cyril Gardner,\N
tt0021299,Ridin' Law,Harry S. Webb,\N,\N,\N,\N
tt0021412,The Spoilers,Edwin Carewe,Bartlett Cormack; Agnes Brand Leahy,The Spoilers,Edwin Carewe,\N
tt0021707,The Skulls,James W. Horne,\N,Los calaveras,James W. Horne; James Parrott,H. M. Walker
tt0021746,Cimarron,Wesley Ruggles,Howard Estabrook,Cimarron,Wesley Ruggles,Howard Estabrook
tt0021905,A Gentleman of Paris,Sinclair Hill,Sidney Gilliat; Sewell Collins,A Gentleman of Paris,Sinclair Hill,Sewell Collins
tt0022371,Sheer Luck,Bruce Mitchell,Bruce Mitchell,Sheer Luck,Bruce M. Mitchell,\N
tt0022509,Tukkipojan morsian,Erkki Karu,Erkki Karu,Tukkipojan morsian,Erkki Karu,\N
tt0022582,The Yellow Ticket,Raoul Walsh,Jules Furthman; Guy Bolton,The Yellow Ticket,Raoul Walsh,Jules Furthman
tt0022771,Ladies Hairdresser,René Guissart,René Guissart,Ladies Hairdresser,René Guissart,\N
tt0023749,Air Hostess,Albert S. Rogell,Milton Raison,Air Hostess,Albert S. Rogell,\N
tt0023941,Destination Unknown,Tay Garnett,Tom Buckingham,Destination Unknown,Tay Garnett,Tom Buckingham
tt0023987,Enemy of the Police,George King,\N,Enemy of the Police,George King,\N
tt0024046,Gallant Lady,Gregory La Cava,Sam Mintz; Douglas Z. Doty; Gilbert Emery,Gallant Lady,Gregory La Cava,Sam Mintz
tt0024343,Mistigri,Harry Lachman,\N,Mistigri,Harry Lachman,Marcel Achard
tt0024370,The Night of the Great Love,Géza von Bolváry,Martha Albrand; Martha Albrand,\N,\N,\N
tt0024383,Night of the Garter,Jack Raymond,Austin Melford; Marjorie Gaffney,Night of the Garter,Jack Raymond,Wilson Collison
tt0024653,Their Night Out,Harry Hughes,Harry Hughes,Their Night Out,Harry Hughes,\N
tt0024690,Trailing North,John P. McCarthy,Harry L. Fraser,Trailing North,John P. McCarthy,\N
tt0026050,\N,\N,\N,Q3818240,\N,\N
tt0026073,Annie Oakley,George Stevens,John Twist; Joel Sayre; Joseph Fields; Ewart Adamson,Annie Oakley,George Stevens,Joel Sayre; John Twist
tt0026605,The Last Days of Pompeii,Ernest B. Schoedsack,Ruth Rose,The Last Days of Pompeii,Merian C. Cooper; Ernest B. Schoedsack,Ruth Rose; James Ashmore Creelman
tt0026949,The Roof,George A. Cooper,\N,The Roof,George A. Cooper,\N
tt0027075,A Tale of Two Cities,Jack Conway,W.P. Lipscomb; S. N. Behrman,A Tale of Two Cities,Robert Z. Leonard; Jack Conway,W. P. Lipscomb; S. N. Behrman
tt0027330,Ballerine,Gustav Machatý,Rudolf S. Joseph; Albrecht Joseph; Leo Bomba,Ballerine,Gustav Machatý,Albrecht Joseph
tt0027393,Brand of the Outlaws,Robert N. Bradbury,Forbes Parkhill; Forbes Parkhill,Brand of the Outlaws,Robert N. Bradbury,\N
tt0027687,The Golden Arrow,Alfred E. Green,Charles Kenyon; Michael Arlen,The Golden Arrow,Alfred Edward Green,Charles Kenyon
tt0027710,A Little Street in Paradise,Martin Frič,Otakar Vávra; Georg Wittuhn; Hugo Haas,Q23788296,Martin Frič,Hugo Haas; Tr. Georg Wittuhn; Otakar Vávra
tt0027918,\N,\N,\N,\N,\N,\N
tt0028145,Public Nuisance No. 1,Marcel Varnel,Val Guest,Public Nuisance No. 1,Marcel Varnel,Franz Arnold
tt0028158,Ramona,Henry King,Lamar Trotti,Ramona,Henry King,Lamar Trotti; Sonya Levien
tt0028501,White Fang,David Butler,S.G. Duncan; Gene Fowler; Hal Long,White Fang,David Butler,\N
tt0028534,Who Loves Me?,José Luis Sáenz de Heredia,Eduardo Ugarte; Luis Buñuel,Q113957163,Eduardo Ugarte; José Luis Sáenz de Heredia; Luis Buñuel,Eduardo Ugarte; Enrique Horta; Luis Buñuel
tt0028873,The Firefly,Robert Z. Leonard,Albert Hackett; Frances Goodrich,The Firefly,Robert Z. Leonard; Joseph M. Newman,Albert Hackett; Ogden Nash; Frances Goodrich
tt0029157,"Live, Love and Learn",George Fitzmaurice,Charles Brackett; Richard Maibaum; Cyril Hume; Herman J. Mankiewicz,"Live, Love and Learn",George Fitzmaurice,Charles Brackett
tt0029280,The Mutiny Of The Elsinore,Roy Lockwood,Beaufoy Milton,The Mutiny of the Elsinore,Roy Lockwood,Roy Lockwood
tt0029380,Partners in Crime,Ralph Murphy,Gladys Unger; Garnett Weston,Partners in Crime,Ralph Murphy,Gladys Buchanan Unger
tt0029482,Rhythm in the Clouds,John H. Auer,Nathanael West; Olive Cooper; Ray Bond; George Mence,Rhythm in the Clouds,John H. Auer,\N
tt0029519,Said O'Reilly to McNab,William Beaudine,\N,Said O'Reilly to McNab,William Beaudine,Leslie Arliss
tt0029764,When's Your Birthday?,Harry Beaumont,Harry Clork,When's Your Birthday?,Harry Beaumont,Harvey Gates
tt0030142,Flirting with Fate,Frank McDonald,Daniel Jarrett; A. Dorian Otvos; Joseph Moncure March; Charlie Melson; Ethel La Blanche; Harry Clork,Flirting with Fate,Frank McDonald,Joseph Moncure March
tt0030325,Die kleine und die große Liebe,Josef von Báky,\N,The Great and the Little Love,Josef von Báky,Heinrich Oberländer
tt0030384,Lord Jeff,Sam Wood,Bradford Ropes; Endre Bohem; Val Burton; James Kevin McGuinness,Lord Jeff,Sam Wood,James Kevin McGuinness
tt0030479,My Bill,John Farrow,Vincent Sherman; Robertson White,My Bill,John Farrow,Vincent Sherman
tt0030516,\N,\N,\N,\N,\N,\N
tt0030579,Die Pfingstorgel,Franz Seitz,Heinz Pauck; Alois Johannes Lippl,Die Pfingstorgel,Franz Seitz Sr.,\N
tt0030704,Rykmentin murheenkryyni,Yrjö Norta; T.J. Särkkä,T.J. Särkkä,Q11891550,Yrjö Norta,\N
tt0030841,Tenth Avenue Kid,Bernard Vorhaus,Gordon Kahn; Adele Buffington,Tenth Avenue Kid,Bernard Vorhaus,Gordon Kahn
tt0030906,\N,\N,\N,Q3819763,Piero Ballerini,Piero Ballerini; Giuseppe Guarino
tt0030913,The Impossible Mr. Pitt,Harry Piel,\N,The Impossible Mister Pitt,Harry Piel,Georg Mühlen-Schulte
tt0031018,Across the Plains,Spencer Gordon Bennet,Robert Emmett Tansey,Across the Plains,Jack Randall; Spencer Gordon Bennet,\N
tt0031277,It Was a Gay Ballnight,Carl Froelich,Géza von Cziffra,The Life and Loves of Tschaikovsky,Carl Froelich,Géza von Cziffra; Tr. Georg Wittuhn; Frank Thiess
tt0031337,Woman at the Wheel,Paul Martin,Paul Martin; Paul Hellbracht; Pál Barabás,Woman at the Wheel,Paul Martin,\N
tt0031440,Honeymoon in Bali,Edward H. Griffith,Virginia Van Upp,Honeymoon in Bali,Edward H. Griffith,Virginia Van Upp
tt0031585,Law of the North,Jacques Feyder,Maurice Constantin-Weyer; Alexandre Arnoux; Charles Spaak,Law of the North,Jacques Feyder,Jacques Feyder
tt0031633,\N,\N,\N,\N,\N,\N
tt0031826,The Private Lives of Elizabeth and Essex,Michael Curtiz,Æneas MacKenzie; Norman Reilly Raine,The Private Lives of Elizabeth and Essex,Michael Curtiz,Æneas MacKenzie; Norman Reilly Raine; Maxwell Anderson
tt0031889,Saga of Death Valley,Joseph Kane,Karen DeWolf; Karen DeWolf; Stuart Anthony,Saga of Death Valley,Joseph Kane,\N
tt0031914,Seitsemän veljestä,Wilho Ilmari,Mika Waltari; Kalle Kaarna,Seven Brothers,Wilho Ilmari,\N
tt0031925,Silver on the Sage,Lesley Selander,Maurice Geraghty; Clarence E. Mulford,Silver on the Sage,Lesley Selander,Maurice Geraghty
tt0032456,The Farmer's Daughter,James P. Hogan,Lewis R. Foster; Delmer Daves,The Farmer's Daughter,James P. Hogan,Lewis R. Foster
tt0032699,Let George Do It!,Marcel Varnel,Austin Melford; John Dighton; Angus MacPhail; Basil Dearden,Let George Do It!,Marcel Varnel,Basil Dearden
tt0033155,Those Were the Days!,Theodore Reed,Don Hartman,Those Were the Days!,Theodore Reed,\N
tt0033766,It Started with Eve,Henry Koster,Norman Krasna; Hanns Kräly; Leo Townsend,It Started with Eve,Henry Koster,Norman Krasna
tt0034086,Reaching for the Sun,William A. Wellman,W. L. River,Reaching for the Sun,William A. Wellman,\N
tt0034164,Secret Evidence,William Nigh,Edward Bennett; Brenda Cline,Secret Evidence,William Nigh,\N
tt0034249,Swineherd and Shepherd,Ivan Pyryev,Viktor Gusev,They Met in Moscow,Ivan Pyryev,Viktor Gusev
tt0034379,Week-End in Havana,Walter Lang,Karl Tunberg; Darrell Ware,Week-End in Havana,Walter Lang,Karl Tunberg
tt0034593,China Girl,Henry Hathaway,Ben Hecht; Darryl F. Zanuck,China Girl (1942 film),Henry Hathaway,Ben Hecht
tt0034739,Flight Lieutenant,Sidney Salkow,Michael Blankfort; Richard Carroll; Betty Hopkins,Flight Lieutenant,Sidney Salkow,Michael Blankfort
tt0034853,Highways by Night,Peter Godfrey,Frank Fenton; Lynn Root; Clarence Budington Kelland,Highways by Night,Peter Godfrey,\N
tt0034941,Kid Glove Killer,Fred Zinnemann,John C. Higgins; John C. Higgins; Allen Rivkin,Kid Glove Killer,Fred Zinnemann,John C. Higgins
tt0035089,Mr. Celebrity,William Beaudine,Charles Samuels; Martin Mooney; Martin Mooney,Mr. Celebrity,William Beaudine,\N
tt0035111,Nai Duniya,Abdul Rashid Kardar,\N,Nai Duniya,Abdur Rashid Kardar,\N
tt0035117,Il nemico,Guglielmo Giannini,Guglielmo Giannini; Guglielmo Giannini,\N,\N,\N
tt0035151,Once Upon a Honeymoon,Leo McCarey,Sheridan Gibney; Leo McCarey; Sheridan Gibney,Once Upon a Honeymoon,Leo McCarey,Leo McCarey; Sheridan Gibney
tt0035462,Tower of Terror,Lawrence Huntington,John Argyle; John Reinhardt,Tower of Terror,Lawrence Huntington,John Reinhardt
tt0035591,Between Heaven and Earth,Harald Braun,\N,Between Heaven and Earth,Harald Braun,\N
tt0035726,The Chance of a Lifetime,William Castle,Paul Yawitz,The Chance of a Lifetime,William Castle,\N
tt0036017,Hostages,Frank Tuttle,Lester Cole; Frank Butler,Hostages,Frank Tuttle,Frank Butler
tt0036177,The Life of Matsu the Untamed,Hiroshi Inagaki,Mansaku Itami,The Rickshaw Man,Hiroshi Inagaki,\N
tt0036347,She's for Me,Reginald Le Borg,Henry Blankfort; Henry Blankfort,She's for Me,Q86685,\N
tt0036515,Watch on the Rhine,Herman Shumlin,Dashiell Hammett,Watch on the Rhine,Herman Shumlin; Hal Mohr,Lillian Hellman; Dashiell Hammett
tt0036580,"Adam, Eve and the Devil",Alfredo B. Crevenna,Alfredo B. Crevenna; Francisco Cabrera; Edmundo Báez,"Adam, Eve and the Devil",Alfredo B. Crevenna,\N
tt0036595,Am Ende der Welt,Gustav Ucicky,\N,Q92747906,Gustav Ucicky,Gerhard Menzel
tt0037011,Law of the Valley,Howard Bretherton,Joseph O'Donnell; Joseph O'Donnell,Law of the Valley,Howard Bretherton,\N
tt0037133,Noche decisiva,Julio de Fleischner,\N,\N,\N,\N
tt0037430,Via Mala,Josef von Báky,Thea von Harbou,Via Mala,Josef von Báky,Thea von Harbou
tt0037737,Getting Gertie's Garter,Allan Dwan,Karen DeWolf; Allan Dwan; Avery Hopwood; Wilson Collison,Getting Gertie's Garter,Allan Dwan,Karen DeWolf; Allan Dwan
tt0038728,Martin Roumagnac,Georges Lacombe,Pierre Véry; Georges Lacombe,Martin Roumagnac,Georges Lacombe,Pierre Véry
tt0038819,\N,\N,\N,Ouvert pour cause d'inventaire,Alain Resnais,\N
tt0038853,Gates of the Night,Marcel Carné,Jacques Prévert,Gates of the Night,Marcel Carné,Jacques Prévert
tt0038873,The Razor's Edge,Edmund Goulding,Lamar Trotti,The Razor's Edge,Edmund Goulding,Lamar Trotti
tt0038902,Tell the Truth,Helmut Weiss,Ernst Marischka,Tell the Truth,Helmut Weiss,Ernst Marischka
tt0039024,This Man Is Mine,Marcel Varnel,Reginald Beckwith,This Man Is Mine,Marcel Varnel,Reginald Beckwith
tt0039310,The Last Vacation,Roger Leenhardt,Roger Leenhardt,The Last Vacation,Roger Leenhardt,\N
tt0039527,No Place for Love,Hans Deppe,Margarete Hackebeil; Hans Deppe,No Place for Love,Hans Deppe,\N
tt0039816,Seven Were Saved,William H. Pine,Maxwell Shane,Seven Were Saved,William H. Pine,\N
tt0039951,Variety Girl,George Marshall,Monte Brice; Edmund L. Hartmann; Robert L. Welch; Frank Tashlin,Variety Girl,George Marshall,Edmund Hartmann; Monte Brice; Robert L. Welch; Frank Tashlin
tt0039959,Vigilantes of Boomtown,R.G. Springsteen,Earle Snell,Vigilantes of Boomtown,R. G. Springsteen,\N
tt0040074,Adventures in Silverado,Phil Karlson,Kenneth Gamet; Jo Pagano; Tom Kilpatrick,Adventures in Silverado,Phil Karlson,\N
tt0040105,The Original Sin,Helmut Käutner,Kurd E. Heyne; Helmut Käutner; Bobby Todd,The Original Sin,Helmut Käutner,Kurd Erich Heyne
tt0040326,La esfinge maragata,Antonio De Obregón,Antonio De Obregón; José Luis Gamboa; Selma Barberi,The Maragatan Sphinx,Antonio de Obregón,Concha Espina
tt0040410,Gunning for Justice,Ray Taylor,J. Benton Cheney,Gunning for Justice,Ray Taylor,\N
tt0040444,Hollow Triumph,Steve Sekely; Paul Henreid,Daniel Fuchs,Hollow Triumph,Steve Sekely,Daniel Fuchs
tt0040746,Rope,Alfred Hitchcock,Arthur Laurents,Rope,Alfred Hitchcock,Ben Hecht; Hume Cronyn; Arthur Laurents; Patrick Hamilton
tt0040903,Triggerman,Howard Bretherton,Ronald Davidson,Triggerman (film),Howard Bretherton,\N
tt0041296,Dick Barton Strikes Back,Godfrey Grayson,Elizabeth Baron; Ambrose Grayson; Ambrose Grayson,Dick Barton Strikes Back,Godfrey Grayson,\N
tt0041392,Frontier Investigator,Fred C. Brannon,Robert Creighton Williams,Frontier Investigator,Fred C. Brannon,\N
tt0041626,The Man from Yesterday,Oswald Mitchell,John Gilling,The Man from Yesterday,Oswald Mitchell,John Gilling
tt0041764,The Possession,Julio Bracho,María Luisa Algarra; Julio Bracho; José López Portillo y Rojas,\N,\N,\N
tt0042255,Black Jack,Julien Duvivier; José Antonio Nieves Conde,Charles Spaak; Roland Pertwee; Robert Gaillard; Julien Duvivier,Black Jack,Julien Duvivier; José Antonio Nieves Conde,Julien Duvivier; Charles Spaak
tt0042478,The Franchise Affair,Lawrence Huntington,Robert Hall; Lawrence Huntington,The Franchise Affair,Lawrence Huntington,\N
tt0042482,Frenchie,Louis King,Oscar Brodney; Oscar Brodney,Frenchie,Louis King,Oscar Brodney
tt0042992,Square Dance Katy,Jean Yarbrough,Warren Wilson,Square Dance Katy,Jean Yarbrough,\N
tt0043021,Séraphin,Paul Gury,Claude-Henri Grignon; Paul Gury,Séraphin,Paul Gury,Claude-Henri Grignon; Paul Gury
tt0043515,The Strange Case of the Man and the Beast,Mario Soffici,Carlos Marín; Ulyses Petit de Murat; Mario Soffici,El Extraño caso del hombre y la bestia,Mario Soffici,Ulyses Petit de Murat; Mario Soffici
