tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0005041,\N,\N,\N,The Butterfly on the Wheel,Maurice Tourneur,Edward Hemmerde,A Butterfly on the Wheel,Maurice Tourneur,Edward Hemmerde (play); E. Magnus Ingleton; Francis Neilson (play),IMDb ID Not found,\N,\N
tt0005172,The Darkening Trail,William S. Hart,C. Gardner Sullivan,The Darkening Trail,William S. Hart,C. Gardner Sullivan,The Darkening Trail,William S. Hart,C. Gardner Sullivan (story),The Darkening Trail,William S. Hart,\N
tt0005689,The Majesty of the Law,Julia Crawford Ivers,Julia Crawford Ivers,The Majesty of the Law,Julia Crawford Ivers,\N,The Majesty of the Law,Julia Crawford Ivers,Julia Crawford Ivers (scenario),The Majesty of the Law,Julia Crawford Ivers,Julia Crawford Ivers
tt0005928,The Prince and the Pauper,Edwin S. Porter; Hugh Ford,Hugh Ford,The Prince and the Pauper,Edwin Stanton Porter,Mark Twain,The Prince and the Pauper,Hugh Ford; Edwin S. Porter,Hugh Ford; Mark Twain (novel),The Prince and the Pauper,Hugh Ford; Edwin S. Porter,Hugh Ford
tt0006043,The Silent Voice,William Bowman,\N,The Silent Voice,William Bowman,\N,The Silent Voice,William Bowman,Jules Eckert Goodman (play); I.K. Freedman (scenario); Eve Unsell (scenario),The Silent Voice,William Bowman,I.K. Freedman; Eve Unsell
tt0006773,The Heart of a Hero,Émile Chautard,Frances Marion,The Heart of a Hero,Émile Chautard; George Archainbaud,Frances Marion,The Heart of a Hero,Emile Chautard,Clyde Fitch (play); Frances Marion,The Heart of a Hero,Émile Chautard,Frances Marion
tt0007458,Thrown to the Lions,Lucius Henderson,Wallace Irwin; Norbert Lusk,Thrown to the Lions,Lucius J. Henderson,\N,Thrown to the Lions,Lucius Henderson,Wallace Irwin (story); Norbert Lusk (scenario),Thrown to the Lions,Lucius Henderson,Norbert Lusk
tt0007655,\N,\N,\N,The Auction Block,Laurence Trimble,\N,The Auction Block,Laurence Trimble,Adrian Gil-Spear,IMDb ID Not found,\N,\N
tt0007926,The Fair Barbarian,Robert Thornby,Edith M. Kennedy,The Fair Barbarian,Robert Thornby,\N,The Fair Barbarian,Robert Thornby,Frances Hodgson Burnett (novel); Edith M. Kennedy,The Fair Barbarian,Robert Thornby,Edith M. Kennedy
tt0008202,\N,\N,\N,The Lonesome Chap,Edward LeSaint,Harvey Gates,The Lonesome Chap,Edward LeSaint,Harvey Gates; Emma Rochelle Williams (story),IMDb ID Not found,\N,\N
tt0008459,\N,\N,\N,The Primitive Call,Bertram Bracken,\N,The Primitive Call,Bertram Bracken,Bertram Bracken,IMDb ID Not found,\N,\N
tt0008466,\N,\N,\N,\N,\N,\N,The Princess' Necklace,Floyd France,Clare Freeman Alger (story); E. Clement D'Art,IMDb ID Not found,\N,\N
tt0008521,The Rose Of Blood,J. Gordon Edwards,Ryszard Ordyński; Bernard McConville,The Rose of Blood,J. Gordon Edwards,Bernard McConville,The Rose of Blood,J. Gordon Edwards,Bernard McConville; Ryszard Ordynski (story),The Rose Of Blood,J. Gordon Edwards,Bernard McConville
tt0009110,The Girl Who Wouldn't Quit,Edgar Jones,James Oliver Curwood,The Girl Who Wouldn't Quit,Edgar Jones,\N,The Girl Who Wouldn't Quit,Edgar Jones,James Oliver Curwood (story); Doris Schroeder (scenario),The Girl Who Wouldn't Quit,Edgar Jones,Doris Schroeder
tt0009319,Love Me,Roy William Neill,\N,Love Me,Roy William Neill,C. Gardner Sullivan,Love Me,Roy William Neill,C. Gardner Sullivan (scenario),Love Me,Roy William Neill,C. Gardner Sullivan
tt0009325,The Lure of the Circus,J.P. McGowan,William E. Wing; Hope Loring,The Lure of the Circus,J. P. McGowan,Hope Loring,The Lure of the Circus,J.P. McGowan,William E. Wing (scenario); Hope Loring (scenario),The Lure of the Circus,J.P. McGowan,William E. Wing; Hope Loring
tt0009521,The Prodigal Wife,Frank Reicher,Edith Barnard Delano,The Prodigal Wife,Frank Reicher,\N,The Prodigal Wife,Frank Reicher,Edith Barnard Delano (story); Eve Unsell (scenario),The Prodigal Wife,Frank Reicher,Eve Unsell
tt0009559,A Romance of Happy Valley,D.W. Griffith,Mary Castelman; D.W. Griffith,A Romance of Happy Valley,D. W. Griffith,\N,A Romance of Happy Valley,D.W. Griffith,D.W. Griffith (story),A Romance of Happy Valley,D.W. Griffith,\N
tt0009595,\N,\N,\N,The Secret Woman,A.E. Coleby,Eden Phillpotts,The Secret Woman,A.E. Coleby,Eden Phillpotts; Rowland Talbot,IMDb ID Not found,\N,\N
tt0009650,The Squaw Man,Cecil B. DeMille,Beulah Marie Dix,The Squaw Man,Anne Bauchens; Sam Wood; Cecil B. DeMille,Beulah Marie Dix,The Squaw Man,Cecil B. DeMille,Beulah Marie Dix; Beulah Marie Dix,The Squaw Man,Cecil B. DeMille,Beulah Marie Dix
tt0009965,\N,\N,\N,Breezy Jim,Lorimer Johnston,\N,Breezy Jim,Lorimer Johnston,J. Francis Dunbar,IMDb ID Not found,\N,\N
tt0010389,The Lottery Man,James Cruze,Frank Urson; Elmer Harris,The Lottery Man,James Cruze,Frank Urson,The Lottery Man,James Cruze,Elmer Harris; Frank Urson; Rida Johnson Young (play),The Lottery Man,James Cruze,Elmer Harris; Frank Urson
tt0010534,The Other Half,King Vidor,King Vidor,The Other Half,King Vidor,King Vidor,The Other Half,King Vidor,King Vidor (story),The Other Half,King Vidor,\N
tt0010536,The Other,Juan María Codina; Eduardo Zamacois,Eduardo Zamacois,\N,\N,\N,The Other,Jos� Mar�a Codina; Eduardo Zamacois,Eduardo Zamacois; Eduardo Zamacois,The Other,Juan María Codina; Eduardo Zamacois,Eduardo Zamacois
tt0010742,\N,\N,\N,\N,\N,\N,Such Is Life in Greenwich Village,Henry 'Hy' Mayer,Henry 'Hy' Mayer,IMDb ID Not found,\N,\N
tt0010934,\N,\N,\N,Ray of Sunshine,Theo Frenkel,Theo Frenkel,Ray of Sunshine,Theo Frenkel,Theo Frenkel (scenario),IMDb ID Not found,\N,\N
tt0011166,Eyes of the Heart,Paul Powell,Dana Burnet; Clara Genevieve Kennedy,Eyes of the Heart,Paul Powell,Clara Genevieve Kennedy,Eyes of the Heart,Paul Powell,Dana Burnet (story); Clara Genevieve Kennedy,Eyes of the Heart,Paul Powell,Dana Burnet; Clara Genevieve Kennedy
tt0011167,The Face at Your Window,Richard Stanton,Max Marcin,The Face at Your Window,Richard Stanton,Edward Sedgwick; Max Marcin,The Face at Your Window,Richard Stanton,Max Marcin (story); Edward Sedgwick,The Face at Your Window,Richard Stanton,Edward Sedgwick
tt0011280,Helleveeg,Theo Frenkel Sr.,Theo Frenkel Sr.,Helleveeg,Theo Frenkel,Theo Frenkel,Helleveeg,Theo Frenkel,Theo Frenkel,Helleveeg,Theo Frenkel Sr.,Theo Frenkel Sr.
tt0011483,Mothers of Men,Edward José,Charles E. Whittaker; De Witte Kaplan,Mothers of Men,Edward José,\N,Mothers of Men,Edward Jos�,William Henry Warnert (novel); De Witte Kaplan (scenario); Charles E. Whittaker (scenario); Mary Murillo (titles); Edward Jos� (titles),Mothers of Men,Edward José,Charles E. Whittaker; De Witte Kaplan
tt0011616,The Red Lane,Lynn Reynolds,Violet Clark,The Red Lane,Lynn Reynolds,\N,The Red Lane,Lynn Reynolds,Violet Clark,The Red Lane,Lynn Reynolds,Violet Clark
tt0011625,The Riddle: Woman,Edward José,Dorothy Donnelly; Charlotte E. Wells; John B. Clymer,The Riddle: Woman,Edward José,Charlotte E. Wells; Dorothy Donnelly; John B. Clymer,The Riddle: Woman,Edward Jos�,John B. Clymer; Dorothy Donnelly; Carl Jacobi (play); Charlotte E. Wells,The Riddle: Woman,Edward José,Dorothy Donnelly; John B. Clymer; Charlotte E. Wells
tt0011726,A Splendid Hazard,Allan Dwan,\N,A Splendid Hazard,Arthur Rosson,\N,A Splendid Hazard,Arthur Rosson,Harold McGrath (novel),A Splendid Hazard,Allan Dwan,\N
tt0011784,Trailed by Three,Perry N. Vekroff,Charles T. Dazey,Trailed by Three,Perry N. Vekroff,Q5076779,Trailed by Three,Perry N. Vekroff,Charles T. Dazey,Trailed by Three,Perry N. Vekroff,Charles T. Dazey
tt0012016,Buried Treasure,George D. Baker,\N,Buried Treasure,George D. Baker,\N,Buried Treasure,George D. Baker,F. Britten Austin (short story); George D. Baker (adaptation),Buried Treasure,George D. Baker,George D. Baker
tt0012065,\N,\N,\N,O Condenado,\N,\N,O Condenado,Afonso Gaio; Mario Huguin,Afonso Gaio (play),IMDb ID Not found,\N,\N
tt0012446,Mann über Bord,Karl Grune,Karl Grune; Georg Franck,Man Overboard,Karl Grune,\N,Mann �ber Bord,Karl Grune,Georg Franck; Karl Grune,Mann über Bord,Karl Grune,Georg Franck; Karl Grune
tt0012586,The Primal Law,Bernard J. Durning,\N,The Primal Law,Bernard Durning,Paul Schofield,The Primal Law,Bernard J. Durning,Paul Schofield; E. Lloyd Sheldon (story),The Primal Law,Bernard J. Durning,E. Lloyd Sheldon; Paul Schofield
tt0013366,Man With Two Mothers,Paul Bern,\N,Q17396765,Paul Bern,\N,Man with Two Mothers,Paul Bern,Julien Josephson; Alice Duer Miller (story),Man With Two Mothers,Paul Bern,\N
tt0013415,\N,\N,\N,\N,\N,\N,Mrs. Dane's Danger,Wilfrid North,\N,IMDb ID Not found,\N,\N
tt0013437,\N,\N,\N,\N,\N,\N,La ninfa del r�o,Salvador Castell�,\N,IMDb ID Not found,\N,\N
tt0013484,\N,\N,\N,\N,\N,\N,Paul fliegt,William Karfiol,\N,IMDb ID Not found,\N,\N
tt0013732,Versunkene Welten,Siegfried Philippi,\N,Sunken Worlds,Siegfried Philippi,\N,Versunkene Welten,Siegfried Philippi,\N,Versunkene Welten,Siegfried Philippi,\N
tt0013746,Western Speed,C.R. Wallace; Scott R. Dunlap; William Wallace,Scott R. Dunlap,Western Speed,Scott R. Dunlap,\N,Western Speed,Scott R. Dunlap; C.R. Wallace; William Wallace,Scott R. Dunlap,Western Speed,C.R. Wallace; William Wallace; Scott R. Dunlap,Scott R. Dunlap
tt0013814,Abysmal Brute,Hobart Henley,A.P. Younger,The Abysmal Brute,Hobart Henley,\N,Abysmal Brute,Hobart Henley,Jack London (novel); A.P. Younger,Abysmal Brute,Hobart Henley,A.P. Younger
tt0014206,\N,\N,\N,The Little Red Schoolhouse,John G. Adolfi,\N,Little Red School House,John G. Adolfi,James Shelley Hamilton,IMDb ID Not found,\N,\N
tt0014341,Our Hospitality,John G. Blystone; Buster Keaton,Jean C. Havez; Joseph A. Mitchell; Clyde Bruckman,Our Hospitality,Buster Keaton; John G. Blystone,Joseph A. Mitchell; Jean Havez; Clyde Bruckman,Our Hospitality,John G. Blystone; Buster Keaton,Jean C. Havez; Clyde Bruckman; Joseph A. Mitchell,Our Hospitality,Buster Keaton; John G. Blystone,Joseph A. Mitchell; Jean C. Havez
tt0014611,Why Worry?,Fred C. Newmeyer; Sam Taylor,Sam Taylor; Ted Wilde; Tim Whelan,Why Worry?,Sam Taylor,Sam Taylor; Ted Wilde,Why Worry?,Fred C. Newmeyer; Sam Taylor,Sam Taylor (story); Ted Wilde (story); Tim Whelan (story); H.M. Walker (titles),Why Worry?,Fred C. Newmeyer; Sam Taylor,Tim Whelan; Ted Wilde; Sam Taylor
tt0014769,Cheap Kisses,John Ince; Cullen Tate,C. Gardner Sullivan; C. Gardner Sullivan,Cheap Kisses,John Ince,\N,Cheap Kisses,John Ince; Cullen Tate,C. Gardner Sullivan (screenplay); C. Gardner Sullivan (story),Cheap Kisses,John Ince; Cullen Tate,C. Gardner Sullivan
tt0014799,The Conspirators,Sinclair Hill,Sinclair Hill,The Conspirators,Sinclair Hill,\N,The Conspirators,Sinclair Hill,Sinclair Hill; E. Phillips Oppenheim,The Conspirators,Sinclair Hill,Sinclair Hill
tt0014822,The Dangerous Blonde,Robert F. Hill,Hulbert Footner,The Dangerous Blonde,Robert F. Hill,\N,The Dangerous Blonde,Robert F. Hill,Hugh Hoffman,The Dangerous Blonde,Robert F. Hill,Hugh Hoffman
tt0014827,Daring Chances,Clifford Smith,Isadore Bernstein; Wyndham Gittens,Daring Chances,Clifford Smith,\N,Daring Chances,Clifford Smith,Isadore Bernstein (story); Wyndham Gittens,Daring Chances,Clifford Smith,Wyndham Gittens
tt0014980,\N,\N,\N,\N,\N,\N,Her Dark Swan,\N,\N,IMDb ID Not found,\N,\N
tt0015077,Lolita the orphan,Alejandro Olavarria,\N,Lolita la huérfana,Aureliano González,Aureliano González; Alejandro Olabarria,Lolita la hu�rfana,\N,\N,Lolita the orphan,Alejandro Olavarria,\N
tt0015248,The Price She Paid,Henry MacRae,\N,The Price She Paid,Henry MacRae,\N,The Price She Paid,Henry MacRae,\N,The Price She Paid,Henry MacRae,\N
tt0015382,\N,\N,\N,\N,\N,\N,Surging Seas,James Chapin,Jack Natteford,IMDb ID Not found,\N,\N
tt0015528,Man of Destiny,John Lindlöf,J. Ericius,Q10727103,John Lindlöf,\N,�dets man,John Lindl�f,\N,Man of Destiny,John Lindlöf,J. Ericius
tt0015734,Daring Days,John B. O'Brien,George C. Hull,\N,\N,\N,Daring Days,John B. O'Brien,\N,Daring Days,John B. O'Brien,\N
tt0015764,\N,\N,\N,\N,\N,\N,La drapaire,Juan Andreu; Pepín Fernández; Emilio Guerrero,Pepín Fernández; Luis Mariano de Larra,IMDb ID Not found,\N,\N
tt0015997,The Stationmaster,Ivan Moskvin; Yuri Zhelyabuzhsky,Valentin Turkin; Fyodor Otsep,The Stationmaster,Ivan Moskvin; Yuri Zhelyabuzhsky,Nikolai Kovarsky; Fedor Ozep,The Stationmaster,Ivan Moskvin; Yuri Zhelyabuzhsky,Fyodor Otsep; Alexander Pushkin,The Stationmaster,Yuri Zhelyabuzhsky; Ivan Moskvin,Valentin Turkin; Fyodor Otsep
tt0016029,The Little Colonel,David Butler,William M. Conselman; Anne Fellows Johnston,The Little Colonel,David Butler,William Conselman,The Little Colonel,David Butler,William M. Conselman; Anne Fellows Johnston; David Butler,The Little Colonel,David Butler,William M. Conselman
tt0016042,The Love Gamble,Edward LeSaint,\N,The Love Gamble,Edward LeSaint,\N,The Love Gamble,Edward LeSaint,Maysie Greig (novel); Fanny Hatton (titles); Frederic Hatton (titles); Harry O. Hoyt (continuity),The Love Gamble,Edward LeSaint,\N
tt0016044,The Love Hour,Herman C. Raymaker,Bess Meredyth,The Love Hour,Herman C. Raymaker,Bess Meredyth,The Love Hour,Herman C. Raymaker,\N,The Love Hour,Herman C. Raymaker,Bess Meredyth
tt0016255,\N,\N,\N,\N,\N,\N,Queen of Spades,Harry L. Fraser,\N,IMDb ID Not found,\N,\N
tt0016316,Scandal Street,Whitman Bennett,Frank R. Adams; Harry Chandlee,Scandal Street,Whitman Bennett,\N,Scandal Street,Whitman Bennett,Frank R. Adams (story),Scandal Street,Whitman Bennett,Frank R. Adams; Harry Chandlee
tt0016374,A Son of His Father,Victor Fleming,Anthony Coldeway,A Son of His Father,Victor Fleming,\N,A Son of His Father,Victor Fleming,Anthony Coldeway; Harold Bell Wright (novel),A Son of His Father,Victor Fleming,Anthony Coldeway
tt0016522,Whistling Jim,Wilbur McGaugh,Peggy O'Day,\N,\N,\N,Whistling Jim,Wilbur McGaugh,\N,Whistling Jim,Wilbur McGaugh,Peggy O'Day
tt0016633,Beatrice Cenci,Baldassarre Negroni; Torello Rolli,Luciano Doria,Beatrice Cenci,Baldassarre Negroni,\N,Beatrice Cenci,Baldassarre Negroni,Luciano Doria (screenplay); Torello Rolli (screenplay),Beatrice Cenci,Torello Rolli; Baldassarre Negroni,Luciano Doria
tt0016642,Bertha the Sewing Machine Girl,Irving Cummings,Gertrude Orr,"Bertha, the Sewing Machine Girl",Irving Cummings,Gertrude Orr,Bertha the Sewing Machine Girl,Irving Cummings,\N,Bertha the Sewing Machine Girl,Irving Cummings,Gertrude Orr
tt0016652,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander; Arthur Guy Empey,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander,Bigger Than Barnum's,Ralph Ince,\N,Bigger Than Barnum's,Ralph Ince,J. Grubb Alexander
tt0016682,The Broadway Boob,Joseph Henabery,E.V. Durling; Monte M. Katterjohn,The Broadway Boob,Joseph Henabery,Monte M. Katterjohn,The Broadway Boob,Joseph Henabery,\N,The Broadway Boob,Joseph Henabery,E.V. Durling; Monte M. Katterjohn
tt0016765,\N,\N,\N,The Dangerous Dub,Richard Thorpe,\N,The Dangerous Dub,Richard Thorpe,James Madison; Richard Thorpe,IMDb ID Not found,\N,\N
tt0016832,Exit Smiling,Sam Taylor,Marc Connelly,Exit Smiling,Sam Taylor,Sam Taylor; Joseph Farnham,Exit Smiling,Sam Taylor,\N,Exit Smiling,Sam Taylor,Tim Whelan; Sam Taylor
tt0016884,Flesh and the Devil,Clarence Brown,Benjamin Glazer; Marian Ainslee,Flesh and the Devil,Clarence Brown,Benjamin Glazer,Flesh and the Devil,Clarence Brown,Benjamin Glazer; Hermann Sudermann; Marian Ainslee,Flesh and the Devil,Clarence Brown,Benjamin Glazer; Marian Ainslee
tt0016946,Hands Across the Border,David Kirkland,Frances Marion,Hands Across the Border,David Kirkland,\N,Hands Across the Border,David Kirkland,Frances Marion (story); William E. Wing (scenario); Malcolm Stuart Boylan (titles),Hands Across the Border,David Kirkland,Malcolm Stuart Boylan; William E. Wing
tt0017051,Laddie,James Leo Meehan,Jeanette Porter Meehan,Laddie,James Leo Meehan,\N,Laddie,James Leo Meehan,Jeanette Porter Meehan; Gene Stratton-Porter,Laddie,James Leo Meehan,Jeanette Porter Meehan
tt0017156,\N,\N,\N,The Miracle of Life,Stanner E.V. Taylor,\N,The Miracle of Life,Stanner E.V. Taylor,Elizabeth Musgrave; Olga Printzlau (story),IMDb ID Not found,\N,\N
tt0017561,Wild to Go,Robert De Lacey,F.A.E. Pine,Wild to Go,Robert De Lacey,\N,Wild to Go,Robert De Lacey,F.A.E. Pine (adaptation); F.A.E. Pine (screenplay),Wild to Go,Robert De Lacey,F.A.E. Pine
tt0017723,By Whose Hand?,Walter Lang,Marion Orth,By Whose Hand?,Walter Lang,\N,By Whose Hand?,Walter Lang,Marion Orth (screenplay); Marion Orth (story),By Whose Hand?,Walter Lang,Marion Orth
tt0017845,Eins + Eins = Drei,Felix Basch,Béla Balázs; Henry Koster,One Plus One Equals Three,Felix Basch,Béla Balázs,Eins + Eins = Drei,Felix Basch,B�la Bal�zs; Henry Koster,Eins + Eins = Drei,Felix Basch,Béla Balázs; Henry Koster
tt0017874,\N,\N,\N,\N,\N,\N,Festas da Curia,Jos� Leit�o de Barros,\N,IMDb ID Not found,\N,\N
tt0018084,Let It Rain,Edward F. Cline,Wade Boteler; Wade Boteler; George Crone; George Crone; Earle Snell; Earle Snell,Let It Rain,Edward F. Cline,Wade Boteler,Let It Rain,Edward F. Cline,\N,Let It Rain,Edward F. Cline,George Crone; Earle Snell; Wade Boteler
tt0018164,The Missing Link,Charles Reisner,Charles Reisner,The Missing Link,Charles Reisner,\N,The Missing Link,Charles Reisner,\N,The Missing Link,Charles Reisner,Darryl F. Zanuck
tt0018479,A Texas Steer,Richard Wallace,Bernard McConville; Will Rogers,A Texas Steer,Richard Wallace,Garrett Graham,A Texas Steer,Richard Wallace,Garrett Graham; Bernard McConville,A Texas Steer,Richard Wallace,Bernard McConville; Will Rogers; Paul Schofield
tt0018515,Two Arabian Knights,Lewis Milestone,Donald McGibney; Cyril Gardner; Wallace Smith,Two Arabian Knights,Lewis Milestone,"Wallace Smith; Cyril Gardner; George Marion, Jr.",Two Arabian Knights,Lewis Milestone,Wallace Smith (screen version); Cyril Gardner (screen version); Donald McGibney (original story); James T. O'Donohoe (continuity); George Marion Jr. (titles),Two Arabian Knights,Lewis Milestone,Wallace Smith; Cyril Gardner
tt0018606,Sword of Penitence,Yasujirō Ozu; Torajirō Saitō,Kōgo Noda,Sword of Penitence,Yasujirō Ozu,Kōgo Noda; Yasujirō Ozu,Sword of Penitence,Yasujirō Ozu; Torajirō Saitō,\N,Sword of Penitence,Torajirō Saitō; Yasujirō Ozu,Kōgo Noda
tt0018719,Breed of the Sunsets,Wallace Fox,Stanner E.V. Taylor,\N,\N,\N,Breed of the Sunsets,Wallace Fox,Randolph Bartlett; Oliver Drake,Breed of the Sunsets,Wallace Fox,Stanner E.V. Taylor
tt0018842,\N,\N,\N,Domestic Meddlers,James Flood,\N,Domestic Meddlers,James Flood,Fanny Hatton; Frederic Hatton; Wellyn Totman,IMDb ID Not found,\N,\N
tt0018853,Driftwood,Christy Cabanne,Richard Harding Davis,Driftwood,Christy Cabanne,\N,Driftwood,Christy Cabanne,Mort Blumenstock; Lillie Hayward,Driftwood,Christy Cabanne,Lillie Hayward
tt0019076,\N,\N,\N,Law of the Mounted,J. P. McGowan,\N,The Law of the Mounted,J.P. McGowan,Philip Schuyler (scenario); Sally Winters (story),IMDb ID Not found,\N,\N
tt0019175,My Son,Yevgeni Chervyakov,Yevgeni Chervyakov; Yuri Gromov; Nikolay Dirin,My Son,Yevgeni Chervyakov,\N,Moy syn,Yevgeni Chervyakov,Yevgeni Chervyakov; Nikolay Dirin; Yuri Gromov; A. Turin,My Son,Yevgeni Chervyakov,Yevgeni Chervyakov; Nikolay Dirin; Yuri Gromov
tt0019292,Prep and Pep,David Butler,John Stone; Malcolm Stuart Boylan,Prep and Pep,David Butler,John Stone,Prep and Pep,David Butler,John Stone (story); John Stone (scenario); Malcolm Stuart Boylan (titles),Prep and Pep,David Butler,John Stone; Malcolm Stuart Boylan
tt0019380,The Showdown,Victor Schertzinger,Hope Loring; Ethel Doherty,The Showdown,Victor Schertzinger,\N,The Showdown,Victor Schertzinger,Houston Branch (play); Ethel Doherty (adaptation); Ethel Doherty (screenplay); John Farrow (titles); Hope Loring (adaptation); Hope Loring (screenplay),The Showdown,Victor Schertzinger,Ethel Doherty; Hope Loring
tt0019463,That's My Daddy,Fred C. Newmeyer,Albert DeMond; Reginald Denny; Earle Snell,That's My Daddy,Fred C. Newmeyer,\N,That's My Daddy,Fred C. Newmeyer,\N,That's My Daddy,Fred C. Newmeyer,Faith Thomas; Albert DeMond; Earle Snell; Pierre Couderc
tt0019663,\N,\N,\N,\N,\N,\N,Aveiro Desportivo,\N,\N,IMDb ID Not found,\N,\N
tt0019877,Figaro,Tony Lekain; Gaston Ravel,Tony Lekain; Gaston Ravel,Figaro,Tony Lekain,\N,Figaro,Tony Lekain; Gaston Ravel,Beaumarchais (plays); Tony Lekain; Gaston Ravel,Figaro,Tony Lekain; Gaston Ravel,Tony Lekain; Gaston Ravel
tt0019992,The Hole in the Wall,Robert Florey,Pierre Collings; Frederick J. Jackson,The Hole in the Wall,Robert Florey,Pierre Collings,The Hole in the Wall,Robert Florey,Pierre Collings; Frederick J. Jackson (play),The Hole in the Wall,Robert Florey,Pierre Collings
tt0020000,Hot Stuff,Mervyn LeRoy,Louis Stevens; Robert S. Carr; Humphrey Pearson,Hot Stuff,Mervyn LeRoy,\N,Hot Stuff,Mervyn LeRoy,Robert S. Carr (screenplay); Robert S. Carr (story); Humphrey Pearson (screenplay); Humphrey Pearson (titles); Louis Stevens,Hot Stuff,Mervyn LeRoy,Robert S. Carr; Humphrey Pearson; Louis Stevens
tt0020081,The Last of Mrs. Cheyney,Sidney Franklin,Hanns Kräly,The Last of Mrs. Cheyney,Sidney Franklin,Claudine West; Hanns Kräly,The Last of Mrs. Cheyney,Sidney Franklin,\N,The Last of Mrs. Cheyney,Sidney Franklin,Hanns Kräly
tt0020261,\N,\N,\N,The Passion Song,Harry O. Hoyt,\N,Passion Song,Harry O. Hoyt,Camille Collins; Francis Fenton,IMDb ID Not found,\N,\N
tt0020475,Diary of a Lost Girl,G.W. Pabst,Rudolf Leonhardt,Diary of a Lost Girl,Georg Wilhelm Pabst,Margarete Böhme,Diary of a Lost Girl,Georg Wilhelm Pabst,Margarete Böhme; Rudolf Leonhardt,Diary of a Lost Girl,G.W. Pabst,Rudolf Leonhardt
tt0020867,The Eyes of the World,Henry King,Harold Bell Wright; Brewster Morse; Clarke Silvernail,The Eyes of the World,Henry King,\N,The Eyes of the World,Henry King,\N,The Eyes of the World,Henry King,Brewster Morse; Harold Bell Wright; Clarke Silvernail
tt0020942,Grumpy,George Cukor; Cyril Gardner,Doris Anderson,Grumpy,George Cukor; Cyril Gardner,\N,Grumpy,George Cukor; Cyril Gardner,Doris Anderson; Horace Hodges; Thomas Wigney Percyval,Grumpy,George Cukor; Cyril Gardner,Doris Anderson
