tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0013030,The Cowboy and the Lady,Charles Maigne,Clyde Fitch; Julien Josephson,The Cowboy and the Lady,Charles Maigne,Julien Josephson,The Cowboy and the Lady,Charles Maigne,Clyde Fitch (play); Julien Josephson,The Cowboy and the Lady,Charles Maigne,Julien Josephson; Clyde Fitch
tt0014059,\N,\N,\N,Frauenmoral,Theo Frenkel,\N,Frauenmoral,Theo Frenkel,Paul Beyer; Theo Frenkel,IMDb ID Not found,\N,\N
tt0014852,Don't Call It Love,William C. deMille,Clara Beranger,Don't Call It Love,William Churchill deMille,Clara Beranger,Don't Call It Love,William C. de Mille,Clara Beranger; Hubert Osborne (play); Julian Street (novel),Don't Call It Love,William C. deMille,Clara Beranger
tt0015647,A Broadway Lady,Wesley Ruggles,Fred Myton; Fred Myton,Broadway Lady,Wesley Ruggles,Q5495982,Broadway Lady,Wesley Ruggles,Fred Myton; Fred Myton,A Broadway Lady,Wesley Ruggles,Fred Myton
tt0015793,Fangs of Wolfheart,Charles R. Seeling,\N,\N,\N,\N,Fangs of Wolfheart,Charles R. Seeling,\N,Fangs of Wolfheart,Charles R. Seeling,\N
tt0016551,Women and Gold,James P. Hogan,James P. Hogan,Women and Gold,\N,\N,Women and Gold,James P. Hogan,Betty Grace Hartford; James P. Hogan (story),Women and Gold,James P. Hogan,Betty Grace Hartford
tt0017500,The Unknown Cavalier,Albert S. Rogell,Marion Jackson,The Unknown Cavalier,Albert S. Rogell,\N,The Unknown Cavalier,Albert S. Rogell,Marion Jackson (adaptation); Kenneth Perkins (novel); Don Ryan (titles),The Unknown Cavalier,Albert S. Rogell,Marion Jackson
tt0017743,Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,Merian C. Cooper; Ernest B. Schoedsack; Achmed Abdullah,Chang,Ernest B. Schoedsack; Merian C. Cooper,Achmed Abdullah; Merian C. Cooper; Ernest B. Schoedsack,Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,Achmed Abdullah (titles),Chang: A Drama of the Wilderness,Ernest B. Schoedsack; Merian C. Cooper,Ernest B. Schoedsack; Achmed Abdullah; Merian C. Cooper
tt0017829,Dress Parade,Donald Crisp,Alexander Chilton; Douglas Z. Doty; Herbert Walters; Robert Glassburn,Dress Parade,Donald Crisp,\N,Dress Parade,Donald Crisp,\N,Dress Parade,Donald Crisp,Douglas Z. Doty
tt0018336,The Romantic Age,Robert Florey,Dorothy Howell,The Romantic Age,Robert Florey,\N,The Romantic Age,Robert Florey,Dorothy Howell (screenplay); Dorothy Howell (story),The Romantic Age,Robert Florey,Dorothy Howell
tt0018953,\N,\N,\N,The Grain of Dust,George Archainbaud,Gordon Rigby,The Grain of Dust,George Archainbaud,Frances Hyland; Paul Perez,IMDb ID Not found,\N,\N
tt0020514,The Trespasser,Edmund Goulding,Edmund Goulding,The Trespasser,Edmund Goulding,Edmund Goulding,The Trespasser,Edmund Goulding,Edmund Goulding,The Trespasser,Edmund Goulding,Edmund Goulding
tt0020803,Dames Ahoy,William James Craft,Sherman L. Lowe; Albert DeMond; Matt Taylor,Q16989055,William James Craft,Sherman L. Lowe,Dames Ahoy,William James Craft,Sherman L. Lowe; Albert DeMond; Matt Taylor,Dames Ahoy,William James Craft,Matt Taylor; Albert DeMond
tt0021404,The Song of the Flame,Alan Crosland,\N,Song of the Flame,Alan Crosland,Gordon Rigby,The Song of the Flame,Alan Crosland,\N,The Song of the Flame,Alan Crosland,Gordon Rigby
tt0021483,Tom Sawyer,John Cromwell,Sam Mintz; William Slavens McNutt; Grover Jones,Tom Sawyer,John Cromwell,Grover Jones,Tom Sawyer,John Cromwell,Mark Twain; Grover Jones; William Slavens McNutt,Tom Sawyer,John Cromwell,Grover Jones; William Slavens McNutt; Sam Mintz
tt0022101,\N,\N,\N,\N,\N,\N,M'Blimey,J. Elder Wills,C.H. Dand; Hans Nieter,IMDb ID Not found,\N,\N
tt0024950,Three Cornered Hat,Mario Camerini,Ercole Patti; Mario Soldati; Ivo Perilli,The Three-Cornered Hat,Mario Camerini,Ercole Patti; Mario Soldati; Ivo Perilli,Three Cornered Hat,Mario Camerini,Ercole Patti (screenplay); Ivo Perilli (screenplay); Mario Soldati (screenplay),Three Cornered Hat,Mario Camerini,Mario Soldati; Ivo Perilli; Ercole Patti
tt0024952,Caravan,Erik Charell,Melchior Lengyel; Samson Raphaelson,Caravan,Erik Charell,Samson Raphaelson,Caravan,Erik Charell,Melchior Lengyel; Robert Liebmann (novel); Samson Raphaelson,Caravan,Erik Charell,Melchior Lengyel; Samson Raphaelson
tt0025512,My Heart Is Calling You,Serge Veber; Carmine Gallone,\N,Mon cœur t'appelle,Carmine Gallone,Ernst Marischka,Mon coeur t'appelle,Carmine Gallone; Serge V�ber,Richard Benson; Robert Edmunds,My Heart Is Calling You,Carmine Gallone; Serge Veber,\N
tt0026542,Jalna,John Cromwell,Anthony Veiller,Jalna,John Cromwell,Anthony Veiller,Jalna,John Cromwell,\N,Jalna,John Cromwell,Anthony Veiller; Garrett Fort; Lawrence P. Bachmann
tt0026546,The Queen and the Cardinal,Abel Gance,Paul Fékété; Abel Gance,Jérôme Perreau héros des barricades,Abel Gance,Abel Gance,The Queen and the Cardinal,Abel Gance,Abel Gance,The Queen and the Cardinal,Abel Gance,Paul Fékété; Abel Gance
tt0027060,Super Speed,Lambert Hillyer,Harold Shumate,Super Speed,\N,\N,Super-Speed,Lambert Hillyer,Harold Shumate (story),Super Speed,Lambert Hillyer,Harold Shumate
tt0027535,Don’t Get Personal,William Nigh,Wilhelm Thiele; Edmund L. Hartmann; George Waggner; Clarence Marks; Houston Branch,Don't Get Personal,William Nigh,George Waggner,Don't Get Personal,Charles Lamont; William Nigh,Wilhelm Thiele (story); Edmund L. Hartmann (story); George Waggner (screenplay); Clarence Marks (screenplay); Houston Branch (screenplay),Don’t Get Personal,William Nigh,Clarence Marks; Houston Branch; George Waggner
tt0028220,Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel,Savoy Hotel 217,Gustav Ucicky; Eduard von Borsody,Gerhard Menzel,Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel (screenplay),Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel
tt0029085,Bubi,Béla Gaál,Felix Jackson; Max Kolpé,\N,\N,\N,Bubi,B�la Ga�l,Felix Jackson (screenplay); Max Kolp� (screenplay),Bubi,Béla Gaál,Max Kolpé; Felix Jackson
tt0029141,Love Can Lie,Heinz Helbig,Erich Ebermayer; Franz Wallner-Basté,Love Can Lie,Heinz Helbig,\N,Liebe kann lügen,Heinz Helbig,Fred Andreas; Erich Ebermayer; Franz Wallner-Basté,Love Can Lie,Heinz Helbig,Franz Wallner-Basté; Erich Ebermayer
tt0029328,O.H.M.S.,Raoul Walsh,Lesser Samuels; Ralph Gilbert Bettison,O.H.M.S.,Raoul Walsh,\N,You're in the Army Now,Raoul Walsh,Lesser Samuels (based on an original screenplay by); Ralph Gilbert Bettison (based on an original screenplay by); Austin Melford (scenario and additional dialogue); Bryan Edgar Wallace (scenario and additional dialogue),O.H.M.S.,Raoul Walsh,Lesser Samuels; Austin Melford; Ralph Gilbert Bettison; Bryan Edgar Wallace
tt0030981,Wives Under Suspicion,James Whale,Myles Connolly; Ladislas Fodor,Wives Under Suspicion,James Whale,Myles Connolly,Wives Under Suspicion,James Whale,Myles Connolly; Ladislas Fodor,Wives Under Suspicion,James Whale,Myles Connolly
tt0031655,\N,\N,\N,The Minister's Friend,Viktor Bánky,\N,A miniszter barátja,Viktor Bánky,Viktor Bánky; István Békeffy,IMDb ID Not found,\N,\N
tt0031703,Mystery Plane,George Waggner,Paul Schofield; George Waggner; Hal Forrest,Mystery Plane,George Waggner,\N,Mystery Plane,George Waggner,\N,Mystery Plane,George Waggner,Paul Schofield; George Waggner
tt0032793,Military Academy,D. Ross Lederman,\N,Military Academy,D. Ross Lederman,Karl Brown,Military Academy,D. Ross Lederman,Karl Brown; Richard English (story); David Silverstein,Military Academy,D. Ross Lederman,\N
tt0033156,Thou Shalt Not Kill,John H. Auer,George Carleton Brown; Robert Presnell Sr.,\N,\N,\N,Thou Shalt Not Kill,John H. Auer,Robert Presnell Sr. (screenplay); George Carleton Brown (story),Thou Shalt Not Kill,John H. Auer,Robert Presnell Sr.
tt0033880,\N,\N,\N,Q3846997,Ivo Perilli,Nicola Manzari,Margherita and Her Three Uncles,Ivo Perilli,Nicola Manzari; Renato May,IMDb ID Not found,\N,\N
tt0034417,"Those Were The Days, Senor Don Simon!",Julio Bracho,Julio Bracho,"¡Ay, qué tiempos, señor Don Simón!",Julio Bracho,\N,\N,\N,\N,"Those Were The Days, Senor Don Simon!",Julio Bracho,Julio Bracho; Neftalí Beltrán
tt0034497,Battle Troop,Kajirō Yamamoto,Kajirō Yamamoto,Raigekitai Shutsudo,Kajirō Yamamoto,\N,Battle Troop,Kajir� Yamamoto,Kajir� Yamamoto,Battle Troop,Kajirō Yamamoto,Kajirō Yamamoto
tt0034876,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez; Rafael Gil,Huella de luz,Rafael Gil,\N,Huella de luz,Rafael Gil,Rafael Gil; Wenceslao Fernández Flórez
tt0034887,\N,\N,\N,\N,\N,\N,Idyll in Mallorca,Max Neufeld,F�lix Aguilera; Max Neufeld (screenplay); Max Neufeld (story),IMDb ID Not found,\N,\N
tt0035028,Man From Headquarters,Jean Yarbrough,John W. Krafft,Man from Headquarters,Jean Yarbrough,\N,Man from Headquarters,Jean Yarbrough,John W. Krafft (screenplay); Edmond Kelso (additional dialogue); Rollo Lloyd,Man From Headquarters,Jean Yarbrough,John W. Krafft
tt0035220,Private Snuffy Smith,Edward F. Cline,Doncho Hall; Jack Henley; Lloyd French; John Grey,Private Snuffy Smith,Edward F. Cline,Billy DeBeck,Private Snuffy Smith,Edward F. Cline,"Billy DeBeck (comic strip ""Barney Google and Snuffy Smith""); John Grey (original screenplay); Jack Henley (original screenplay); Lloyd French (original screenplay); Doncho Hall (original screenplay)",Private Snuffy Smith,Edward F. Cline,Jack Henley; Doncho Hall; Lloyd French; John Grey
tt0037856,Kyläraittien kuningas,Jorma Nortimo,Kalle Kaarna,Q18693357,Jorma Nortimo,\N,Kyl�raittien kuningas,Jorma Nortimo,Kaarle Halme (novel); Kalle Kaarna,Kyläraittien kuningas,Jorma Nortimo,Kalle Kaarna
tt0038428,Cowboy Blues,Ray Nazarro,J. Benton Cheney,Cowboy Blues,Ray Nazarro,\N,Cowboy Blues,Ray Nazarro,\N,Cowboy Blues,Ray Nazarro,J. Benton Cheney
tt0038504,Earl Carroll Sketchbook,Albert S. Rogell,Parke Levy; Frank Gill Jr.,Earl Carroll Sketchbook,Albert S. Rogell,\N,Earl Carroll Sketchbook,Albert S. Rogell,\N,Earl Carroll Sketchbook,Albert S. Rogell,Parke Levy; Frank Gill Jr.
tt0038582,A Guy Could Change,William K. Howard,F. Hugh Herbert; Al Martin,A Guy Could Change,William K. Howard,\N,A Guy Could Change,William K. Howard,F. Hugh Herbert (story); Al Martin,A Guy Could Change,William K. Howard,Al Martin
tt0038878,Renegades,George Sherman,Harold Shumate; Francis Edward Faragoh; Melvin Levy,Renegades,George Sherman,\N,Renegades,George Sherman,Harold Shumate (story); Melvin Levy (screenplay); Francis Edward Faragoh (screenplay),Renegades,George Sherman,Francis Edward Faragoh; Melvin Levy
tt0039068,Uno tra la folla,Ennio Cerlesi,Ennio Cerlesi; Piero Tellini,One Between the Crowd,Ennio Cerlesi,\N,One Between the Crowd,Ennio Cerlesi,Ennio Cerlesi (screenplay); Massimo Rendina (story); Piero Tellini (story),Uno tra la folla,Ennio Cerlesi,Piero Tellini; Ennio Cerlesi
tt0040489,Jinx Money,William Beaudine,Edmond Seward; Gerald Schnitzer; Tim Ryan,Jinx Money,William Beaudine,\N,Jinx Money,William Beaudine,Edmond Seward; Tim Ryan; Gerald Schnitzer,Jinx Money,William Beaudine,Gerald Schnitzer; Tim Ryan; Edmond Seward
tt0041332,El Paso,Lewis R. Foster,Lewis R. Foster; J. Robert Bren; Gladys Atwater,El Paso,Lewis R. Foster,J. Robert Bren,El Paso,Lewis R. Foster,Lewis R. Foster; J. Robert Bren; Gladys Atwater,El Paso,Lewis R. Foster,Lewis R. Foster
tt0042566,Hokm Elqawi,Hassan Al-Imam,ElSayed Bedir,Q12208515,Hassan el-Imam,\N,The Law of the Jungle,Hassan Al Imam,\N,Hokm Elqawi,Hassan Al-Imam,ElSayed Bedir; Hassan Al-Imam
tt0044122,This Is Korea!,John Ford,\N,This is Korea,John Ford,\N,This Is Korea!,John Ford,\N,This Is Korea!,John Ford,\N
tt0045619,Champ for a Day,William A. Seiter,Irving Shulman,Champ for a Day,William A. Seiter,Irving Shulman,Champ for a Day,William A. Seiter,\N,Champ for a Day,William A. Seiter,Irving Shulman
tt0045809,\N,\N,\N,\N,\N,\N,Genkai no wani,\N,\N,IMDb ID Not found,\N,\N
tt0046237,Resan till dej,Stig Olin,Hasse Ekman; Stig Olin,Resan till dej,Stig Olin,\N,Resan till dej,Stig Olin,\N,Resan till dej,Stig Olin,Hasse Ekman; Stig Olin
tt0046718,Anupama,Agradoot,Sushil Jana; Agradoot; Sushil Jana,Anupama,Agradoot,\N,Anupama,Agradoot,\N,Anupama,Agradoot,Agradoot; Sushil Jana
tt0047027,La gitana y el charro,Gilberto Martínez Solares,Jesús María de Arozamena; José María Fernández; Blanca Estela Limón,\N,\N,\N,La gitana y el charro,Gilberto Martínez Solares,\N,La gitana y el charro,Gilberto Martínez Solares,Jesús María de Arozamena
tt0048283,Land of the Pharaohs,Howard Hawks,Harry Kurnitz; William Faulkner; Harold Jack Bloom,Land of the Pharaohs,Howard Hawks; Paul Helmick,Harold Jack Bloom; Harry Kurnitz; William Faulkner,Land of the Pharaohs,Howard Hawks,William Faulkner; Harry Kurnitz; Harold Jack Bloom,Land of the Pharaohs,Howard Hawks,William Faulkner; Harold Jack Bloom; Harry Kurnitz
tt0049108,Crowded Paradise,Fred Pressburger,Marc Connelly,\N,\N,\N,Crowded Paradise,Fred Pressburger,\N,Crowded Paradise,Fred Pressburger,Marc Connelly
tt0049784,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda,Early Spring,Yasujirô Ozu,Kôgo Noda; Yasujirô Ozu,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda
tt0050910,Rockets Galore,Michael Relph,Monja Danischewsky,Rockets Galore!,Michael Relph,Monja Danischewsky,Rockets Galore,Michael Relph,\N,Rockets Galore,Michael Relph,Monja Danischewsky
tt0053337,Teenagers from Outer Space,Tom Graeff,Tom Graeff,Teenagers from Outer Space,Tom Graeff,Tom Graeff,Teenagers from Outer Space,Tom Graeff,Tom Graeff,Teenagers from Outer Space,Tom Graeff,Tom Graeff
tt0054285,Atom Age Vampire,Anton Giulio Majano,Piero Monviso,Atom Age Vampire,Anton Giulio Majano,Alberto Bevilacqua,Atom Age Vampire,Anton Giulio Majano,\N,Atom Age Vampire,Anton Giulio Majano,Anton Giulio Majano; Alberto Bevilacqua; Gino De Santis
tt0055613,"Watch It, Sailor!",Wolf Rilla,Falkland L. Cary; Philip King,"Watch it, Sailor!",Wolf Rilla,Falkland Cary,"Watch It, Sailor!",Wolf Rilla,\N,"Watch It, Sailor!",Wolf Rilla,Falkland L. Cary; Philip King
tt0056289,The Notorious Landlady,Richard Quine,Blake Edwards; Larry Gelbart; Margery Sharp,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp,The Notorious Landlady,Richard Quine,Blake Edwards; Larry Gelbart
tt0056468,The Condemned of Altona,Vittorio De Sica,Cesare Zavattini; Abby Mann,The Condemned of Altona,Vittorio De Sica,Cesare Zavattini; Abby Mann; Jean-Paul Sartre,The Condemned of Altona,Vittorio De Sica,Jean-Paul Sartre; Cesare Zavattini; Abby Mann,The Condemned of Altona,Vittorio De Sica,Abby Mann; Cesare Zavattini
tt0056935,\N,\N,\N,\N,\N,\N,Cinderella,\N,Charles Perrault,IMDb ID Not found,\N,\N
tt0057076,From Russia with Love,Terence Young,Richard Maibaum,From Russia with Love,Terence Young,Johanna Harwood; Richard Maibaum,From Russia with Love,Terence Young,Richard Maibaum; Johanna Harwood; Ian Fleming,From Russia with Love,Terence Young,Johanna Harwood; Richard Maibaum
tt0057189,Island of Love,Morton DaCosta,Leo Katcher; David R. Schwartz,Island of Love,Morton DaCosta,\N,Island of Love,Morton DaCosta,David R. Schwartz; Leo Katcher,Island of Love,Morton DaCosta,David R. Schwartz
tt0059036,100 Horsemen,Vittorio Cottafavi,Vittorio Cottafavi; Giorgio Prosperi; Giorgio Prosperi; Vittorio Cottafavi; Enrico Ribulsi; José María Otero,100 Horsemen,Vittorio Cottafavi,Giorgio Prosperi; Vittorio Cottafavi; Antonio Eceiza,I cento cavalieri,Vittorio Cottafavi,Vittorio Cottafavi; Giorgio Prosperi; José María Otero,100 Horsemen,Vittorio Cottafavi,Enrico Ribulsi; Giorgio Prosperi; José María Otero; Vittorio Cottafavi
tt0059043,The Collector,William Wyler,Stanley Mann; John Kohn,The Collector,William Wyler,Stanley Mann; John Kohn; Terry Southern,The Collector,William Wyler,John Fowles; John Kohn; Stanley Mann,The Collector,William Wyler,Stanley Mann; John Kohn
tt0059482,Placeres conyugales,Luis Saslavsky,Luis Saslavsky; Abel Santacruz,Las Mujeres los prefieren tontos,Luis Saslavsky,\N,Placeres conyugales,Luis Saslavsky,\N,Placeres conyugales,Luis Saslavsky,Abel Santacruz; Luis Saslavsky
tt0059551,L'Or du duc,Jacques Baratier,Jacques Baratier; Éric Ollivier,L'Or du duc,Jacques Baratier,Jacques Baratier,L'Or du duc,Jacques Baratier,\N,L'Or du duc,Jacques Baratier,Jacques Baratier; Éric Ollivier
tt0061180,The Whisperers,Bryan Forbes,Bryan Forbes,The Whisperers,Bryan Forbes,Bryan Forbes,The Whisperers,Bryan Forbes,Robert Nicolson; Bryan Forbes,The Whisperers,Bryan Forbes,Bryan Forbes
tt0061437,Calamity the Cow,David Eastman,David Eastman; Kerry Eastman,Calamity the Cow,David Eastman,\N,Calamity the Cow,David Eastman,\N,Calamity the Cow,David Eastman,David Eastman; Kerry Eastman
tt0061441,Um Campista em Apuros,Herlander Peyroteo,Jorge Walter,\N,\N,\N,Um Campista em Apuros,Herlander Peyroteo,Herlander Peyroteo; Jorge Walger; César de Oliveira,Um Campista em Apuros,Herlander Peyroteo,Jorge Walter
tt0061828,An Italian in America,Alberto Sordi,Alberto Sordi; Alberto Sordi; Rodolfo Sonego; Rodolfo Sonego,An Italian in America,Alberto Sordi,Rodolfo Sonego; Alberto Sordi,An Italian in America,Alberto Sordi,\N,An Italian in America,Alberto Sordi,Rodolfo Sonego; Alberto Sordi
tt0061877,"Kill, Panther, Kill!",Gianfranco Parolini,Gianfranco Parolini; Günter Rudorf; Giovanni Simonelli,Kommissar X - Drei blaue Panther,Gianfranco Parolini,Giovanni Simonelli,Kommissar X - Drei blaue Panther,Gianfranco Parolini,Gianfranco Parolini; Günter Rudorf; Giovanni Simonelli,"Kill, Panther, Kill!",Gianfranco Parolini,Günter Rudorf; Giovanni Simonelli; Gianfranco Parolini
tt0062231,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra,Blood of the Virgins,Emilio Vieyra,\N,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra
tt0062863,Dark of the Sun,Jack Cardiff,Ranald MacDougall; Adrian Spies,Dark of the Sun,Jack Cardiff,Ranald MacDougall,Dark of the Sun,Jack Cardiff,Ranald MacDougall; Adrian Spies; Wilbur Smith,Dark of the Sun,Jack Cardiff,Ranald MacDougall; Adrian Spies
tt0063142,Isle of the Snake People,Juan Ibáñez; Jack Hill,Jack Hill; Luis Enrique Vergara; Juan Ibáñez,Isle of the Snake People,Juan Ibáñez Díez-Gutiérrez; Jack Hill,Jack Hill; Luis Enrique Vergara,Isle of the Snake People,Juan Ibáñez; Jack Hill,\N,Isle of the Snake People,Jack Hill; Juan Ibáñez,Jack Hill; Luis Enrique Vergara; Juan Ibáñez
tt0063190,Komedi i Hägerskog,Torgny Anderberg,Torgny Anderberg,Q10547303,Torgny Anderberg,Torgny Anderberg,Komedi i Hägerskog,Torgny Anderberg,\N,Komedi i Hägerskog,Torgny Anderberg,Torgny Anderberg
tt0063556,It's Your Move,Roberto Fizz,\N,It's Your Move,Roberto Fizz,José Gutiérrez Maesso; Luciano Martino; Tito Carpi; Ennio de Concini,It's Your Move,Roberto Fizz,Massimiliano Capriccioli; Tito Carpi; Juan Cesarabea,It's Your Move,Roberto Fizz,\N
tt0063760,Inconsolable Widows Are Looking For Distractions,Bruno Gaburro,Bruno Gaburro; Gianluigi Anelli; Giacomo Gramegna,Q4009212,Bruno Gaburro,Bruno Gaburro,Inconsolable Widows Are Looking For Distractions,Bruno Gaburro,\N,Inconsolable Widows Are Looking For Distractions,Bruno Gaburro,Giacomo Gramegna; Bruno Gaburro; Gianluigi Anelli
tt0064119,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta,Poppea's Hot Nights,Guido Malatesta,\N,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta
tt0064208,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni
tt0064243,The Sweet Body of Deborah,Romolo Guerrieri,Ernesto Gastaldi; Luciano Martino,The Sweet Body of Deborah,Romolo Guerrieri,Luciano Martino; Ernesto Gastaldi,The Sweet Body of Deborah,Romolo Guerrieri,\N,The Sweet Body of Deborah,Romolo Guerrieri,Ernesto Gastaldi
tt0064667,The Mighty Gorga,David L. Hewitt,David L. Hewitt; Jean Hewitt,The Mighty Gorga,David L. Hewitt,\N,The Mighty Gorga,David L. Hewitt,David L. Hewitt; Jean Hewitt; Robert Vincent O'Neil,The Mighty Gorga,David L. Hewitt,Jean Hewitt; David L. Hewitt
tt0066470,La tonta del bote,Juan de Orduña,Eloy Herrera Santos; Rafael J. Salvia; Margarita Robles; Pilar Millán Astray,The Complete Idiot,Juan de Orduña,Rafael J. Salvia; Margarita Robles,La tonta del bote,Juan de Orduña,Rafael J. Salvia; Eloy Herrera Santos; Pilar Millán Astray,La tonta del bote,Juan de Orduña,Margarita Robles; Eloy Herrera Santos; Rafael J. Salvia; Pilar Millán Astray
tt0067493,Bloodiest Flower,Kōsaku Yamashita,Tatsuo Nogami,\N,\N,\N,Bloodiest Flower,Kōsaku Yamashita,\N,Bloodiest Flower,Kōsaku Yamashita,Tatsuo Nogami
tt0067695,The Russian Field,Nikolai Moskalenko,Mikhail Alekseyev,Russian field,Nikolay Moskalenko,Mikhail Alekseyev,The Russian Field,Nikolai Moskalenko,\N,The Russian Field,Nikolai Moskalenko,Mikhail Alekseyev
tt0069147,Who Is Beta?,Nelson Pereira dos Santos,Nelson Pereira dos Santos; Gérard Levy-Clerc,Q118646693,Nelson Pereira dos Santos,\N,Who Is Beta?,Nelson Pereira dos Santos,\N,Who Is Beta?,Nelson Pereira dos Santos,Gérard Levy-Clerc; Pierre Kast; Nelson Pereira dos Santos
tt0069224,Sattar Khan,Ali Hatami,Ali Hatami,Sattar Khan,Ali Hatami,Ali Hatami,Sattar Khan,Ali Hatami,\N,Sattar Khan,Ali Hatami,Ali Hatami
tt0069702,Ambush,Ho Meng-Hua,Patrick Kong Yeung,Ambush,Ho Meng Hua,\N,Mai fu,Meng-Hua Ho,Yang Chiang,Ambush,Ho Meng-Hua,Patrick Kong Yeung
tt0070049,Facets of Love,Li Han-Hsiang,Li Han-Hsiang,Facets of Love,Li Han-hsiang,Li Han-hsiang,Facets of Love,Han Hsiang Li,Han Hsiang Li,Facets of Love,Li Han-Hsiang,Li Han-Hsiang
tt0070124,Gordon's War,Ossie Davis,Howard Friedlander; Ed Spielman,Gordon's War,Ossie Davis,Ed Spielman; Howard Friedlander,Gordon's War,Ossie Davis,\N,Gordon's War,Ossie Davis,Howard Friedlander; Ed Spielman
