tconst,omdb_title,omdb_directors,omdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0016551,Women and Gold,James P. Hogan,Betty Grace Hartford; James P. Hogan,Women and Gold,\N,\N
tt0017500,The Unknown Cavalier,Albert S. Rogell,Kenneth Perkins; Marion Jackson; Don Ryan,The Unknown Cavalier,Albert S. Rogell,\N
tt0017743,Chang: A Drama of the Wilderness,Merian C. Cooper; Ernest B. Schoedsack,Achmed Abdullah; Merian C. Cooper; Ernest B. Schoedsack,Chang,Ernest B. Schoedsack; Merian C. Cooper,Achmed Abdullah; Merian C. Cooper; Ernest B. Schoedsack
tt0017829,Dress Parade,Donald Crisp,Alexander Chilton; Douglas Z. Doty; Robert Glassburn,Dress Parade,Donald Crisp,\N
tt0018336,The Romantic Age,Robert Florey,Dorothy Howell,The Romantic Age,Robert Florey,\N
tt0018953,The Grain of Dust,George Archainbaud,Frances Hyland; Paul Perez; David Graham Phillips,The Grain of Dust,George Archainbaud,Gordon Rigby
tt0020514,The Trespasser,Edmund Goulding,Edmund Goulding,The Trespasser,Edmund Goulding,Edmund Goulding
tt0020803,Dames Ahoy,William James Craft,Sherman L. Lowe; Albert DeMond; Matt Taylor,Q16989055,William James Craft,Sherman L. Lowe
tt0021404,The Song of the Flame,Alan Crosland,Oscar Hammerstein II; Otto A. Harbach; Gordon Rigby,Song of the Flame,Alan Crosland,Gordon Rigby
tt0021483,Tom Sawyer,John Cromwell,Mark Twain; Grover Jones; William Slavens McNutt,Tom Sawyer,John Cromwell,Grover Jones
tt0022101,M'Blimey,J. Elder Wills,C.H. Dand; Hans Nieter,\N,\N,\N
tt0024950,Il cappello a tre punte,Mario Camerini,Ercole Patti; Ivo Perilli; Mario Soldati,The Three-Cornered Hat,Mario Camerini,Ercole Patti; Mario Soldati; Ivo Perilli
tt0024952,Caravan,Erik Charell,Erik Charell; Hanns Kräly; Melchior Lengyel,Caravan,Erik Charell,Samson Raphaelson
tt0025512,Mon coeur t'appelle,Carmine Gallone; Serge Veber,Ernst Marischka; Emeric Pressburger,Mon cœur t'appelle,Carmine Gallone,Ernst Marischka
tt0026542,Jalna,John Cromwell,Mazo de la Roche; Garrett Fort; Lawrence P. Bachmann,Jalna,John Cromwell,Anthony Veiller
tt0026546,Jérôme Perreau héros des barricades,Abel Gance,Henry Dupuis-Mazuel; Paul Fékété; Abel Gance,Jérôme Perreau héros des barricades,Abel Gance,Abel Gance
tt0027060,Super-Speed,Lambert Hillyer,Harold Shumate,Super Speed,\N,\N
tt0027535,Don't Get Personal,Charles Lamont; William Nigh,"Wilhelm Thiele (story ""Tomorrow is a Better Day""); Edmund L. Hartmann (story ""Tomorrow is a Better Day""); George Waggner (screenplay); Clarence Marks (screenplay); Houston Branch (screenplay)",Don't Get Personal,William Nigh,George Waggner
tt0028220,Savoy-Hotel 217,Gustav Ucicky,Gerhard Menzel,Savoy Hotel 217,Gustav Ucicky; Eduard von Borsody,Gerhard Menzel
tt0029085,Bubi,Béla Gaál,Felix Jackson; Max Kolpé,\N,\N,\N
tt0029141,Liebe kann lügen,Heinz Helbig,Fred Andreas; Erich Ebermayer; Franz Wallner-Basté,Love Can Lie,Heinz Helbig,\N
tt0029328,You're in the Army Now,Raoul Walsh,Lesser Samuels; Ralph Gilbert Bettison; Austin Melford,O.H.M.S.,Raoul Walsh,\N
tt0030981,Wives Under Suspicion,James Whale,Myles Connolly; Ladislas Fodor,Wives Under Suspicion,James Whale,Myles Connolly
tt0031655,The Minister's Friend,Viktor Bánky,Viktor Bánky; István Békeffy,The Minister's Friend,Viktor Bánky,\N
tt0031703,Mystery Plane,George Waggner,Paul Schofield; George Waggner; Hal Forrest,Mystery Plane,George Waggner,\N
tt0032793,Military Academy,D. Ross Lederman,Karl Brown; David Silverstein; Richard English,Military Academy,D. Ross Lederman,Karl Brown
tt0033156,Thou Shalt Not Kill,John H. Auer,Robert Presnell Sr.; George Carleton Brown,\N,\N,\N
tt0033880,Margherita fra i tre,Ivo Perilli,Nicola Manzari; Renato May; Fritz Schwiefert,Q3846997,Ivo Perilli,Nicola Manzari
tt0034417,"Those Were The Days, Senor Don Simon!",Julio Bracho,Neftali Beltrán; Julio Bracho,"¡Ay, qué tiempos, señor Don Simón!",Julio Bracho,\N
tt0034497,Raigekitai Shutsudô,Kajirô Yamamoto,Kajirô Yamamoto,Raigekitai Shutsudo,Kajirō Yamamoto,\N
tt0034876,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez; Rafael Gil,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez; Rafael Gil
tt0034887,Idyll in Mallorca,Max Neufeld,Félix Aguilera; Max Neufeld (screenplay); Max Neufeld (story),\N,\N,\N
tt0035028,Man from Headquarters,Jean Yarbrough,John W. Krafft; Edmond Kelso; Rollo Lloyd,Man from Headquarters,Jean Yarbrough,\N
tt0035220,Private Snuffy Smith,Edward F. Cline,Billy DeBeck; John Grey; Jack Henley,Private Snuffy Smith,Edward F. Cline,Billy DeBeck
tt0037856,Kyläraittien kuningas,Jorma Nortimo,Kaarle Halme; Kalle Kaarna,Q18693357,Jorma Nortimo,\N
tt0038428,Cowboy Blues,Ray Nazarro,J. Benton Cheney,Cowboy Blues,Ray Nazarro,\N
tt0038504,Earl Carroll Sketchbook,Albert S. Rogell,Frank Gill Jr.; Parke Levy,Earl Carroll Sketchbook,Albert S. Rogell,\N
tt0038582,A Guy Could Change,William K. Howard,F. Hugh Herbert; Al Martin,A Guy Could Change,William K. Howard,\N
tt0038878,Renegades,George Sherman,Harold Shumate; Melvin Levy; Francis Edward Faragoh,Renegades,George Sherman,\N
tt0039068,Uno tra la folla,Ennio Cerlesi,Ennio Cerlesi; Massimo Rendina; Piero Tellini,One Between the Crowd,Ennio Cerlesi,\N
tt0040489,Jinx Money,William Beaudine,Edmond Seward; Tim Ryan; Gerald Schnitzer,Jinx Money,William Beaudine,\N
tt0041332,El Paso,Lewis R. Foster,Lewis R. Foster; J. Robert Bren; Gladys Atwater,El Paso,Lewis R. Foster,J. Robert Bren
tt0042566,Hokm al kawi,Hasan El-Emam,Hasan El-Emam,Q12208515,Hassan el-Imam,\N
tt0044122,This Is Korea!,John Ford,James Warner Bellah,This is Korea,John Ford,\N
tt0045619,Champ for a Day,William A. Seiter,Irving Shulman; W.G. Fay,Champ for a Day,William A. Seiter,Irving Shulman
tt0045809,Genkai no wani,\N,\N,\N,\N,\N
tt0046237,Resan till dej,Stig Olin,Stig Olin; Hasse Ekman,Resan till dej,Stig Olin,\N
tt0046718,Anupama,Agradoot,\N,Anupama,Agradoot,\N
tt0047027,La gitana y el charro,Gilberto Martínez Solares,Jesús María de Arozamena; José María Fernández; Blanca Estela Limón,\N,\N,\N
tt0048283,Land of the Pharaohs,Howard Hawks,William Faulkner; Harry Kurnitz; Harold Jack Bloom,Land of the Pharaohs,Howard Hawks; Paul Helmick,Harold Jack Bloom; Harry Kurnitz; William Faulkner
tt0049108,Crowded Paradise,Fred Pressburger; Ben Gradus,Marc Connelly; Arthur Forrest,\N,\N,\N
tt0049784,Early Spring,Yasujirô Ozu,Kôgo Noda; Yasujirô Ozu,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda
tt0050910,Mad Little Island,Michael Relph,Compton MacKenzie; Monja Danischewsky,Rockets Galore!,Michael Relph,Monja Danischewsky
tt0053337,Teenagers from Outer Space,Tom Graeff,Tom Graeff,Teenagers from Outer Space,Tom Graeff,Tom Graeff
tt0054285,Atom Age Vampire,Anton Giulio Majano,Piero Monviso; Gino De Santis; Alberto Bevilacqua,Atom Age Vampire,Anton Giulio Majano,Alberto Bevilacqua
tt0055613,"Watch It, Sailor!",Wolf Rilla,Falkland L. Cary; Philip King,"Watch it, Sailor!",Wolf Rilla,Falkland Cary
tt0056289,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp
tt0056468,The Condemned of Altona,Vittorio De Sica,Jean-Paul Sartre; Cesare Zavattini; Abby Mann,The Condemned of Altona,Vittorio De Sica,Cesare Zavattini; Abby Mann; Jean-Paul Sartre
tt0056935,Cinderella,\N,Charles Perrault,\N,\N,\N
tt0057076,From Russia with Love,Terence Young,Richard Maibaum; Johanna Harwood; Ian Fleming,From Russia with Love,Terence Young,Johanna Harwood; Richard Maibaum
tt0057189,Island of Love,Morton DaCosta,David R. Schwartz; Leo Katcher,Island of Love,Morton DaCosta,\N
tt0059036,I cento cavalieri,Vittorio Cottafavi,Vittorio Cottafavi; Giorgio Prosperi; José María Otero,100 Horsemen,Vittorio Cottafavi,Giorgio Prosperi; Vittorio Cottafavi; Antonio Eceiza
tt0059043,The Collector,William Wyler,John Fowles; John Kohn; Stanley Mann,The Collector,William Wyler,Stanley Mann; John Kohn; Terry Southern
tt0059482,Las mujeres los prefieren tontos,Luis Saslavsky,Carlos Llopis; Abel Santa Cruz; Luis Saslavsky,Las Mujeres los prefieren tontos,Luis Saslavsky,\N
tt0059551,L'or du duc,Jacques Baratier,Jacques Baratier; Eric Ollivier,L'Or du duc,Jacques Baratier,Jacques Baratier
tt0061180,The Whisperers,Bryan Forbes,Robert Nicolson; Bryan Forbes,The Whisperers,Bryan Forbes,Bryan Forbes
tt0061437,Calamity the Cow,David Eastman,David Eastman; Kerry Eastman,Calamity the Cow,David Eastman,\N
tt0061441,Um Campista em Apuros,Herlander Peyroteo,Herlander Peyroteo; Jorge Walger; César de Oliveira,\N,\N,\N
tt0061828,An Italian in America,Alberto Sordi,Alberto Sordi; Rodolfo Sonego,An Italian in America,Alberto Sordi,Rodolfo Sonego; Alberto Sordi
tt0061877,Kommissar X - Drei blaue Panther,Gianfranco Parolini,Gianfranco Parolini; Günter Rudorf; Giovanni Simonelli,Kommissar X - Drei blaue Panther,Gianfranco Parolini,Giovanni Simonelli
tt0062231,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra
tt0062863,Dark of the Sun,Jack Cardiff,Ranald MacDougall; Adrian Spies; Wilbur Smith,Dark of the Sun,Jack Cardiff,Ranald MacDougall
tt0063142,Isle of the Snake People,Juan Ibáñez; Jack Hill,Jack Hill; Juan Ibáñez; Luis Enrique Vergara,Isle of the Snake People,Juan Ibáñez Díez-Gutiérrez; Jack Hill,Jack Hill; Luis Enrique Vergara
tt0063190,Komedi i Hägerskog,Torgny Anderberg,Torgny Anderberg; Artur Lundkvist,Q10547303,Torgny Anderberg,Torgny Anderberg
tt0063556,It's Your Move,Roberto Fizz,Massimiliano Capriccioli; Tito Carpi; Juan Cesarabea,It's Your Move,Roberto Fizz,José Gutiérrez Maesso; Luciano Martino; Tito Carpi; Ennio de Concini
tt0063760,Vedove inconsolabili in cerca di... distrazioni,Bruno Gaburro,Gianluigi Anelli; Bruno Gaburro; Giacomo Gramegna,Q4009212,Bruno Gaburro,Bruno Gaburro
tt0064119,Le calde notti di Poppea,Guido Malatesta,Gianfranco Clerici; Guido Malatesta,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta
tt0064208,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni
tt0064243,The Sweet Body of Deborah,Romolo Guerrieri,Ernesto Gastaldi; Luciano Martino,The Sweet Body of Deborah,Romolo Guerrieri,Luciano Martino; Ernesto Gastaldi
tt0064667,The Mighty Gorga,David L. Hewitt,David L. Hewitt; Jean Hewitt; Robert Vincent O'Neil,The Mighty Gorga,David L. Hewitt,\N
tt0066470,La tonta del bote,Juan de Orduña,Rafael J. Salvia; Eloy Herrera Santos; Pilar Millán Astray,The Complete Idiot,Juan de Orduña,Rafael J. Salvia; Margarita Robles
tt0067493,Nihon jokyo-den: ketto midare-bana,Kôsaku Yamashita,Tatsuo Nogami,\N,\N,\N
tt0067695,Russkoye pole,Nikolay Moskalenko,Mikhail Alekseyev,Russian field,Nikolay Moskalenko,Mikhail Alekseyev
tt0069147,Quem é Beta?,Nelson Pereira dos Santos,Gerard Leclery; Levi Menezes; Nelson Pereira dos Santos,Q118646693,Nelson Pereira dos Santos,\N
tt0069224,Sattar khan,Ali Hatami,Ali Hatami,Sattar Khan,Ali Hatami,Ali Hatami
tt0069702,Mai fu,Meng-Hua Ho,Yang Chiang,Ambush,Ho Meng Hua,\N
tt0070049,Facets of Love,Han Hsiang Li,Han Hsiang Li,Facets of Love,Li Han-hsiang,Li Han-hsiang
tt0070124,Gordon's War,Ossie Davis,Howard Friedlander; Ed Spielman,Gordon's War,Ossie Davis,Ed Spielman; Howard Friedlander
tt0071273,Can You Keep It Up for a Week?,Jim Atkinson,Hazel Adair,Can You Keep It Up for a Week?,\N,\N
tt0071974,The Wonderful Crook,Claude Goretta,Charlotte Dubreuil; Claude Goretta,The Wonderful Crook,Claude Goretta,\N
tt0072087,Rivals of Kung Fu,Fung Wong,Fung Wong,\N,\N,\N
tt0072284,Three the Hard Way,Gordon Parks Jr.,Eric Bercovici; Jerry Ludwig,Three the Hard Way,"Gordon Parks, Jr.",Eric Bercovici
tt0072640,Amore mio spogliati... che poi ti spiego!,Fabio Pittorru; Renzo Ragazzi,Fabio Pittorru,"Strip First, Then We Talk",Renzo Ragazzi; Fabio Pittorru,Fabio Pittorru
tt0072978,Fem dagar i Falköping,Marianne Ahrne,Marianne Ahrne; Bertrand Hurault,Five Days at Falkoebing,Marianne Ahrne,Marianne Ahrne
tt0074389,The Demon Lover,Donald G. Jackson; Jerry Younkins,Donald G. Jackson; Jerry Younkins,\N,\N,\N
tt0075707,Aurel Vlaicu,Mircea Dragan,Eugenia Busuioceanu,Aurel Vlaicu,Mircea Drăgan,\N
tt0075773,Bluff Stop,Jonas Cornell,Jonas Cornell,Bluff Stop,Jonas Cornell,Jonas Cornell
tt0075985,Emily,Henry Herbert,Christopher Neame,Emily,"Henry Herbert, 17th Earl of Pembroke",\N
tt0077373,Stay as You Are,Alberto Lattuada,Paolo Cavara; Enrico Oldoini; Alberto Lattuada,Stay As You Are,Alberto Lattuada,Enrico Oldoini; Alberto Lattuada
tt0079712,Perro callejero II,Gilberto Gazcón,Gilberto Gazcón,Perro callejero II,Gilberto Gazcón,\N
tt0080609,Denver,Carles Balagué,Carles Balagué; José María Latorre,\N,\N,\N
tt0082530,The Hot Touch,Roger Vadim,Peter Dion; Jean-Yves Pitoun; Lionel Chetwynd,The Hot Touch,Roger Vadim,Lionel Chetwynd
tt0083001,Roar,Noel Marshall,Noel Marshall; Ted Cassidy,Roar,Noel Marshall,Noel Marshall
tt0083853,Dreams Come True,Max Kalmanowicz,Steve Kinjerski,Dreams Come True,Max Kalmanowicz,\N
tt0084547,Przekleta ziemia,Ryszard Czekala,Ryszard Czekala; Stanislaw Srokowski,Q11828759,Ryszard Czekała,Ryszard Czekała
tt0084857,Het verleden,Bram van Erkel; Roy Logger; Bas van der Lecq,Judith Herzberg; Roy Logger; R.J. Peskens,Q2801635,Bram van Erkel,Judith Herzberg
tt0085234,Betrayal,David Hugh Jones,Harold Pinter,Betrayal,David Hugh Jones,Harold Pinter
tt0085527,Faunovo velmi pozdní odpoledne,Vera Chytilová,Jirí Brdecka; Vera Chytilová; Ester Krumbachová,The Very Late Afternoon of a Faun,Věra Chytilová,Ester Krumbachová; Věra Chytilová
tt0085922,Medeni mjesec,Nikola Babic,Nikola Babic; Zvonimir Majdak,Medeni mjesec,Nikola Babic,Željko Senečić
tt0086218,"Run Rebecca, Run!",Peter Maxwell,Charles Stamp; Gary Deacon,"Run Rebecca, Run",Peter Maxwell,\N
tt0086550,Vive la sociale!,Gérard Mordillat,Gérard Mordillat; Louis-Charles Sirjacq,Vive la sociale!,Gérard Mordillat,Gérard Mordillat; Jacques Audiard; Louis-Charles Sirjacq
tt0086962,Biberspur,Walter Beck,Walter Beck; Gudrun Deubener,\N,\N,\N
tt0088344,La vengeance du serpent à plumes,Gérard Oury,Gérard Oury; Danièle Thompson,La vengeance du serpent à plumes,Gérard Oury,Gérard Oury
tt0089103,Escalier C,Jean-Charles Tacchella,Elvire Murail; Jean-Charles Tacchella,Escalier C,Jean-Charles Tacchella,Elvire Murail; Jean-Charles Tacchella
tt0089467,Leave All Fair,John Reid,Jean Betts; Stanley Harper; Maurice Pons,Leave All Fair,John Reid,\N
tt0089945,Rustlers' Rhapsody,Hugh Wilson,Hugh Wilson,Rustlers' Rhapsody,Hugh Wilson,Hugh Wilson
tt0090022,Silverado,Lawrence Kasdan,Lawrence Kasdan; Mark Kasdan,Silverado,Lawrence Kasdan,Lawrence Kasdan
tt0090832,Shao ye de mo nan,Yigong Wu; Jianya Zhang,Mingzhi Ai; Minsan Si; Hans Borgelt,The Tribulations of a Chinese Gentleman,Wu Yigong,\N
tt0091545,Tanoure-ye Deev,Kianoush Ayari,Kianoush Ayari,The Monster,Kyanoush Ayari,Kyanoush Ayari
tt0091707,The Outing,Tom Daley,Warren Chaney,The Outing,Warren Chaney,\N
tt0093018,Fermín Salvoechea: visto para sentencia,M. Carlos Fernández,\N,\N,\N,\N
tt0093714,Penitentiary III,Jamaa Fanaka,Jamaa Fanaka,Penitentiary III,Jamaa Fanaka,\N
tt0094121,Teresa,Dino Risi,Graziano Diana; Dino Risi; Bernardino Zapponi,Teresa,Dino Risi,Bernardino Zapponi; Graziano Diana; Dino Risi
tt0094379,Zivot radnika,Miroslav Mandic,Haris Kulenovic; Emir Kusturica; Miroslav Mandic,A Worker's Life,Miroslav Mandić,\N
tt0096132,Soltana,Paul Harather,\N,\N,\N,\N
tt0096224,A Taste of Hemlock,Geoffrey Darwin,Pauline Macaulay; Eric Tynan Young,\N,\N,\N
tt0096346,Der Untergang des goldenen Webstuhls,Franz Winzentsen,Hermann Kasack; Franz Winzentsen,\N,\N,\N
tt0096951,Blood Red,Peter Masterson,Ron Cutler,Blood Red,Peter Masterson,\N
tt0097135,Curfew,Gary Winick,Kevin Kennedy,Curfew,Gary Winick,\N
tt0097395,Lost Souls,David Lai,Barry Wong,Lost Souls,David Lai,\N
tt0099098,Le bal du gouverneur,Marie-France Pisier,Marie-France Pisier,Le bal du gouverneur,Marie-France Pisier,Marie-France Pisier
tt0100198,Moya moryachka,Anatoly Eyramdzhan,Anatoly Eyramdzhan,My Seawoman,Anatoly Eiramdzhan,Anatoly Eiramdzhan
tt0100705,Street Asylum,Gregory Dark,Gregory Dark; John Powers,Street Asylum,Gregory Dark,\N
tt0100922,Derech Ha'nesher,Uri Barbash,Benny Barbash; Assi Dayan,Where Eagles Fly,Uri Barbash,Assi Dayan
tt0101295,Alice in Wondertown,Daniel Díaz Torres,Aldo Busto Hernández; Luis Felipe Calvo Bolaños; Daniel Díaz Torres,Alice in Wondertown,Daniel Díaz Torres,\N
tt0102790,Nothing But Lies,Paule Muret,Paule Muret; Jean-François Goyet,Nothing But Lies,Paule Muret,Paule Muret; Jean-François Goyet
tt0103800,Betty,Claude Chabrol,Claude Chabrol; Georges Simenon,Betty,Claude Chabrol,Claude Chabrol
tt0105393,The Silent Thrush,Sheng-Fu Cheng,Sheng-Fu Cheng; Kang-Nien Li; Yan Ling,\N,\N,\N
tt0106204,Aankhen,David Dhawan,Anees Bazmee,Aankhen,David Dhawan,Anees Bazmee
tt0107214,India,Paul Harather,Josef Hader; Alfred Dorfer; Paul Harather,Indien,Paul Harather,Josef Hader; Paul Harather; Alfred Dorfer
tt0107374,The Last Wargame,David Spell,\N,\N,\N,\N
tt0107398,The Incorruptible,Ying-Lok Lee,Man Fai Ng,\N,\N,\N
tt0108113,Shen tan gan shi lu,Kin-Kwok Lai,Ella Bo-wah Chan,Shadow Cop,\N,\N
tt0108304,Taxi Dancers,Norman Thaddeus Vane,Norman Thaddeus Vane,\N,\N,\N
tt0109734,Enter Achilles,Clara van Gool,\N,Enter Achilles,\N,\N
tt0110773,Paradjanov: A Requiem,Ron Holloway,\N,\N,\N,\N
tt0110839,"Pitra, Putra Aur Dharamyuddha",Anand Patwardhan,Anand Patwardhan,"Father, Son, and Holy War",Anand Patwardhan,\N
tt0111580,Uttoran,Sandip Ray,Satyajit Ray,The Broken Journey,Sandip Ray,Satyajit Ray
tt0113471,Jian dong shuang hu,Gwing-Gai Lee,Gwing-Gai Lee,\N,\N,\N
tt0113701,Love Is Blind,Denis Piel,\N,\N,\N,\N
tt0114618,Target,Sandip Ray,Sandip Ray; Satyajit Ray; Prafulla Roy,Target,Sandip Ray,\N
tt0118756,On Guard,Philippe de Broca,Philippe de Broca; Jean Cosmos; Paul Féval,On Guard,Philippe de Broca,Jérôme Tonnerre; Philippe de Broca; Jean Cosmos
tt0119422,The Journey,Harish Saluja,Lisa Kirk Colburn; Renee De Palma; Diana Osberg,\N,\N,\N
tt0120537,XXL,Ariel Zeitoun,Florence Quentin,XXL,Ariel Zeitoun,Florence Quentin
tt0121158,\N,\N,\N,\N,\N,\N
tt0124294,It Rains in My Village,Aleksandar Petrovic,Aleksandar Petrovic,It Rains in My Village,Aleksandar Petrović,Aleksandar Petrović
tt0125373,Lip Service,Shaun Costello,Shaun Costello,\N,\N,\N
tt0127586,Het snö,Torbjörn Axelman,Sandro Key-Åberg; Torbjörn Axelman; Henry Sidoli,Het snö,Torbjörn Axelman,Sandro Key-Åberg
tt0128355,La mondana nuda,Sergio Bergonzelli,\N,\N,\N,\N
tt0129192,The Last Insult,Mikhail Doronin,\N,\N,\N,\N
tt0131588,Smotri v oba!,Eldor Urazbaev,Aleksandr Borodyanskiy,Q4425258,Vladimir Martynov; Eldor Urazbayev,Alexander Borodyansky
tt0132351,Nach dem Gesetz,Willy Grunwald,Louis Levy,According to Law,Willy Grunwald,\N
tt0138835,"Stuj, nebo se netrefím",Jirí Chlumský,Milon Cepelka; Jirí Sebánek,"Halt, or I'll Miss!",Jiří Chlumský,Jiří Šebánek; Miloň Čepelka
tt0140275,The Promise,Vasilis Georgiadis,Nikos Foskolos,\N,\N,\N
tt0141656,Nice - À propos de Jean Vigo,Manoel de Oliveira,\N,À propos de Nice,Manoel de Oliveira,\N
tt0143234,Emil Habibi: I Stayed in Haifa,Dalia Karpel,\N,Emil Habibi: I Stayed in Haifa,\N,\N
tt0146020,Port Holes,Buck Adams,Mark Weiss,\N,\N,\N
tt0151119,Jealousy,G.B. Samuelson,John McNally; G.B. Samuelson,Jealousy,G. B. Samuelson,\N
tt0153074,"Tied, Trained and Transformed",Richard Rank,Larry M. Burton; Kurt Clemmens,\N,\N,\N
tt0154529,Le gendarme est sans pitié,Claude Autant-Lara,\N,Q19195138,Claude Autant-Lara,\N
tt0155221,Sundari,Aspi Irani,\N,Sundari,Aspi Irani,\N
tt0155608,Le chasseur de chez Maxim's,Henri Diamant-Berger,Henri Diamant-Berger; François Jérôme; Yves Mirande,The Porter from Maxim's,Henri Diamant-Berger,\N
tt0155986,Quai du Point-du-Jour,Jean Faurez,Raymond Bussières; Jacques Celhay; Jean Faurez,Q3412731,Jean Faurez,\N
tt0156481,Domenica,Maurice Cloche,Maurice Cloche; Jacques Deval,Domenica,Maurice Cloche,Jacques Deval
tt0156541,Folk Dances of India,Mohan Dayaram Bhavnani,\N,\N,\N,\N
tt0158605,An Environment,Santi P. Choudhury,\N,\N,\N,\N
tt0158671,In Her Defense,Sidney J. Furie,Marc Lynn; Jeffrey M. Rosenbaum,In Her Defense,Sidney J. Furie,\N
tt0158786,Minuit... Champs-Elysées,Roger Blanc,Roger Blanc; Jacques Celhay; Pierre Gaurier,Q24940272,Roger Blanc,\N
tt0160683,Pomme d'amour,Jean Dréville,Robert Paul; Raoul Ploquin; Charles d'Abadie,Q21009289,Jean Dréville,\N
tt0160698,"Princesse, à vos ordres!",Hanns Schwarz; Max de Vaucorbeil,Jean Boyer; Paul Frank; Robert Liebmann,"Princess, At Your Orders!",Hanns Schwarz; Max de Vaucorbeil,Jean Boyer; Robert Liebmann; Billy Wilder
tt0163541,Barriotonia,Kikol Grau,\N,\N,\N,\N
tt0164555,Early Bird Special,Mark Jean,Hillary Seitz,\N,\N,\N
tt0165817,Horse Play,Mario Falcon,\N,\N,\N,\N
tt0168146,Republikaner,Petra Schmidt; Peter Würth,Petra Schmidt; Peter Würth,\N,\N,\N
tt0168922,The Killings at Outpost Zeta,Robert Emenegger; Allan Sandler,Peter Dawson; Allan Sandler; Robert Emenegger,\N,\N,\N
tt0170277,Místo v houfu,Zbynek Brynych; Václav Gajer; Václav Krska,Antonín Mása,\N,\N,\N
tt0170372,Pesnya zovet,Shaken Ajmanov,Shaken Ajmanov; Kapan Satybaldin; Maro Yerzinkyan,Pesnya zovet,Shaken Ajmanov,Maro Erznkyan; Shaken Ajmanov
tt0172524,Gwiazdy musza plonac,Witold Lesiewicz; Andrzej Munk,Witold Lesiewicz; Karol Malcuzynski; Andrzej Munk,\N,\N,\N
tt0172850,Nad námi svítá,Jirí Krejcík,Jirí Krejcík; Jirí Marek,\N,\N,\N
tt0173027,Poteryannaya fotografiya,Lev Kulidzhanov,\N,Q112065933,Lev Kulidzhanov,Sergey Mikhalkov; Anatoly Aleksin
tt0173676,Black Flamingos - Sie lieben euch zu Tode,Houchang Allahyari,Harald Posch,Q131302311,Houchang Allahyari,\N
tt0173966,Korenite na izgryavashtoto slantze,Vulo Radev,Vulo Radev,\N,\N,\N
tt0175149,Seraya bolezn,Yakov Segel,Aleksandr Misharin; Yakov Segel; Andrey Veytsler,Q4416677,Yakov Segel,Yakov Segel; Andrey Veytsler; Aleksandr Misharin
