tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers
tt0031703,Mystery Plane,George Waggner,Paul Schofield; George Waggner; Hal Forrest,Mystery Plane,George Waggner,\N
tt0032793,Military Academy,D. Ross Lederman,\N,Military Academy,D. Ross Lederman,Karl Brown
tt0033156,Thou Shalt Not Kill,John H. Auer,George Carleton Brown; Robert Presnell Sr.,\N,\N,\N
tt0033880,\N,\N,\N,Q3846997,Ivo Perilli,Nicola Manzari
tt0034417,"Those Were The Days, Senor Don Simon!",Julio Bracho,Julio Bracho,"¡Ay, qué tiempos, señor Don Simón!",Julio Bracho,\N
tt0034497,Battle Troop,Kajirō Yamamoto,Kajirō Yamamoto,Raigekitai Shutsudo,Kajirō Yamamoto,\N
tt0034876,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez,Huella de luz,Rafael Gil,Wenceslao Fernández Flórez; Rafael Gil
tt0034887,\N,\N,\N,\N,\N,\N
tt0035028,Man From Headquarters,Jean Yarbrough,John W. Krafft,Man from Headquarters,Jean Yarbrough,\N
tt0035220,Private Snuffy Smith,Edward F. Cline,Doncho Hall; Jack Henley; Lloyd French; John Grey,Private Snuffy Smith,Edward F. Cline,Billy DeBeck
tt0037856,Kyläraittien kuningas,Jorma Nortimo,Kalle Kaarna,Q18693357,Jorma Nortimo,\N
tt0038428,Cowboy Blues,Ray Nazarro,J. Benton Cheney,Cowboy Blues,Ray Nazarro,\N
tt0038504,Earl Carroll Sketchbook,Albert S. Rogell,Parke Levy; Frank Gill Jr.,Earl Carroll Sketchbook,Albert S. Rogell,\N
tt0038582,A Guy Could Change,William K. Howard,F. Hugh Herbert; Al Martin,A Guy Could Change,William K. Howard,\N
tt0038878,Renegades,George Sherman,Harold Shumate; Francis Edward Faragoh; Melvin Levy,Renegades,George Sherman,\N
tt0039068,Uno tra la folla,Ennio Cerlesi,Ennio Cerlesi; Piero Tellini,One Between the Crowd,Ennio Cerlesi,\N
tt0040489,Jinx Money,William Beaudine,Edmond Seward; Gerald Schnitzer; Tim Ryan,Jinx Money,William Beaudine,\N
tt0041332,El Paso,Lewis R. Foster,Lewis R. Foster; J. Robert Bren; Gladys Atwater,El Paso,Lewis R. Foster,J. Robert Bren
tt0042566,Hokm Elqawi,Hassan Al-Imam,ElSayed Bedir,Q12208515,Hassan el-Imam,\N
tt0044122,This Is Korea!,John Ford,\N,This is Korea,John Ford,\N
tt0045619,Champ for a Day,William A. Seiter,Irving Shulman,Champ for a Day,William A. Seiter,Irving Shulman
tt0045809,\N,\N,\N,\N,\N,\N
tt0046237,Resan till dej,Stig Olin,Hasse Ekman; Stig Olin,Resan till dej,Stig Olin,\N
tt0046718,Anupama,Agradoot,Sushil Jana; Agradoot; Sushil Jana,Anupama,Agradoot,\N
tt0047027,La gitana y el charro,Gilberto Martínez Solares,Jesús María de Arozamena; José María Fernández; Blanca Estela Limón,\N,\N,\N
tt0048283,Land of the Pharaohs,Howard Hawks,Harry Kurnitz; William Faulkner; Harold Jack Bloom,Land of the Pharaohs,Howard Hawks; Paul Helmick,Harold Jack Bloom; Harry Kurnitz; William Faulkner
tt0049108,Crowded Paradise,Fred Pressburger,Marc Connelly,\N,\N,\N
tt0049784,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda,Early Spring,Yasujirō Ozu,Yasujirō Ozu; Kōgo Noda
tt0050910,Rockets Galore,Michael Relph,Monja Danischewsky,Rockets Galore!,Michael Relph,Monja Danischewsky
tt0053337,Teenagers from Outer Space,Tom Graeff,Tom Graeff,Teenagers from Outer Space,Tom Graeff,Tom Graeff
tt0054285,Atom Age Vampire,Anton Giulio Majano,Piero Monviso,Atom Age Vampire,Anton Giulio Majano,Alberto Bevilacqua
tt0055613,"Watch It, Sailor!",Wolf Rilla,Falkland L. Cary; Philip King,"Watch it, Sailor!",Wolf Rilla,Falkland Cary
tt0056289,The Notorious Landlady,Richard Quine,Blake Edwards; Larry Gelbart; Margery Sharp,The Notorious Landlady,Richard Quine,Larry Gelbart; Blake Edwards; Margery Sharp
tt0056468,The Condemned of Altona,Vittorio De Sica,Cesare Zavattini; Abby Mann,The Condemned of Altona,Vittorio De Sica,Cesare Zavattini; Abby Mann; Jean-Paul Sartre
tt0056935,\N,\N,\N,\N,\N,\N
tt0057076,From Russia with Love,Terence Young,Richard Maibaum,From Russia with Love,Terence Young,Johanna Harwood; Richard Maibaum
tt0057189,Island of Love,Morton DaCosta,Leo Katcher; David R. Schwartz,Island of Love,Morton DaCosta,\N
tt0059036,100 Horsemen,Vittorio Cottafavi,Vittorio Cottafavi; Giorgio Prosperi; Giorgio Prosperi; Vittorio Cottafavi; Enrico Ribulsi; José María Otero,100 Horsemen,Vittorio Cottafavi,Giorgio Prosperi; Vittorio Cottafavi; Antonio Eceiza
tt0059043,The Collector,William Wyler,Stanley Mann; John Kohn,The Collector,William Wyler,Stanley Mann; John Kohn; Terry Southern
tt0059482,Placeres conyugales,Luis Saslavsky,Luis Saslavsky; Abel Santacruz,Las Mujeres los prefieren tontos,Luis Saslavsky,\N
tt0059551,L'Or du duc,Jacques Baratier,Jacques Baratier; Éric Ollivier,L'Or du duc,Jacques Baratier,Jacques Baratier
tt0061180,The Whisperers,Bryan Forbes,Bryan Forbes,The Whisperers,Bryan Forbes,Bryan Forbes
tt0061437,Calamity the Cow,David Eastman,David Eastman; Kerry Eastman,Calamity the Cow,David Eastman,\N
tt0061441,Um Campista em Apuros,Herlander Peyroteo,Jorge Walter,\N,\N,\N
tt0061828,An Italian in America,Alberto Sordi,Alberto Sordi; Alberto Sordi; Rodolfo Sonego; Rodolfo Sonego,An Italian in America,Alberto Sordi,Rodolfo Sonego; Alberto Sordi
tt0061877,"Kill, Panther, Kill!",Gianfranco Parolini,Gianfranco Parolini; Günter Rudorf; Giovanni Simonelli,Kommissar X - Drei blaue Panther,Gianfranco Parolini,Giovanni Simonelli
tt0062231,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra,Blood of the Virgins,Emilio Vieyra,Emilio Vieyra
tt0062863,Dark of the Sun,Jack Cardiff,Ranald MacDougall; Adrian Spies,Dark of the Sun,Jack Cardiff,Ranald MacDougall
tt0063142,Isle of the Snake People,Juan Ibáñez; Jack Hill,Jack Hill; Luis Enrique Vergara; Juan Ibáñez,Isle of the Snake People,Juan Ibáñez Díez-Gutiérrez; Jack Hill,Jack Hill; Luis Enrique Vergara
tt0063190,Komedi i Hägerskog,Torgny Anderberg,Torgny Anderberg,Q10547303,Torgny Anderberg,Torgny Anderberg
tt0063556,It's Your Move,Roberto Fizz,\N,It's Your Move,Roberto Fizz,José Gutiérrez Maesso; Luciano Martino; Tito Carpi; Ennio de Concini
tt0063760,Inconsolable Widows Are Looking For Distractions,Bruno Gaburro,Bruno Gaburro; Gianluigi Anelli; Giacomo Gramegna,Q4009212,Bruno Gaburro,Bruno Gaburro
tt0064119,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta,Poppea's Hot Nights,Guido Malatesta,Gianfranco Clerici; Guido Malatesta
tt0064208,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni,Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni
tt0064243,The Sweet Body of Deborah,Romolo Guerrieri,Ernesto Gastaldi; Luciano Martino,The Sweet Body of Deborah,Romolo Guerrieri,Luciano Martino; Ernesto Gastaldi
tt0064667,The Mighty Gorga,David L. Hewitt,David L. Hewitt; Jean Hewitt,The Mighty Gorga,David L. Hewitt,\N
tt0066470,La tonta del bote,Juan de Orduña,Eloy Herrera Santos; Rafael J. Salvia; Margarita Robles; Pilar Millán Astray,The Complete Idiot,Juan de Orduña,Rafael J. Salvia; Margarita Robles
tt0067493,Bloodiest Flower,Kōsaku Yamashita,Tatsuo Nogami,\N,\N,\N
tt0067695,The Russian Field,Nikolai Moskalenko,Mikhail Alekseyev,Russian field,Nikolay Moskalenko,Mikhail Alekseyev
tt0069147,Who Is Beta?,Nelson Pereira dos Santos,Nelson Pereira dos Santos; Gérard Levy-Clerc,Q118646693,Nelson Pereira dos Santos,\N
tt0069224,Sattar Khan,Ali Hatami,Ali Hatami,Sattar Khan,Ali Hatami,Ali Hatami
tt0069702,Ambush,Ho Meng-Hua,Patrick Kong Yeung,Ambush,Ho Meng Hua,\N
tt0070049,Facets of Love,Li Han-Hsiang,Li Han-Hsiang,Facets of Love,Li Han-hsiang,Li Han-hsiang
tt0070124,Gordon's War,Ossie Davis,Howard Friedlander; Ed Spielman,Gordon's War,Ossie Davis,Ed Spielman; Howard Friedlander
tt0071273,Can You Keep It Up for a Week?,Jim Atkinson,\N,Can You Keep It Up for a Week?,\N,\N
tt0071974,The Wonderful Crook,Claude Goretta,Charlotte Dubreuil; Claude Goretta,The Wonderful Crook,Claude Goretta,\N
tt0072087,Rivals of Kung Fu,Wong Fung,Wong Fung,\N,\N,\N
tt0072284,Three the Hard Way,Gordon Parks Jr.,Eric Bercovici; Jerrold L. Ludwig,Three the Hard Way,"Gordon Parks, Jr.",Eric Bercovici
tt0072640,"Strip First, Then We Talk",Renzo Ragazzi; Fabio Pittorru,Fabio Pittorru; Fabio Pittorru,"Strip First, Then We Talk",Renzo Ragazzi; Fabio Pittorru,Fabio Pittorru
tt0072978,Five Days in Falköping,Marianne Ahrne,Marianne Ahrne; Bertrand Hurault,Five Days at Falkoebing,Marianne Ahrne,Marianne Ahrne
tt0074389,The Demon Lover,Donald G. Jackson; Jerry Younkins,Jerry Younkins; Donald G. Jackson,\N,\N,\N
tt0075707,Aurel Vlaicu,Mircea Drăgan,Eugenia Busuioceanu,Aurel Vlaicu,Mircea Drăgan,\N
tt0075773,Bluff Stop,Jonas Cornell,Jonas Cornell,Bluff Stop,Jonas Cornell,Jonas Cornell
tt0075985,Emily,Henry Herbert,Christopher Neame,Emily,"Henry Herbert, 17th Earl of Pembroke",\N
tt0077373,Stay as You Are,Alberto Lattuada,Alberto Lattuada; Enrico Oldoini; Enrico Oldoini; Paolo Cavara,Stay As You Are,Alberto Lattuada,Enrico Oldoini; Alberto Lattuada
tt0079712,Perro callejero 2,Gilberto Gazcón,Gilberto Gazcón,Perro callejero II,Gilberto Gazcón,\N
tt0080609,Denver,Carles Balagué,José María Latorre; Carles Balagué,\N,\N,\N
tt0082530,The Hot Touch,Roger Vadim,Jean-Yves Pitoun; Lionel Chetwynd; Lionel Chetwynd,The Hot Touch,Roger Vadim,Lionel Chetwynd
tt0083001,Roar,Noel Marshall,Noel Marshall,Roar,Noel Marshall,Noel Marshall
tt0083853,Dreams Come True,Max Kalmanowicz,Steve Kinjerski,Dreams Come True,Max Kalmanowicz,\N
tt0084547,Przeklęta ziemia,Ryszard Czekała,Ryszard Czekała; Stanisław Srokowski,Q11828759,Ryszard Czekała,Ryszard Czekała
tt0084857,Things Past,Roy Logger; Bram van Erkel; Bas van der Lecq,\N,Q2801635,Bram van Erkel,Judith Herzberg
tt0085234,Betrayal,David Hugh Jones,Harold Pinter,Betrayal,David Hugh Jones,Harold Pinter
tt0085527,The Very Late Afternoon of a Faun,Věra Chytilová,Věra Chytilová; Ester Krumbachová,The Very Late Afternoon of a Faun,Věra Chytilová,Ester Krumbachová; Věra Chytilová
tt0085922,Honeymoon,Nikola Babić,Nikola Babić,Medeni mjesec,Nikola Babic,Željko Senečić
tt0086218,"Run Rebecca, Run!",Peter Maxwell,\N,"Run Rebecca, Run",Peter Maxwell,\N
tt0086550,Vive la sociale !,Gérard Mordillat,Gérard Mordillat; Louis-Charles Sirjacq,Vive la sociale!,Gérard Mordillat,Gérard Mordillat; Jacques Audiard; Louis-Charles Sirjacq
tt0086962,Biberspur,Walter Beck,Walter Beck; Gudrun Deubener,\N,\N,\N
tt0088344,The Vengeance of the Winged Serpent,Gérard Oury,Danièle Thompson; Gérard Oury,La vengeance du serpent à plumes,Gérard Oury,Gérard Oury
tt0089103,Staircase C,Jean-Charles Tacchella,Elvire Murail; Jean-Charles Tacchella,Escalier C,Jean-Charles Tacchella,Elvire Murail; Jean-Charles Tacchella
tt0089467,Leave All Fair,John Reid,Stanley Harper; Maurice Pons; Jean Betts,Leave All Fair,John Reid,\N
tt0089945,Rustlers' Rhapsody,Hugh Wilson,Hugh Wilson,Rustlers' Rhapsody,Hugh Wilson,Hugh Wilson
tt0090022,Silverado,Lawrence Kasdan,Lawrence Kasdan; Mark Kasdan,Silverado,Lawrence Kasdan,Lawrence Kasdan
tt0090832,The Tribulations of a Chinese Gentleman,Wu Yigong,Hans Borgelt; Mingzhi Ai; Si Minsan,The Tribulations of a Chinese Gentleman,Wu Yigong,\N
tt0091545,The Monster,Kianush Ayyari,Kianush Ayyari,The Monster,Kyanoush Ayari,Kyanoush Ayari
tt0091707,The Outing,Tom Daley,Warren Chaney,The Outing,Warren Chaney,\N
tt0093018,\N,\N,\N,\N,\N,\N
tt0093714,Penitentiary III,Jamaa Fanaka,Jamaa Fanaka,Penitentiary III,Jamaa Fanaka,\N
tt0094121,Teresa,Dino Risi,Graziano Diana; Bernardino Zapponi; Dino Risi; Dino Risi,Teresa,Dino Risi,Bernardino Zapponi; Graziano Diana; Dino Risi
tt0094379,The Worker's Life,Miroslav Mandić,Emir Kusturica; Haris Kulenović; Miroslav Mandić,A Worker's Life,Miroslav Mandić,\N
tt0096132,Soltana,Paul Harather,Paul Harather,\N,\N,\N
tt0096224,A Taste of Hemlock,Geoffrey Darwin,Eric Tynan Young,\N,\N,\N
tt0096346,Der Untergang des goldenen Webstuhls,Franz Winzentsen,\N,\N,\N,\N
tt0096951,Blood Red,Peter Masterson,Ron Cutler,Blood Red,Peter Masterson,\N
tt0097135,Curfew,Gary Winick,Kevin Kennedy,Curfew,Gary Winick,\N
tt0097395,Lost Souls,David Lai Tai-Wai,Barry Wong Ping-Yiu,Lost Souls,David Lai,\N
tt0099098,The Governor's Party,Marie-France Pisier,Marie-France Pisier,Le bal du gouverneur,Marie-France Pisier,Marie-France Pisier
tt0100198,My Seawoman,Anatoly Eyramdzhan,Anatoly Eyramdzhan,My Seawoman,Anatoly Eiramdzhan,Anatoly Eiramdzhan
tt0100705,Street Asylum,Gregory Dark,John Powers; Gregory Dark,Street Asylum,Gregory Dark,\N
tt0100922,\N,\N,\N,Where Eagles Fly,Uri Barbash,Assi Dayan
tt0101295,Alice in Wondertown,Daniel Díaz Torres,Aldo Busto Hernández; Daniel Díaz Torres; Eduardo del Llano Rodríguez; Luis Felipe Calvo Bolaños; Jesús Díaz,Alice in Wondertown,Daniel Díaz Torres,\N
tt0102790,Nothing But Lies,Paule Muret,\N,Nothing But Lies,Paule Muret,Paule Muret; Jean-François Goyet
tt0103800,Betty,Claude Chabrol,Claude Chabrol,Betty,Claude Chabrol,Claude Chabrol
tt0105393,The Silent Thrush,Chiang Lang,\N,\N,\N,\N
tt0106204,Aankhen,David Dhawan,Anees Bazmee,Aankhen,David Dhawan,Anees Bazmee
tt0107214,India,Paul Harather,Josef Hader; Alfred Dorfer,Indien,Paul Harather,Josef Hader; Paul Harather; Alfred Dorfer
tt0107374,The Last Wargame,David Spell,\N,\N,\N,\N
tt0107398,The Incorruptible,Barry Lee Ying-Lok,\N,\N,\N,\N
tt0108113,Shadow Cop,Albert Lai Gin-Kwok,ella bo-wah chan,Shadow Cop,\N,\N
tt0108304,Taxi Dancers,Norman Thaddeus Vane,Norman Thaddeus Vane,\N,\N,\N
tt0109734,Enter Achilles,Clara van Gool,\N,Enter Achilles,\N,\N
tt0110773,Paradjanov: A Requiem,Ron Holloway,\N,\N,\N,\N
tt0110839,"Father, Son and Holy War",Anand Patwardhan,Anand Patwardhan,"Father, Son, and Holy War",Anand Patwardhan,\N
tt0111580,Uttoran,Sandip Ray,Satyajit Ray,The Broken Journey,Sandip Ray,Satyajit Ray
tt0113471,From the Same Family,Johnny Lee Kwing-Kai,Johnny Lee Kwing-Kai,\N,\N,\N
tt0113701,\N,\N,\N,\N,\N,\N
tt0114618,Target,Sandip Ray,\N,Target,Sandip Ray,\N
tt0118756,On Guard,Philippe de Broca,Jérôme Tonnerre; Jean Cosmos; Philippe de Broca,On Guard,Philippe de Broca,Jérôme Tonnerre; Philippe de Broca; Jean Cosmos
tt0119422,The Journey,Harish Saluja,\N,\N,\N,\N
tt0120537,XXL,Ariel Zeitoun,Florence Quentin,XXL,Ariel Zeitoun,Florence Quentin
tt0121158,\N,\N,\N,\N,\N,\N
tt0124294,It Rains in My Village,Aleksandar Petrović,Aleksandar Petrović,It Rains in My Village,Aleksandar Petrović,Aleksandar Petrović
tt0125373,Lip Service,Shaun Costello,Shaun Costello,\N,\N,\N
tt0127586,Het Snö,Torbjörn Axelman,Torbjörn Axelman; Sandro Key-Åberg,Het snö,Torbjörn Axelman,Sandro Key-Åberg
tt0128355,La mondana nuda,Sergio Bergonzelli,\N,\N,\N,\N
tt0129192,\N,\N,\N,\N,\N,\N
tt0131588,Keep Your Eyes Open!,Eldor Urazbaev,Aleksandr Borodyanskiy,Q4425258,Vladimir Martynov; Eldor Urazbayev,Alexander Borodyansky
tt0132351,In the Eyes of the Law,Willy Grunwald,Louis Levy,According to Law,Willy Grunwald,\N
tt0138835,"Halt, Or I'll Miss!",Jiří Chlumský,Miloň Čepelka; Jiří Šebánek; Jiří Šebánek; Miloň Čepelka,"Halt, or I'll Miss!",Jiří Chlumský,Jiří Šebánek; Miloň Čepelka
tt0140275,The mother's curse,Vasilis Georgiadis,Nikos Foskolos,\N,\N,\N
tt0141656,Nice - À propos de Jean Vigo,Manoel de Oliveira,\N,À propos de Nice,Manoel de Oliveira,\N
tt0143234,Emile Habibi: I Stayed in Haifa,Dalia Karpel,\N,Emil Habibi: I Stayed in Haifa,\N,\N
tt0146020,\N,\N,\N,\N,\N,\N
tt0151119,Jealousy,G.B. Samuelson,G.B. Samuelson,Jealousy,G. B. Samuelson,\N
tt0153074,"Tied, Trained and Transformed",Richard Rank,\N,\N,\N,\N
tt0154529,\N,\N,\N,Q19195138,Claude Autant-Lara,\N
tt0155221,\N,\N,\N,Sundari,Aspi Irani,\N
tt0155608,Le Chasseur de chez Maxim's,Henri Diamant-Berger,Yves Mirande; Gustave Quinson; Gustave Quinson; Yves Mirande,The Porter from Maxim's,Henri Diamant-Berger,\N
tt0155986,Port of Point-du-Jour,Jean Faurez,Jacques Celhay,Q3412731,Jean Faurez,\N
tt0156481,His First Affair,Maurice Cloche,\N,Domenica,Maurice Cloche,Jacques Deval
tt0156541,\N,\N,\N,\N,\N,\N
tt0158605,\N,\N,\N,\N,\N,\N
tt0158671,In Her Defense,Sidney J. Furie,Marc Lynn; Jeffrey M. Rosenbaum,In Her Defense,Sidney J. Furie,\N
tt0158786,Minuit... Champs-Elysées,Roger Blanc,Roger Blanc; Jacques Celhay; Pierre Gaurier,Q24940272,Roger Blanc,\N
tt0160683,Candy Apple,Jean Dréville,\N,Q21009289,Jean Dréville,\N
tt0160698,"Princess, At Your Orders!",Hanns Schwarz; Max de Vaucorbeil,Billy Wilder; Robert Liebmann; Paul Frank,"Princess, At Your Orders!",Hanns Schwarz; Max de Vaucorbeil,Jean Boyer; Robert Liebmann; Billy Wilder
tt0163541,\N,\N,\N,\N,\N,\N
tt0164555,Early Bird Special,Mark Jean,Hillary Seitz,\N,\N,\N
tt0165817,\N,\N,\N,\N,\N,\N
tt0168146,Die Republikaner,Peter Würth; Petra Schmid; Uwe von Schumann,\N,\N,\N,\N
tt0168922,The Killings at Outpost Zeta,Robert Emenegger; Allan Sandler,Peter Dawson,\N,\N,\N
tt0170277,A Place in the Crowd,Zbyněk Brynych; Václav Krška; Václav Gajer,Antonín Máša; Antonín Máša,\N,\N,\N
tt0170372,Song Calls,Shaken Aimanov,Shaken Aimanov; Maro Yerzinkyan,Pesnya zovet,Shaken Ajmanov,Maro Erznkyan; Shaken Ajmanov
tt0172524,The Stars Must Burn,Witold Lesiewicz; Andrzej Munk,Andrzej Munk; Witold Lesiewicz; Karol Małcużyński,\N,\N,\N
tt0172850,Nad námi svítá,Jiří Krejčík,Jiří Krejčík; Jiří Marek,\N,\N,\N
tt0173027,The Lost Photography,Lev Kulidzhanov,Pavel Pásek; Jan Pixa; Anatoli Aleksin; Sergey Mikhalkov,Q112065933,Lev Kulidzhanov,Sergey Mikhalkov; Anatoly Aleksin
tt0173676,Black Flamingos - Sie lieben euch zu Tode,Houchang Allahyari,Harald Posch,Q131302311,Houchang Allahyari,\N
tt0173966,\N,\N,\N,\N,\N,\N
tt0175149,The Grey Illness,Yakov Segel,Yakov Segel; Aleksandr Misharin; Andrey Veytsler,Q4416677,Yakov Segel,Yakov Segel; Andrey Veytsler; Aleksandr Misharin
tt0175890,"Margarita, Armando and his father",Francisco Múgica,Francisco Múgica,"Margarita, Armando y su padre",Francisco Múgica,\N
tt0177152,Something Organic,Bertrand Bonello,Bertrand Bonello,Quelque chose d'organique,Bertrand Bonello,Bertrand Bonello
tt0178867,Riachuelo,Luis Moglia Barth,Luis Moglia Barth; José Bustamante y Ballivián,Riachuelo,Luis Moglia Barth,\N
tt0180047,Perjura,Raphael J. Sevilla,\N,Perjura,Raphael J. Sevilla,\N
tt0180316,Women Talking Dirty,Coky Giedroyc,Isla Dewar,Women Talking Dirty,Coky Giedroyc,\N
tt0180748,In China They Eat Dogs,Lasse Spang Olsen,Anders Thomas Jensen,In China They Eat Dogs,Lasse Spang Olsen,Anders Thomas Jensen
tt0181641,Köyde Bir Kız Sevdim,Türker İnanoğlu,M.Çetinkaya,Köyde Bir Kız Sevdim,Türker İnanoğlu,\N
tt0182358,La parte più appetitosa del maschio,Lorenzo Magnolia,Giovanni Simonelli,\N,\N,\N
tt0182793,Bırakın Yaşasınlar,Melih Gülgen,Melih Gülgen,Birakin Yasasinlar,\N,\N
tt0183306,Jinnah,Jamil Dehlavi,Akbar Ahmed; Jamil Dehlavi,Jinnah,Jamil Dehlavi,Akbar S. Ahmed
tt0184537,The Goddess of Mercy,Lim Won-Sik; Shin Sang-ok,\N,The Goddess of Mercy,Shin Sang-ok; Lim Won-sick,Wong Lau-Chiu
tt0185439,Love Is Thicker Than Wine,Joseph Kuo; Li Han-Hsiang,Liu Chang-po; Liu Chang-po,\N,\N,\N
tt0185852,Alaaddin'in Lambası,Natuk Baytan,Natuk Baytan,Q97210864,Natuk Baytan,\N
tt0187583,\N,\N,\N,Vidas Solidárias,Moacir Fenelon,\N
tt0187591,\N,\N,\N,\N,\N,\N
tt0187708,\N,\N,\N,\N,\N,\N
tt0187712,Beefcake,Thom Fitzgerald,Thom Fitzgerald,Beefcake,Thom Fitzgerald,Thom Fitzgerald
tt0189091,Siempre te amaré,Leo Fleider,Jorge Falcón; Leo Fleider,Q18590676,Leo Fleider,\N
tt0189429,\N,\N,\N,\N,\N,\N
tt0189896,Partners in Crime,Jim Travis,\N,\N,\N,\N
tt0191437,She's So Fine!,Henri Pachard,Dick Thomas; Dick Thomas,\N,\N,\N
tt0192086,The Drop Of Blood,Jean Epstein; Maurice Mariaud,\N,Q63271213,Maurice Mariaud; Jean Epstein,\N
