tconst,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0031889,Saga of Death Valley,Joseph Kane,Stuart Anthony; Karen DeWolf
tt0031914,Seitsemän veljestä,Wilho Ilmari,Kalle Kaarna; Mika Waltari
tt0031925,Silver on the Sage,Lesley Selander,Maurice Geraghty
tt0032456,The Farmer's Daughter,James P. Hogan,Lewis R. Foster
tt0032699,Let George Do It!,Marcel Varnel,Basil Dearden; Austin Melford; John Dighton; Angus MacPhail
tt0033155,Those Were the Days!,Theodore Reed,Don Hartman
tt0033766,It Started with Eve,Henry Koster,Norman Krasna; Leo Townsend
tt0034086,Reaching for the Sun,William A. Wellman,W. L. River
tt0034164,Secret Evidence,William Nigh,Brenda Cline
tt0034249,Swineherd and Shepherd,Ivan Pyryev,Viktor Gusev
tt0034379,Week-End in Havana,Walter Lang,Karl Tunberg; Darrell Ware
tt0034593,China Girl,Henry Hathaway,Darryl F. Zanuck; Ben Hecht
tt0034739,Flight Lieutenant,Sidney Salkow,\N
tt0034853,Highways by Night,Peter Godfrey,Frank Fenton; Lynn Root
tt0034941,Kid Glove Killer,Fred Zinnemann,John C. Higgins; Allen Rivkin
tt0035089,Mr. Celebrity,William Beaudine,Martin Mooney
tt0035111,Nai Duniya,Abdul Rashid Kardar,\N
tt0035117,Il nemico,Guglielmo Giannini,Guglielmo Giannini
tt0035151,Once Upon a Honeymoon,Leo McCarey,Sheridan Gibney
tt0035462,Tower of Terror,Lawrence Huntington,John Argyle
tt0035591,Between Heaven and Earth,Harald Braun,\N
tt0035726,The Chance of a Lifetime,William Castle,Paul Yawitz
tt0036017,Hostages,Frank Tuttle,Frank Butler; Lester Cole
tt0036177,The Life of Matsu the Untamed,Hiroshi Inagaki,Mansaku Itami
tt0036347,She's for Me,Reginald Le Borg,Henry Blankfort
tt0036515,Watch on the Rhine,Herman Shumlin,Dashiell Hammett
tt0036580,"Adam, Eve and the Devil",Alfredo B. Crevenna,Francisco Cabrera; Alfredo B. Crevenna; Edmundo Báez
tt0036595,Am Ende der Welt,Gustav Ucicky,\N
tt0037011,Law of the Valley,Howard Bretherton,Joseph O'Donnell
tt0037133,Noche decisiva,Julio de Fleischner,\N
tt0037430,Via Mala,Josef von Báky,Thea von Harbou
tt0037737,Getting Gertie's Garter,Allan Dwan,Karen DeWolf; Avery Hopwood; Allan Dwan; Wilson Collison
tt0038728,Martin Roumagnac,Georges Lacombe,Pierre Véry; Georges Lacombe
tt0038819,IMDb ID Not found,\N,\N
tt0038853,Gates of the Night,Marcel Carné,Jacques Prévert
tt0038873,The Razor's Edge,Edmund Goulding,Lamar Trotti
tt0038902,Tell the Truth,Helmut Weiss,Ernst Marischka
tt0039024,This Man Is Mine,Marcel Varnel,Reginald Beckwith; Doreen Montgomery; Nicholas Phipps
tt0039310,The Last Vacation,Roger Leenhardt,Roger Breuil; Roger Leenhardt
tt0039527,No Place for Love,Hans Deppe,Margarete Hackebeil; Hans Deppe
tt0039816,Seven Were Saved,William H. Pine,Maxwell Shane
tt0039951,Variety Girl,George Marshall,Edmund L. Hartmann; Robert L. Welch; Frank Tashlin; Monte Brice
tt0039959,Vigilantes of Boomtown,R.G. Springsteen,Earle Snell
tt0040074,Adventures in Silverado,Phil Karlson,Kenneth Gamet; Tom Kilpatrick; Jo Pagano
tt0040105,The Original Sin,Helmut Käutner,Bobby Todd; Kurd E. Heyne; Helmut Käutner
tt0040326,La esfinge maragata,Antonio De Obregón,Antonio De Obregón; Selma Barberi; José Luis Gamboa
tt0040410,Gunning for Justice,Ray Taylor,J. Benton Cheney
tt0040444,Hollow Triumph,Steve Sekely,Daniel Fuchs
tt0040746,Rope,Alfred Hitchcock,Arthur Laurents; Hume Cronyn
tt0040903,Triggerman,Howard Bretherton,Ronald Davidson
tt0041296,Dick Barton Strikes Back,Godfrey Grayson,Elizabeth Baron; Ambrose Grayson
tt0041392,Frontier Investigator,Fred C. Brannon,Robert Creighton Williams
tt0041626,The Man from Yesterday,Oswald Mitchell,John Gilling
tt0041764,The Possession,Julio Bracho,Julio Bracho; María Luisa Algarra
tt0042255,Black Jack,Julien Duvivier; José Antonio Nieves Conde,Robert Gaillard; Michael Pertwee; Julien Duvivier; Charles Spaak
tt0042478,The Franchise Affair,Lawrence Huntington,Robert Hall; Lawrence Huntington
tt0042482,Frenchie,Louis King,Oscar Brodney
tt0042992,Square Dance Katy,Jean Yarbrough,Warren Wilson
tt0043021,Séraphin,Paul Gury,Paul Gury; Claude-Henri Grignon
tt0043515,The Strange Case of the Man and the Beast,Mario Soffici,Ulyses Petit de Murat; Mario Soffici; Carlos Marín
tt0043708,The Kid from Amarillo,Ray Nazarro,Barry Shipman
tt0044043,Skipalong Rosenbloom,Sam Newfield,Eddie Forman; Dean Riesner
tt0044147,Streetwalker,Matilde Landeta,José Aguila; Matilde Landeta
tt0044210,Whirlwind,John English,Norman S. Hall
tt0044569,Du bist die Rose vom Wörthersee,Hubert Marischka,Rudolf Österreicher
tt0044582,The Firebird,Hasse Ekman,Hasse Ekman
tt0044814,Kærlighedsdoktoren,Asbjørn Andersen,Helge Kjærulff-Schmidt
tt0044848,Lockende Sterne,Hans Müller,\N
tt0044852,Love Is Better Than Ever,Stanley Donen,Ruth Brooks Flippen
tt0044928,Mr. Denning Drives North,Anthony Kimmins,Alec Coppel
tt0044966,Night Stage to Galveston,George Archainbaud,Norman S. Hall
tt0045354,"¡Che, qué loco!",Ramón Torrado,Ramón Torrado; Víctor López Iglesias
tt0045525,Before the Deluge,André Cayatte,André Cayatte; Charles Spaak
tt0045595,The Bandit,Lima Barreto,Rachel de Queiroz; Lima Barreto
tt0045834,IMDb ID Not found,\N,\N
tt0045873,The Milkmaid,T.J. Särkkä,Juha Nevalainen
tt0046161,The Red Beret,Terence Young,Sy Bartlett; Richard Maibaum; Frank S. Nugent
tt0046322,Siren of Bagdad,Richard Quine,Robert E. Kent
tt0046369,Steppe Dawns,Lev Saakov,\N
tt0046394,Tagebuch einer Verliebten,Josef von Báky,Johannes Mario Simmel; Emil Burri; K.P. Gillmann
tt0046429,Thérèse Raquin,Marcel Carné,Marcel Carné; Charles Spaak
tt0046467,Dreaming Lips,Josef von Báky,Johanna Sibelius
tt0046492,The Vanquished,Edward Ludwig,\N
tt0047054,Große Starparade,Paul Martin,Franz Tanzler; Ernst Neubach
tt0047267,Napoli terra d'amore,Camillo Mastrocinque,Camillo Mastrocinque; Gianni Puccini; Mario Brancacci
tt0047673,White Christmas,Michael Curtiz,Melvin Frank; Norman Krasna; Norman Panama
tt0048006,Beautiful But Dangerous,Robert Z. Leonard,Cesare Cavagna; Liana Ferri; Giovanna Soria; Franco Solinas; Mario Monicelli; Piero Pierotti; Luciano Martino
tt0048082,Flickan i regnet,Alf Kjellin,Alf Kjellin; Volodja Semitjov
tt0048212,Io piaccio,Giorgio Bianchi,Vittorio Metz; Marcello Marchesi
tt0048284,Earth,Amvrosii Buchma; Oleksiy Shvachko,Oleksiy Shvachko
tt0048779,The Golden Vein,Mauro Bolognini,Jacques Rémy; Mauro Bolognini; Gino De Santis
tt0049018,Women Without Men,Elmo Williams,Val Guest; Richard H. Landau
tt0049158,"Dort oben, wo die Alpen glühen",Otto Meyer,Theodor Ottawa
tt0049392,K. und k. Feldmarschall,E.W. Emo,\N
tt0049431,The Last Frontier,Anthony Mann,Philip Yordan; Russell S. Hughes
tt0049465,Malagueña,Ricardo Núñez,Sebastián Rives; Ricardo Núñez; Mauricio Torres
tt0049603,Different Fortunes,Leonid Lukov,Yakov Smolyak; Leonid Lukov
tt0049775,Solange noch die Rosen blüh'n,Hans Deppe,J. Joachim Bartsch; Karl Heinz Busse
tt0049864,Tosca,Carmine Gallone,Carmine Gallone
tt0049961,A Woman's Devotion,Paul Henreid,Robert Hill
tt0050155,Baby Face Nelson,Don Siegel,Irving Shulman; Daniel Mainwaring
tt0050296,Decision at Sundown,Budd Boetticher,Charles Lang
tt0050302,The Delinquents,Robert Altman,Robert Altman
tt0050583,Jägerblut,Hans H. König,Johannes Kai
tt0050723,Monster from Green Hell,Kenneth G. Crane,Louis Vittes; Endre Bohem
tt0050778,Not of This Earth,Roger Corman,Mark Hanna; Charles B. Griffith
tt0050816,Panama Sal,William Witney,Arnold Belgard
tt0050934,The Scamp,Wolf Rilla,Wolf Rilla
tt0050980,School for Fathers,Ladislav Helge,Ivan Kříž; Ladislav Helge
tt0050992,La sombra del otro,Gilberto Martínez Solares,Fernando de Fuentes; María Luisa Algarra; Francisco Javier Camargo; Josefina Vicens
tt0051199,Die Winzerin von Langenlois,Hans H. König,Janne Furch; Wolf Neuber; Werner Eplinius
tt0051211,Times of Joy and Sorrow,Keisuke Kinoshita,Keisuke Kinoshita
tt0051407,The Beautiful Legs of Sabrina,Camillo Mastrocinque,Piero Pierotti; Vittorio Metz; Marcello Fondato; Edoardo Anton
tt0051490,Sunday Buddies,Henri Aisner,Henri Aisner; Raymond Lavigne; Gaston Bounoure; Lilo Dammert
tt0051492,Count Five and Die,Victor Vicas,Jack Seddon; David Pursall
tt0051851,The Law Is the Law,Christian-Jaque,Furio Scarpelli; Agenore Incrocci; Christian-Jaque; Jacques Emmanuel; Jean Manse
tt0051857,Letters from China,Joris Ivens,Joris Ivens
tt0051899,Man of the West,Anthony Mann,Reginald Rose
tt0052042,Il padrone delle ferriere,Anton Giulio Majano,Anton Giulio Majano
tt0052605,Battle Flame,R.G. Springsteen,Elwood Ullman
tt0052652,Broth of a Boy,George Pollock,Blanaid Irvine; Patrick Kirwan
tt0052812,Floods of Fear,Charles Crichton,Charles Crichton
tt0052918,Imitation of Life,Douglas Sirk,Eleanore Griffin; Allan Scott
tt0053188,The Price of Silence,Montgomery Tully,Laurence Meynell
tt0053435,Was eine Frau im Frühling träumt,Erik Ode,Curth Flatow; Eckart Hachfeld
tt0053562,91:an Karlsson muckar (tror han),Åke Grönberg,Per Lennart Ekström
tt0053797,Die Entscheidung des Dr. Ahrendt,Frank Vogel,Hasso Grabner; Frank Vogel
tt0054285,Atom Age Vampire,Anton Giulio Majano,Anton Giulio Majano; Gino De Santis; Alberto Bevilacqua
tt0054332,Spartakiáda,Martin Frič; Ján Kadár; Bohumil Brejcha; Jindřich Puš; Elmar Klos; Ivo Novák,\N
tt0054463,Watch Your Stern,Gerald Thomas,Vivian Cox; Earle Couttie; Alan Hackney
tt0054492,The Manneken Pis Case,Bert Haanstra,Jef van der Heyden; Bert Haanstra
tt0054660,La banda de los ocho,Tulio Demicheli,Florentino Soria; Pedro Mario Herrero
tt0054703,Seduction Of The South,Mario Camerini,Ivo Perilli; Luciano Vincenzoni; Mario Camerini; Ghigo De Chiara; Carlo Romano; Diego Fabbri
tt0054910,Gunga Jumna,Nitin Bose,Dilip Kumar; Wajahat Mirza
tt0054918,The George Raft Story,Joseph M. Newman,Crane Wilbur
tt0055383,Romanoff and Juliet,Peter Ustinov,Peter Ustinov
tt0055944,Dziewczyna z dobrego domu,Antoni Bohdziewicz,Mieczysław Piotrowski
tt0056015,Gentlemen Prefer Nature Girls,Doris Wishman,Doris Wishman
tt0056085,How the West Was Won,John Ford; Henry Hathaway; George Marshall,James R. Webb; John Gay
tt0056110,It's Only Money,Frank Tashlin,John Fenton Murray
tt0056223,The Sea,Giuseppe Patroni Griffi,Alfio Valdarnini; Giuseppe Patroni Griffi
tt0056831,Apartmentzauber,Helmuth M. Backhaus,Helmuth M. Backhaus
tt0057111,Goldilocks and the Three Bares,Herschell Gordon Lewis,William R. Johnson
tt0057166,A Million Girls,Heinosuke Gosho,Eijiro Hisaita; Heinosuke Gosho
tt0057171,"Yesterday, Today and Tomorrow",Vittorio De Sica,Eduardo De Filippo; Billa Billa; Cesare Zavattini
tt0057225,Kings of the Sun,J. Lee Thompson,James R. Webb; Elliott Arnold
tt0057431,Pršelo jim štěstí,Antonín Kachlík,Jan Trefulka; Antonín Kachlík
tt0057534,Strange Lovers,Robert Stambler,\N
tt0058122,The Guns,Ruy Guerra,Miguel Torres; Ruy Guerra
tt0058132,Secret of the Chinese Carnation,Rudolf Zehetgruber,Rudolf Zehetgruber
tt0058313,A Mad Woman,Chor Yuen,Sit Hau; Cheng Kang; Chor Yuen
tt0058454,IMDb ID Not found,\N,\N
tt0058500,The Pumpkin Eater,Jack Clayton,Harold Pinter
tt0058690,The Troublemaker,Theodore J. Flicker,Buck Henry; Theodore J. Flicker
tt0058711,Heat,Kazimierz Kutz,Jeremi Przybora; Jadwiga Berens
tt0058876,IMDb ID Not found,\N,\N
tt0059038,Five Dollars for Ringo,Ignacio F. Iquino; Juan Xiol,Ignacio F. Iquino
tt0059056,The Exterminators,Riccardo Freda,\N
tt0059104,Snow Devils,Antonio Margheriti,Ivan Reiner; Charles Sinclair; Bill Finger
tt0059120,Two Gangsters in the Wild West,Giorgio Simonelli,Marcello Ciorciolini
tt0059348,The Coward,Satyajit Ray,Satyajit Ray
tt0059550,Operation Y and Other Shurik's Adventures,Leonid Gaidai,Yakov Kostyukovskiy; Leonid Gaidai; Moris Slobodskoy
tt0059678,The Satan Bug,John Sturges,James Clavell; Edward Anhalt
tt0059685,Die schwedische Jungfrau,Kurt Wilhelm,\N
tt0059686,The Violin Case Murders,Fritz Umgelter,George Hurdalek
tt0060094,The Alphabet Murders,Frank Tashlin,Jack Seddon; David Pursall
tt0060143,"Texas, Adios",Ferdinando Baldi,Ferdinando Baldi; Franco Rossetti
tt0060490,Harper,Jack Smight,William Goldman
tt0060492,He Who Rides a Tiger,Charles Crichton,Trevor Peacock
tt0060519,Hotel alojamiento,Fernando Ayala,\N
tt0060766,Nu stiger den,Annelise Hovmand,\N
tt0060886,Hudson River Massacre,Amando de Ossorio,Amando de Ossorio
tt0060888,Red Roses of Passion,Joseph W. Sarno,Joseph W. Sarno
tt0061530,Black Birds,Eduard Galić,Eduard Galić; Zoran Tadić
tt0061628,Veneri in collegio,Marino Girolami,Tito Carpi; Ricardo Núñez; Gino De Santis
tt0061748,The Happening,Elliot Silverstein,Frank Pierson; James D. Buchanan; Ronald Austin
tt0062213,IMDb ID Not found,\N,\N
tt0062973,"Finders Keepers, Lovers Weepers!",Russ Meyer,Richard Zachary
tt0063043,Korn's Password,Waldemar Podgórski,Jacek Fuksiewicz; Marian Strużyński; Henryk Kawka
tt0063192,Sinai Commados,Raphael Nussbaum,\N
tt0063321,Mondo Freudo,Lee Frost,\N
tt0063344,IMDb ID Not found,\N,\N
tt0063374,The Odd Couple,Gene Saks,Neil Simon
tt0063398,Ostatni po Bogu,Paweł Komorowski,Jerzy Lutowski
tt0063567,Schüsse unterm Galgen,Horst Seemann,Horst Seemann; Wolfgang Held
tt0063643,"Stay Away, Joe",Peter Tewksbury,Michael A. Hoey
tt0063715,Spirits of the Dead,Louis Malle; Federico Fellini; Roger Vadim,Daniel Boulanger; Louis Malle; Federico Fellini; Roger Vadim; Bernardino Zapponi; Pascal Cousin; Clement Biddle Wood
tt0064046,IMDb ID Not found,\N,\N
tt0064120,Bloody Nitrate,Helvio Soto,Helvio Soto
tt0064124,A Candidate for a Killing,José María Elorrieta,Aurelio López Monis
tt0064231,The Devil's Eight,Burt Topper,Willard Huyck; John Milius; James Gordon White
tt0064414,Helgalein,Herbert Ballmann,Peter Anton; Charly Schmitz; Herbert Ballmann
tt0064602,The Lost Man,Robert Alan Aurthur,Robert Alan Aurthur
tt0064610,Ludwig on the Lookout for a Wife,Franz Seitz Junior,Franz Seitz Junior
tt0064689,Monterey Pop,D. A. Pennebaker,\N
tt0064893,Ring of Bright Water,Jack Couffer,Jack Couffer; Bill Travers
tt0064934,Sappho Darling,Gunnar Steele; Albert Zugsmith,Albert Zugsmith
tt0065062,Ein Tag ist schöner als der andere,Kurt Hoffmann,\N
tt0065130,Turistas y bribones,Fernando Merino,Jaime Jesús Balcázar
tt0065870,IMDb ID Not found,\N,\N
tt0066056,The Man from O.R.G.Y.,James Hill,Ted Mark
tt0066811,The Barefoot Executive,Robert Butler,Joseph L. McEveety
tt0066909,The Man from the Other Side,Yuri Yegorov,Emil Braginskiy; Yuri Yegorov; Vasiliy Solovyov; Volodja Semitjov
