tconst,tmdb_title,tmdb_directors,tmdb_writers
tt0021412,The Spoilers,Edwin Carewe,Bartlett Cormack; Agnes Brand Leahy
tt0021707,The Skulls,James W. Horne,\N
tt0021746,Cimarron,Wesley Ruggles,Howard Estabrook
tt0021905,A Gentleman of Paris,Sinclair Hill,Sidney Gilliat; Sewell Collins
tt0022371,Sheer Luck,Bruce Mitchell,Bruce Mitchell
tt0022509,Tukkipojan morsian,Erkki Karu,Erkki Karu
tt0022582,The Yellow Ticket,Raoul Walsh,Jules Furthman; Guy Bolton
tt0022771,Ladies Hairdresser,René Guissart,René Guissart
tt0023749,Air Hostess,Albert S. Rogell,Milton Raison
tt0023941,Destination Unknown,Tay Garnett,Tom Buckingham
tt0023987,Enemy of the Police,George King,\N
tt0024046,Gallant Lady,Gregory La Cava,Sam Mintz; Douglas Z. Doty; Gilbert Emery
tt0024343,Mistigri,Harry Lachman,\N
tt0024370,The Night of the Great Love,Géza von Bolváry,Martha Albrand; Martha Albrand
tt0024383,Night of the Garter,Jack Raymond,Austin Melford; Marjorie Gaffney
tt0024653,Their Night Out,Harry Hughes,Harry Hughes
tt0024690,Trailing North,John P. McCarthy,Harry L. Fraser
tt0026050,\N,\N,\N
tt0026073,Annie Oakley,George Stevens,John Twist; Joel Sayre; Joseph Fields; Ewart Adamson
tt0026605,The Last Days of Pompeii,Ernest B. Schoedsack,Ruth Rose
tt0026949,The Roof,George A. Cooper,\N
tt0027075,A Tale of Two Cities,Jack Conway,W.P. Lipscomb; S. N. Behrman
tt0027330,Ballerine,Gustav Machatý,Rudolf S. Joseph; Albrecht Joseph; Leo Bomba
tt0027393,Brand of the Outlaws,Robert N. Bradbury,Forbes Parkhill; Forbes Parkhill
tt0027687,The Golden Arrow,Alfred E. Green,Charles Kenyon; Michael Arlen
tt0027710,A Little Street in Paradise,Martin Frič,Otakar Vávra; Georg Wittuhn; Hugo Haas
tt0027918,\N,\N,\N
tt0028145,Public Nuisance No. 1,Marcel Varnel,Val Guest
tt0028158,Ramona,Henry King,Lamar Trotti
tt0028501,White Fang,David Butler,S.G. Duncan; Gene Fowler; Hal Long
tt0028534,Who Loves Me?,José Luis Sáenz de Heredia,Eduardo Ugarte; Luis Buñuel
tt0028873,The Firefly,Robert Z. Leonard,Albert Hackett; Frances Goodrich
tt0029157,"Live, Love and Learn",George Fitzmaurice,Charles Brackett; Richard Maibaum; Cyril Hume; Herman J. Mankiewicz
tt0029280,The Mutiny Of The Elsinore,Roy Lockwood,Beaufoy Milton
tt0029380,Partners in Crime,Ralph Murphy,Gladys Unger; Garnett Weston
tt0029482,Rhythm in the Clouds,John H. Auer,Nathanael West; Olive Cooper; Ray Bond; George Mence
tt0029519,Said O'Reilly to McNab,William Beaudine,\N
tt0029764,When's Your Birthday?,Harry Beaumont,Harry Clork
tt0030142,Flirting with Fate,Frank McDonald,Daniel Jarrett; A. Dorian Otvos; Joseph Moncure March; Charlie Melson; Ethel La Blanche; Harry Clork
tt0030325,Die kleine und die große Liebe,Josef von Báky,\N
tt0030384,Lord Jeff,Sam Wood,Bradford Ropes; Endre Bohem; Val Burton; James Kevin McGuinness
tt0030479,My Bill,John Farrow,Vincent Sherman; Robertson White
tt0030516,\N,\N,\N
tt0030579,Die Pfingstorgel,Franz Seitz,Heinz Pauck; Alois Johannes Lippl
tt0030704,Rykmentin murheenkryyni,Yrjö Norta; T.J. Särkkä,T.J. Särkkä
tt0030841,Tenth Avenue Kid,Bernard Vorhaus,Gordon Kahn; Adele Buffington
tt0030906,\N,\N,\N
tt0030913,The Impossible Mr. Pitt,Harry Piel,\N
tt0031018,Across the Plains,Spencer Gordon Bennet,Robert Emmett Tansey
tt0031277,It Was a Gay Ballnight,Carl Froelich,Géza von Cziffra
tt0031337,Woman at the Wheel,Paul Martin,Paul Martin; Paul Hellbracht; Pál Barabás
tt0031440,Honeymoon in Bali,Edward H. Griffith,Virginia Van Upp
tt0031585,Law of the North,Jacques Feyder,Maurice Constantin-Weyer; Alexandre Arnoux; Charles Spaak
tt0031633,\N,\N,\N
tt0031826,The Private Lives of Elizabeth and Essex,Michael Curtiz,Æneas MacKenzie; Norman Reilly Raine
tt0031889,Saga of Death Valley,Joseph Kane,Karen DeWolf; Karen DeWolf; Stuart Anthony
tt0031914,Seitsemän veljestä,Wilho Ilmari,Mika Waltari; Kalle Kaarna
tt0031925,Silver on the Sage,Lesley Selander,Maurice Geraghty; Clarence E. Mulford
tt0032456,The Farmer's Daughter,James P. Hogan,Lewis R. Foster; Delmer Daves
tt0032699,Let George Do It!,Marcel Varnel,Austin Melford; John Dighton; Angus MacPhail; Basil Dearden
tt0033155,Those Were the Days!,Theodore Reed,Don Hartman
tt0033766,It Started with Eve,Henry Koster,Norman Krasna; Hanns Kräly; Leo Townsend
tt0034086,Reaching for the Sun,William A. Wellman,W. L. River
tt0034164,Secret Evidence,William Nigh,Edward Bennett; Brenda Cline
tt0034249,Swineherd and Shepherd,Ivan Pyryev,Viktor Gusev
tt0034379,Week-End in Havana,Walter Lang,Karl Tunberg; Darrell Ware
tt0034593,China Girl,Henry Hathaway,Ben Hecht; Darryl F. Zanuck
tt0034739,Flight Lieutenant,Sidney Salkow,Michael Blankfort; Richard Carroll; Betty Hopkins
tt0034853,Highways by Night,Peter Godfrey,Frank Fenton; Lynn Root; Clarence Budington Kelland
tt0034941,Kid Glove Killer,Fred Zinnemann,John C. Higgins; John C. Higgins; Allen Rivkin
tt0035089,Mr. Celebrity,William Beaudine,Charles Samuels; Martin Mooney; Martin Mooney
tt0035111,Nai Duniya,Abdul Rashid Kardar,\N
tt0035117,Il nemico,Guglielmo Giannini,Guglielmo Giannini; Guglielmo Giannini
tt0035151,Once Upon a Honeymoon,Leo McCarey,Sheridan Gibney; Leo McCarey; Sheridan Gibney
tt0035462,Tower of Terror,Lawrence Huntington,John Argyle; John Reinhardt
tt0035591,Between Heaven and Earth,Harald Braun,\N
tt0035726,The Chance of a Lifetime,William Castle,Paul Yawitz
tt0036017,Hostages,Frank Tuttle,Lester Cole; Frank Butler
tt0036177,The Life of Matsu the Untamed,Hiroshi Inagaki,Mansaku Itami
tt0036347,She's for Me,Reginald Le Borg,Henry Blankfort; Henry Blankfort
tt0036515,Watch on the Rhine,Herman Shumlin,Dashiell Hammett
tt0036580,"Adam, Eve and the Devil",Alfredo B. Crevenna,Alfredo B. Crevenna; Francisco Cabrera; Edmundo Báez
tt0036595,Am Ende der Welt,Gustav Ucicky,\N
tt0037011,Law of the Valley,Howard Bretherton,Joseph O'Donnell; Joseph O'Donnell
tt0037133,Noche decisiva,Julio de Fleischner,\N
tt0037430,Via Mala,Josef von Báky,Thea von Harbou
tt0037737,Getting Gertie's Garter,Allan Dwan,Karen DeWolf; Allan Dwan; Avery Hopwood; Wilson Collison
tt0038728,Martin Roumagnac,Georges Lacombe,Pierre Véry; Georges Lacombe
tt0038819,\N,\N,\N
tt0038853,Gates of the Night,Marcel Carné,Jacques Prévert
tt0038873,The Razor's Edge,Edmund Goulding,Lamar Trotti
tt0038902,Tell the Truth,Helmut Weiss,Ernst Marischka
tt0039024,This Man Is Mine,Marcel Varnel,Reginald Beckwith
tt0039310,The Last Vacation,Roger Leenhardt,Roger Leenhardt
tt0039527,No Place for Love,Hans Deppe,Margarete Hackebeil; Hans Deppe
tt0039816,Seven Were Saved,William H. Pine,Maxwell Shane
tt0039951,Variety Girl,George Marshall,Monte Brice; Edmund L. Hartmann; Robert L. Welch; Frank Tashlin
tt0039959,Vigilantes of Boomtown,R.G. Springsteen,Earle Snell
tt0040074,Adventures in Silverado,Phil Karlson,Kenneth Gamet; Jo Pagano; Tom Kilpatrick
tt0040105,The Original Sin,Helmut Käutner,Kurd E. Heyne; Helmut Käutner; Bobby Todd
tt0040326,La esfinge maragata,Antonio De Obregón,Antonio De Obregón; José Luis Gamboa; Selma Barberi
tt0040410,Gunning for Justice,Ray Taylor,J. Benton Cheney
tt0040444,Hollow Triumph,Steve Sekely; Paul Henreid,Daniel Fuchs
tt0040746,Rope,Alfred Hitchcock,Arthur Laurents
tt0040903,Triggerman,Howard Bretherton,Ronald Davidson
tt0041296,Dick Barton Strikes Back,Godfrey Grayson,Elizabeth Baron; Ambrose Grayson; Ambrose Grayson
tt0041392,Frontier Investigator,Fred C. Brannon,Robert Creighton Williams
tt0041626,The Man from Yesterday,Oswald Mitchell,John Gilling
tt0041764,The Possession,Julio Bracho,María Luisa Algarra; Julio Bracho; José López Portillo y Rojas
tt0042255,Black Jack,Julien Duvivier; José Antonio Nieves Conde,Charles Spaak; Roland Pertwee; Robert Gaillard; Julien Duvivier
tt0042478,The Franchise Affair,Lawrence Huntington,Robert Hall; Lawrence Huntington
tt0042482,Frenchie,Louis King,Oscar Brodney; Oscar Brodney
tt0042992,Square Dance Katy,Jean Yarbrough,Warren Wilson
tt0043021,Séraphin,Paul Gury,Claude-Henri Grignon; Paul Gury
tt0043515,The Strange Case of the Man and the Beast,Mario Soffici,Carlos Marín; Ulyses Petit de Murat; Mario Soffici
tt0043708,The Kid from Amarillo,Ray Nazarro,Barry Shipman
tt0044043,Skipalong Rosenbloom,Sam Newfield,Eddie Forman; Eddie Forman; Dean Riesner
tt0044147,Streetwalker,Matilde Landeta,Matilde Landeta; Luis Spota; José Aguila
tt0044210,Whirlwind,John English,Norman S. Hall
tt0044569,Du bist die Rose vom Wörthersee,Hubert Marischka,Rudolf Österreicher
tt0044582,The Firebird,Hasse Ekman,Hasse Ekman
tt0044814,Kærlighedsdoktoren,Asbjørn Andersen,Helge Kjærulff-Schmidt
tt0044848,Lockende Sterne,Hans Müller,\N
tt0044852,Love Is Better Than Ever,Stanley Donen,Ruth Brooks Flippen
tt0044928,Mr. Denning Drives North,Anthony Kimmins,Alec Coppel
tt0044966,Night Stage to Galveston,George Archainbaud,Norman S. Hall
tt0045354,"¡Che, qué loco!",Ramón Torrado,Ramón Torrado; Víctor López Iglesias
tt0045525,Before the Deluge,André Cayatte,André Cayatte; Charles Spaak
tt0045595,The Bandit,Lima Barreto,Lima Barreto
tt0045834,\N,\N,\N
tt0045873,The Milkmaid,T.J. Särkkä,Juha Nevalainen
tt0046161,The Red Beret,Terence Young,Richard Maibaum; Frank S. Nugent
tt0046322,Siren of Bagdad,Richard Quine,Robert E. Kent
tt0046369,Steppe Dawns,Lev Saakov,\N
tt0046394,Tagebuch einer Verliebten,Josef von Báky,Emil Burri; K.P. Gillmann; Johannes Mario Simmel
tt0046429,Thérèse Raquin,Marcel Carné,\N
tt0046467,Dreaming Lips,Josef von Báky,Johanna Sibelius
tt0046492,The Vanquished,Edward Ludwig,Karl Brown
tt0047054,Große Starparade,Paul Martin,Ernst Neubach; Franz Tanzler
tt0047267,Napoli terra d'amore,Camillo Mastrocinque,Gianni Puccini; Giovanni Addessi; Camillo Mastrocinque; Luigi Capuano; Mario Brancacci; Fernando Barbieri
tt0047673,White Christmas,Michael Curtiz,Norman Krasna; Norman Panama; Melvin Frank
tt0048006,Beautiful But Dangerous,Robert Z. Leonard,Maleno Malenotti; Cesare Cavagna; Liana Ferri; Luciano Martino; Mario Monicelli; Piero Pierotti; Franco Solinas; Giovanna Soria
tt0048082,Flickan i regnet,Alf Kjellin,Volodja Semitjov; Alf Kjellin
tt0048212,Io piaccio,Giorgio Bianchi,Vittorio Metz; Marcello Marchesi
tt0048284,Earth,Amvrosii Buchma; Oleksiy Shvachko,Oleksiy Shvachko
tt0048779,The Golden Vein,Mauro Bolognini,Jacques Rémy; Mauro Bolognini; Gino De Santis
tt0049018,Women Without Men,Elmo Williams,Val Guest; Richard H. Landau
tt0049149,A Weary Road,Leonid Gaidai; Valentin Nevzorov,Boris Brodskiy; Mikhail Romm
tt0049158,"Dort oben, wo die Alpen glühen",Otto Meyer,Theodor Ottawa
tt0049392,K. und k. Feldmarschall,E.W. Emo,\N
tt0049431,The Last Frontier,Anthony Mann,Philip Yordan; Russell S. Hughes
tt0049465,Malagueña,Ricardo Núñez,Ricardo Núñez; Nené Cascallar; Sebastián Rives; Mauricio Torres
tt0049603,Different Fortunes,Leonid Lukov,Leonid Lukov; Yakov Smolyak
tt0049775,Solange noch die Rosen blüh'n,Hans Deppe,Helga von Wangenheim-Haeussler; Hans Fritz Köllner; J. Joachim Bartsch; Karl Heinz Busse
tt0049864,Tosca,Carmine Gallone,Carmine Gallone
tt0049961,A Woman's Devotion,Paul Henreid,Robert Hill
tt0050155,Baby Face Nelson,Don Siegel,Robert Adler; Irving Shulman; Daniel Mainwaring; Irving Shulman
tt0050296,Decision at Sundown,Budd Boetticher,Charles Lang; Vernon L. Fluharty
tt0050302,The Delinquents,Robert Altman,Robert Altman
tt0050583,Jägerblut,Hans H. König,Johannes Kai
tt0050723,Monster from Green Hell,Kenneth G. Crane,Louis Vittes; Endre Bohem
tt0050778,Not of This Earth,Roger Corman,Mark Hanna; Charles B. Griffith
tt0050816,Panama Sal,William Witney,Arnold Belgard
tt0050934,The Scamp,Wolf Rilla,Wolf Rilla
tt0050980,School for Fathers,Ladislav Helge,Ladislav Helge; Ivan Kříž; Ivan Kříž
tt0050992,La sombra del otro,Gilberto Martínez Solares,María Luisa Algarra; Francisco Javier Camargo; Josefina Vicens; Fernando de Fuentes
tt0051199,Die Winzerin von Langenlois,Hans H. König,Wolf Neuber; Janne Furch; Werner Eplinius
tt0051211,Times of Joy and Sorrow,Keisuke Kinoshita,Keisuke Kinoshita
tt0051407,The Beautiful Legs of Sabrina,Camillo Mastrocinque,Piero Pierotti; Piero Pierotti; Vittorio Metz; Edoardo Anton; Marcello Fondato; Vittorio Metz; Edoardo Anton; Marcello Fondato
tt0051490,Sunday Buddies,Henri Aisner,Henri Aisner; Lilo Dammert; Gaston Bounoure; Raymond Lavigne
tt0051492,Count Five and Die,Victor Vicas,David Pursall; Jack Seddon
tt0051755,I Bury the Living,Albert Band,Louis Garfinkle; Louis Garfinkle
tt0051851,The Law Is the Law,Christian-Jaque,Jacques Emmanuel; Jean-Charles Tacchella; Agenore Incrocci; Furio Scarpelli; Christian-Jaque; Jean Manse; Jacques Emmanuel
tt0051857,Letters from China,Joris Ivens,Joris Ivens
tt0051899,Man of the West,Anthony Mann,Reginald Rose
tt0051971,Münchhausen in Afrika,Werner Jacobs,Hans Rameau; Max Nosseck; Johannes Hendrich
tt0052042,Il padrone delle ferriere,Anton Giulio Majano,Anton Giulio Majano
tt0052605,Battle Flame,R.G. Springsteen,Lester A. Sansom; Elwood Ullman
tt0052652,Broth of a Boy,George Pollock,Patrick Kirwan; Blanaid Irvine
tt0052812,Floods of Fear,Charles Crichton,Charles Crichton
tt0052918,Imitation of Life,Douglas Sirk,Eleanore Griffin; Allan Scott
tt0053188,The Price of Silence,Montgomery Tully,Laurence Meynell
tt0053435,Was eine Frau im Frühling träumt,Erik Ode,Curth Flatow; Eckart Hachfeld
tt0053562,91:an Karlsson muckar (tror han),Åke Grönberg,Per Lennart Ekström
tt0053797,Die Entscheidung des Dr. Ahrendt,Frank Vogel,Frank Vogel; Hasso Grabner
tt0054285,Atom Age Vampire,Anton Giulio Majano,Piero Monviso
tt0054332,Spartakiáda,Martin Frič; Ján Kadár; Bohumil Brejcha; Ivo Novák; Jindřich Puš; Elmar Klos,\N
tt0054363,For Men Only,Fernando Fernán Gómez,Fernando Fernán Gómez
tt0054463,Watch Your Stern,Gerald Thomas,Vivian Cox; Alan Hackney; Earle Couttie
tt0054492,The Manneken Pis Case,Bert Haanstra,\N
tt0054660,La banda de los ocho,Tulio Demicheli,Pedro Mario Herrero; Florentino Soria
tt0054703,Seduction Of The South,Mario Camerini,Luciano Vincenzoni; Mario Camerini; Carlo Romano; Ghigo De Chiara; Ivo Perilli; Diego Fabbri; Luciano Vincenzoni
tt0054910,Gunga Jumna,Nitin Bose,Dilip Kumar
tt0054918,The George Raft Story,Joseph M. Newman,Crane Wilbur
tt0055383,Romanoff and Juliet,Peter Ustinov,Peter Ustinov
tt0055944,Dziewczyna z dobrego domu,Antoni Bohdziewicz,Mieczysław Piotrowski
tt0056015,Gentlemen Prefer Nature Girls,Doris Wishman,Doris Wishman
tt0056085,How the West Was Won,Henry Hathaway; John Ford; George Marshall,John Gay; James R. Webb
tt0056110,It's Only Money,Frank Tashlin,John Fenton Murray
tt0056223,The Sea,Giuseppe Patroni Griffi,Giuseppe Patroni Griffi; Alfio Valdarnini; Giuseppe Patroni Griffi
tt0056831,Apartmentzauber,Helmuth M. Backhaus,Helmuth M. Backhaus
tt0057111,Goldilocks and the Three Bares,Herschell Gordon Lewis,William R. Johnson
tt0057166,A Million Girls,Heinosuke Gosho,Heinosuke Gosho; Eijiro Hisaita
tt0057171,"Yesterday, Today and Tomorrow",Vittorio De Sica,Eduardo De Filippo; Cesare Zavattini; Billa Billa
tt0057225,Kings of the Sun,J. Lee Thompson,Elliott Arnold; Elliott Arnold; James R. Webb
tt0057431,Pršelo jim štěstí,Antonín Kachlík,Antonín Kachlík; Jan Trefulka
tt0057534,Strange Lovers,Robert Stambler,\N
tt0058122,The Guns,Ruy Guerra,Ruy Guerra; Miguel Torres
tt0058132,Secret of the Chinese Carnation,Rudolf Zehetgruber,Rudolf Zehetgruber
tt0058313,A Mad Woman,Chor Yuen,Sit Hau; Chor Yuen; Cheng Kang
tt0058454,\N,\N,\N
tt0058500,The Pumpkin Eater,Jack Clayton,Harold Pinter
tt0058690,The Troublemaker,Theodore J. Flicker,Theodore J. Flicker; Buck Henry
tt0058711,Heat,Kazimierz Kutz,Jadwiga Berens; Jeremi Przybora
tt0058876,\N,\N,\N
tt0059038,Five Dollars for Ringo,Juan Xiol; Ignacio F. Iquino,Miguel María Astrain Bada; Ignacio F. Iquino
tt0059056,The Exterminators,Riccardo Freda,\N
tt0059104,Snow Devils,Antonio Margheriti,Ivan Reiner; Aubrey Wisberg; Bill Finger; Charles Sinclair
tt0059120,Two Gangsters in the Wild West,Giorgio Simonelli,Marcello Ciorciolini; Marcello Ciorciolini; Giorgio Simonelli
tt0059348,The Coward,Satyajit Ray,Satyajit Ray
tt0059550,Operation Y and Other Shurik's Adventures,Leonid Gaidai,Leonid Gaidai; Yakov Kostyukovskiy; Moris Slobodskoy
tt0059678,The Satan Bug,John Sturges,James Clavell; Edward Anhalt
tt0059685,Die schwedische Jungfrau,Kurt Wilhelm,\N
tt0059686,The Violin Case Murders,Fritz Umgelter,George Hurdalek
tt0060094,The Alphabet Murders,Frank Tashlin,Jack Seddon; David Pursall
tt0060143,"Texas, Adios",Ferdinando Baldi,Ferdinando Baldi; Franco Rossetti; Franco Rossetti; Ferdinando Baldi
tt0060490,Harper,Jack Smight,William Goldman
tt0060492,He Who Rides a Tiger,Charles Crichton,Trevor Peacock
tt0060519,Hotel alojamiento,Fernando Ayala,Horacio de Dios
tt0060766,Nu stiger den,Annelise Hovmand,\N
tt0060886,Hudson River Massacre,Amando de Ossorio,Amando de Ossorio; Amando de Ossorio
tt0060888,Red Roses of Passion,Joseph W. Sarno,Joseph W. Sarno
tt0061530,Black Birds,Eduard Galić,Eduard Galić
tt0061628,Veneri in collegio,Marino Girolami,Gino De Santis; Tito Carpi; Ricardo Núñez
tt0061748,The Happening,Elliot Silverstein,Ronald Austin; James D. Buchanan; James D. Buchanan; Ronald Austin; Frank Pierson
tt0062213,\N,\N,\N
tt0062973,"Finders Keepers, Lovers Weepers!",Russ Meyer,Richard Zachary
tt0063043,Korn's Password,Waldemar Podgórski,Marian Strużyński; Henryk Kawka
tt0063192,Sinai Commados,Raphael Nussbaum,\N
tt0063321,Mondo Freudo,Lee Frost,\N
tt0063344,\N,\N,\N
tt0063374,The Odd Couple,Gene Saks,Neil Simon
tt0063567,Schüsse unterm Galgen,Horst Seemann,Horst Seemann; Wolfgang Held
tt0063643,"Stay Away, Joe",Peter Tewksbury,Michael A. Hoey
tt0063715,Spirits of the Dead,Federico Fellini; Roger Vadim; Louis Malle,Pascal Cousin; Roger Vadim; Federico Fellini; Louis Malle; Clement Biddle Wood; Bernardino Zapponi
tt0064046,\N,\N,\N
tt0064120,Bloody Nitrate,Helvio Soto,Helvio Soto
tt0064124,A Candidate for a Killing,José María Elorrieta,Aurelio López Monis
tt0064231,The Devil's Eight,Burt Topper,Larry Gordon; Willard Huyck; John Milius; James Gordon White
tt0064414,Helgalein,Herbert Ballmann,Peter Anton; Herbert Ballmann; Charly Schmitz
