tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0004950,the beachcomber,phil rosen,\N,the beachcomber,phil rosen,\N,the beachcomber,phil rosen,hobart bosworth story,the beachcomber,phil rosen,\N
tt0005041,\N,\N,\N,the butterfly on the wheel,maurice tourneur,edward hemmerde,a butterfly on the wheel,maurice tourneur,e magnus ingleton; edward hemmerde play; francis neilson play,\N,\N,\N
tt0005172,the darkening trail,william s hart,c gardner sullivan,the darkening trail,william s hart,c gardner sullivan,the darkening trail,william s hart,c gardner sullivan story,the darkening trail,william s hart,\N
tt0005689,the majesty of the law,julia crawford ivers,julia crawford ivers,the majesty of the law,julia crawford ivers,\N,the majesty of the law,julia crawford ivers,julia crawford ivers scenario,the majesty of the law,julia crawford ivers,julia crawford ivers
tt0005928,the prince and the pauper,edwin s porter; hugh ford,hugh ford,the prince and the pauper,edwin stanton porter,mark twain,the prince and the pauper,edwin s porter; hugh ford,hugh ford; mark twain novel,the prince and the pauper,edwin s porter; hugh ford,hugh ford
tt0006043,the silent voice,william bowman,\N,the silent voice,william bowman,\N,the silent voice,william bowman,eve unsell scenario; ik freedman scenario; jules eckert goodman play,the silent voice,william bowman,eve unsell; ik freedman
tt0006773,the heart of a hero,emile chautard,frances marion,the heart of a hero,emile chautard; george archainbaud,frances marion,the heart of a hero,emile chautard,clyde fitch play; frances marion,the heart of a hero,emile chautard,frances marion
tt0007458,thrown to the lions,lucius henderson,norbert lusk; wallace irwin,thrown to the lions,lucius j henderson,\N,thrown to the lions,lucius henderson,norbert lusk scenario; wallace irwin story,thrown to the lions,lucius henderson,norbert lusk
tt0007655,\N,\N,\N,the auction block,laurence trimble,\N,the auction block,laurence trimble,adrian gilspear,\N,\N,\N
tt0007926,the fair barbarian,robert thornby,edith m kennedy,the fair barbarian,robert thornby,\N,the fair barbarian,robert thornby,edith m kennedy; frances hodgson burnett novel,the fair barbarian,robert thornby,edith m kennedy
tt0008202,\N,\N,\N,the lonesome chap,edward lesaint,harvey gates,the lonesome chap,edward lesaint,emma rochelle williams story; harvey gates,\N,\N,\N
tt0008459,\N,\N,\N,the primitive call,bertram bracken,\N,the primitive call,bertram bracken,bertram bracken,\N,\N,\N
tt0008466,\N,\N,\N,\N,\N,\N,the princess' necklace,floyd france,clare freeman alger story; e clement dart,\N,\N,\N
tt0008521,the rose of blood,j gordon edwards,bernard mcconville; ryszard ordynski,the rose of blood,j gordon edwards,bernard mcconville,the rose of blood,j gordon edwards,bernard mcconville; ryszard ordynski story,the rose of blood,j gordon edwards,bernard mcconville
tt0009110,the girl who wouldn't quit,edgar jones,james oliver curwood,the girl who wouldn't quit,edgar jones,\N,the girl who wouldn't quit,edgar jones,doris schroeder scenario; james oliver curwood story,the girl who wouldn't quit,edgar jones,doris schroeder
tt0009319,love me,roy william neill,\N,love me,roy william neill,c gardner sullivan,love me,roy william neill,c gardner sullivan scenario,love me,roy william neill,c gardner sullivan
tt0009325,the lure of the circus,jp mcgowan,hope loring; william e wing,the lure of the circus,j p mcgowan,hope loring,the lure of the circus,jp mcgowan,hope loring scenario; william e wing scenario,the lure of the circus,jp mcgowan,hope loring; william e wing
tt0009521,the prodigal wife,frank reicher,edith barnard delano,the prodigal wife,frank reicher,\N,the prodigal wife,frank reicher,edith barnard delano story; eve unsell scenario,the prodigal wife,frank reicher,eve unsell
tt0009559,a romance of happy valley,dw griffith,dw griffith; mary castelman,a romance of happy valley,d w griffith,\N,a romance of happy valley,dw griffith,dw griffith story,a romance of happy valley,dw griffith,\N
tt0009595,\N,\N,\N,the secret woman,ae coleby,eden phillpotts,the secret woman,ae coleby,eden phillpotts; rowland talbot,\N,\N,\N
tt0009650,the squaw man,cecil b demille,beulah marie dix,the squaw man,anne bauchens; cecil b demille; sam wood,beulah marie dix,the squaw man,cecil b demille,beulah marie dix,the squaw man,cecil b demille,beulah marie dix
tt0009965,\N,\N,\N,breezy jim,lorimer johnston,\N,breezy jim,lorimer johnston,j francis dunbar,\N,\N,\N
tt0010389,the lottery man,james cruze,elmer harris; frank urson,the lottery man,james cruze,frank urson,the lottery man,james cruze,elmer harris; frank urson; rida johnson young play,the lottery man,james cruze,elmer harris; frank urson
tt0010534,the other half,king vidor,king vidor,the other half,king vidor,king vidor,the other half,king vidor,king vidor story,the other half,king vidor,\N
tt0010536,the other,eduardo zamacois; juan maria codina,eduardo zamacois,\N,\N,\N,the other,eduardo zamacois; jos mara codina,eduardo zamacois,the other,eduardo zamacois; juan maria codina,eduardo zamacois
tt0010742,\N,\N,\N,\N,\N,\N,such is life in greenwich village,henry hy mayer,henry hy mayer,\N,\N,\N
tt0010934,\N,\N,\N,ray of sunshine,theo frenkel,theo frenkel,ray of sunshine,theo frenkel,theo frenkel scenario,\N,\N,\N
tt0011166,eyes of the heart,paul powell,clara genevieve kennedy; dana burnet,eyes of the heart,paul powell,clara genevieve kennedy,eyes of the heart,paul powell,clara genevieve kennedy; dana burnet story,eyes of the heart,paul powell,clara genevieve kennedy; dana burnet
tt0011167,the face at your window,richard stanton,max marcin,the face at your window,richard stanton,edward sedgwick; max marcin,the face at your window,richard stanton,edward sedgwick; max marcin story,the face at your window,richard stanton,edward sedgwick
tt0011280,helleveeg,theo frenkel sr,theo frenkel sr,helleveeg,theo frenkel,theo frenkel,helleveeg,theo frenkel,theo frenkel,helleveeg,theo frenkel sr,theo frenkel sr
tt0011483,mothers of men,edward jose,charles e whittaker; de witte kaplan,mothers of men,edward jose,\N,mothers of men,edward jos,charles e whittaker scenario; de witte kaplan scenario; edward jos titles; mary murillo titles; william henry warnert novel,mothers of men,edward jose,charles e whittaker; de witte kaplan
tt0011616,the red lane,lynn reynolds,violet clark,the red lane,lynn reynolds,\N,the red lane,lynn reynolds,violet clark,the red lane,lynn reynolds,violet clark
tt0011625,the riddle: woman,edward jose,charlotte e wells; dorothy donnelly; john b clymer,the riddle: woman,edward jose,charlotte e wells; dorothy donnelly; john b clymer,the riddle: woman,edward jos,carl jacobi play; charlotte e wells; dorothy donnelly; john b clymer,the riddle: woman,edward jose,charlotte e wells; dorothy donnelly; john b clymer
tt0011726,a splendid hazard,allan dwan,\N,a splendid hazard,arthur rosson,\N,a splendid hazard,arthur rosson,harold mcgrath novel,a splendid hazard,allan dwan,\N
tt0011784,trailed by three,perry n vekroff,charles t dazey,trailed by three,perry n vekroff,\N,trailed by three,perry n vekroff,charles t dazey,trailed by three,perry n vekroff,charles t dazey
tt0012016,buried treasure,george d baker,\N,buried treasure,george d baker,\N,buried treasure,george d baker,f britten austin short story; george d baker adaptation,buried treasure,george d baker,george d baker
tt0012065,\N,\N,\N,o condenado,\N,\N,o condenado,afonso gaio; mario huguin,afonso gaio play,\N,\N,\N
tt0012446,mann uber bord,karl grune,georg franck; karl grune,man overboard,karl grune,\N,mann ber bord,karl grune,georg franck; karl grune,mann uber bord,karl grune,georg franck; karl grune
tt0012586,the primal law,bernard j durning,\N,the primal law,bernard durning,paul schofield,the primal law,bernard j durning,e lloyd sheldon story; paul schofield,the primal law,bernard j durning,e lloyd sheldon; paul schofield
tt0013366,man with two mothers,paul bern,\N,\N,paul bern,\N,man with two mothers,paul bern,alice duer miller story; julien josephson,man with two mothers,paul bern,\N
tt0013415,\N,\N,\N,\N,\N,\N,mrs. dane's danger,wilfrid north,\N,\N,\N,\N
tt0013437,\N,\N,\N,\N,\N,\N,la ninfa del ro,salvador castell,\N,\N,\N,\N
tt0013484,\N,\N,\N,\N,\N,\N,paul fliegt,william karfiol,\N,\N,\N,\N
tt0013732,versunkene welten,siegfried philippi,\N,sunken worlds,siegfried philippi,\N,versunkene welten,siegfried philippi,\N,versunkene welten,siegfried philippi,\N
tt0013746,western speed,cr wallace; scott r dunlap; william wallace,scott r dunlap,western speed,scott r dunlap,\N,western speed,cr wallace; scott r dunlap; william wallace,scott r dunlap,western speed,cr wallace; scott r dunlap; william wallace,scott r dunlap
tt0013814,abysmal brute,hobart henley,ap younger,the abysmal brute,hobart henley,\N,abysmal brute,hobart henley,ap younger; jack london novel,abysmal brute,hobart henley,ap younger
tt0014206,\N,\N,\N,the little red schoolhouse,john g adolfi,\N,little red school house,john g adolfi,james shelley hamilton,\N,\N,\N
tt0014341,our hospitality,buster keaton; john g blystone,clyde bruckman; jean c havez; joseph a mitchell,our hospitality,buster keaton; john g blystone,clyde bruckman; jean havez; joseph a mitchell,our hospitality,buster keaton; john g blystone,clyde bruckman; jean c havez; joseph a mitchell,our hospitality,buster keaton; john g blystone,jean c havez; joseph a mitchell
tt0014611,why worry?,fred c newmeyer; sam taylor,sam taylor; ted wilde; tim whelan,why worry?,sam taylor,sam taylor; ted wilde,why worry?,fred c newmeyer; sam taylor,hm walker titles; sam taylor story; ted wilde story; tim whelan story,why worry?,fred c newmeyer; sam taylor,sam taylor; ted wilde; tim whelan
tt0014769,cheap kisses,cullen tate; john ince,c gardner sullivan,cheap kisses,john ince,\N,cheap kisses,cullen tate; john ince,c gardner sullivan screenplay; c gardner sullivan story,cheap kisses,cullen tate; john ince,c gardner sullivan
tt0014799,the conspirators,sinclair hill,sinclair hill,the conspirators,sinclair hill,\N,the conspirators,sinclair hill,e phillips oppenheim; sinclair hill,the conspirators,sinclair hill,sinclair hill
tt0014822,the dangerous blonde,robert f hill,hulbert footner,the dangerous blonde,robert f hill,\N,the dangerous blonde,robert f hill,hugh hoffman,the dangerous blonde,robert f hill,hugh hoffman
tt0014827,daring chances,clifford smith,isadore bernstein; wyndham gittens,daring chances,clifford smith,\N,daring chances,clifford smith,isadore bernstein story; wyndham gittens,daring chances,clifford smith,wyndham gittens
tt0014980,\N,\N,\N,\N,\N,\N,her dark swan,\N,\N,\N,\N,\N
tt0015077,lolita the orphan,alejandro olavarria,\N,lolita la huerfana,aureliano gonzalez,alejandro olabarria; aureliano gonzalez,lolita la hurfana,\N,\N,lolita the orphan,alejandro olavarria,\N
tt0015248,the price she paid,henry macrae,\N,the price she paid,henry macrae,\N,the price she paid,henry macrae,\N,the price she paid,henry macrae,\N
tt0015382,\N,\N,\N,\N,\N,\N,surging seas,james chapin,jack natteford,\N,\N,\N
tt0015528,man of destiny,john lindlof,j ericius,\N,john lindlof,\N,dets man,john lindlf,\N,man of destiny,john lindlof,j ericius
tt0015734,daring days,john b obrien,george c hull,\N,\N,\N,daring days,john b obrien,\N,daring days,john b obrien,\N
tt0015764,\N,\N,\N,\N,\N,\N,la drapaire,emilio guerrero; juan andreu; pepin fernandez,luis mariano de larra; pepin fernandez,\N,\N,\N
tt0015997,the stationmaster,ivan moskvin; yuri zhelyabuzhsky,fyodor otsep; valentin turkin,the stationmaster,ivan moskvin; yuri zhelyabuzhsky,fedor ozep; nikolai kovarsky,the stationmaster,ivan moskvin; yuri zhelyabuzhsky,alexander pushkin; fyodor otsep,the stationmaster,ivan moskvin; yuri zhelyabuzhsky,fyodor otsep; valentin turkin
tt0016029,the little colonel,david butler,anne fellows johnston; william m conselman,the little colonel,david butler,william conselman,the little colonel,david butler,anne fellows johnston; david butler; william m conselman,the little colonel,david butler,william m conselman
tt0016042,the love gamble,edward lesaint,\N,the love gamble,edward lesaint,\N,the love gamble,edward lesaint,fanny hatton titles; frederic hatton titles; harry o hoyt continuity; maysie greig novel,the love gamble,edward lesaint,\N
tt0016044,the love hour,herman c raymaker,bess meredyth,the love hour,herman c raymaker,bess meredyth,the love hour,herman c raymaker,\N,the love hour,herman c raymaker,bess meredyth
tt0016255,\N,\N,\N,\N,\N,\N,queen of spades,harry l fraser,\N,\N,\N,\N
tt0016316,scandal street,whitman bennett,frank r adams; harry chandlee,scandal street,whitman bennett,\N,scandal street,whitman bennett,frank r adams story,scandal street,whitman bennett,frank r adams; harry chandlee
tt0016374,a son of his father,victor fleming,anthony coldeway,a son of his father,victor fleming,\N,a son of his father,victor fleming,anthony coldeway; harold bell wright novel,a son of his father,victor fleming,anthony coldeway
tt0016522,whistling jim,wilbur mcgaugh,peggy oday,\N,\N,\N,whistling jim,wilbur mcgaugh,\N,whistling jim,wilbur mcgaugh,peggy oday
tt0016633,beatrice cenci,baldassarre negroni; torello rolli,luciano doria,beatrice cenci,baldassarre negroni,\N,beatrice cenci,baldassarre negroni,luciano doria screenplay; torello rolli screenplay,beatrice cenci,baldassarre negroni; torello rolli,luciano doria
tt0016642,bertha the sewing machine girl,irving cummings,gertrude orr,"bertha, the sewing machine girl",irving cummings,gertrude orr,bertha the sewing machine girl,irving cummings,\N,bertha the sewing machine girl,irving cummings,gertrude orr
tt0016652,bigger than barnum's,ralph ince,arthur guy empey; j grubb alexander,bigger than barnum's,ralph ince,j grubb alexander,bigger than barnum's,ralph ince,\N,bigger than barnum's,ralph ince,j grubb alexander
tt0016682,the broadway boob,joseph henabery,ev durling; monte m katterjohn,the broadway boob,joseph henabery,monte m katterjohn,the broadway boob,joseph henabery,\N,the broadway boob,joseph henabery,ev durling; monte m katterjohn
tt0016765,\N,\N,\N,the dangerous dub,richard thorpe,\N,the dangerous dub,richard thorpe,james madison; richard thorpe,\N,\N,\N
tt0016832,exit smiling,sam taylor,marc connelly,exit smiling,sam taylor,joseph farnham; sam taylor,exit smiling,sam taylor,\N,exit smiling,sam taylor,sam taylor; tim whelan
tt0016884,flesh and the devil,clarence brown,benjamin glazer; marian ainslee,flesh and the devil,clarence brown,benjamin glazer,flesh and the devil,clarence brown,benjamin glazer; hermann sudermann; marian ainslee,flesh and the devil,clarence brown,benjamin glazer; marian ainslee
tt0016946,hands across the border,david kirkland,frances marion,hands across the border,david kirkland,\N,hands across the border,david kirkland,frances marion story; malcolm stuart boylan titles; william e wing scenario,hands across the border,david kirkland,malcolm stuart boylan; william e wing
tt0017051,laddie,james leo meehan,jeanette porter meehan,laddie,james leo meehan,\N,laddie,james leo meehan,gene strattonporter; jeanette porter meehan,laddie,james leo meehan,jeanette porter meehan
tt0017156,\N,\N,\N,the miracle of life,stanner ev taylor,\N,the miracle of life,stanner ev taylor,elizabeth musgrave; olga printzlau story,\N,\N,\N
tt0017561,wild to go,robert de lacey,fae pine,wild to go,robert de lacey,\N,wild to go,robert de lacey,fae pine adaptation; fae pine screenplay,wild to go,robert de lacey,fae pine
tt0017723,by whose hand?,walter lang,marion orth,by whose hand?,walter lang,\N,by whose hand?,walter lang,marion orth screenplay; marion orth story,by whose hand?,walter lang,marion orth
tt0017845,eins + eins = drei,felix basch,bela balazs; henry koster,one plus one equals three,felix basch,bela balazs,eins + eins = drei,felix basch,bla balzs; henry koster,eins + eins = drei,felix basch,bela balazs; henry koster
tt0017874,\N,\N,\N,\N,\N,\N,festas da curia,jos leito de barros,\N,\N,\N,\N
tt0018084,let it rain,edward f cline,earle snell; george crone; wade boteler,let it rain,edward f cline,wade boteler,let it rain,edward f cline,\N,let it rain,edward f cline,earle snell; george crone; wade boteler
tt0018164,the missing link,charles reisner,charles reisner,the missing link,charles reisner,\N,the missing link,charles reisner,\N,the missing link,charles reisner,darryl f zanuck
tt0018479,a texas steer,richard wallace,bernard mcconville; will rogers,a texas steer,richard wallace,garrett graham,a texas steer,richard wallace,bernard mcconville; garrett graham,a texas steer,richard wallace,bernard mcconville; paul schofield; will rogers
tt0018515,two arabian knights,lewis milestone,cyril gardner; donald mcgibney; wallace smith,two arabian knights,lewis milestone,cyril gardner; george marion jr; wallace smith,two arabian knights,lewis milestone,cyril gardner screen version; donald mcgibney original story; george marion jr titles; james t odonohoe continuity; wallace smith screen version,two arabian knights,lewis milestone,cyril gardner; wallace smith
tt0018606,sword of penitence,torajiro saito; yasujiro ozu,kogo noda,sword of penitence,yasujiro ozu,kogo noda; yasujiro ozu,sword of penitence,torajiro saito; yasujiro ozu,\N,sword of penitence,torajiro saito; yasujiro ozu,kogo noda
tt0018719,breed of the sunsets,wallace fox,stanner ev taylor,\N,\N,\N,breed of the sunsets,wallace fox,oliver drake; randolph bartlett,breed of the sunsets,wallace fox,stanner ev taylor
tt0018842,\N,\N,\N,domestic meddlers,james flood,\N,domestic meddlers,james flood,fanny hatton; frederic hatton; wellyn totman,\N,\N,\N
tt0018853,driftwood,christy cabanne,richard harding davis,driftwood,christy cabanne,\N,driftwood,christy cabanne,lillie hayward; mort blumenstock,driftwood,christy cabanne,lillie hayward
tt0019076,\N,\N,\N,law of the mounted,j p mcgowan,\N,the law of the mounted,jp mcgowan,philip schuyler scenario; sally winters story,\N,\N,\N
tt0019175,my son,yevgeni chervyakov,nikolay dirin; yevgeni chervyakov; yuri gromov,my son,yevgeni chervyakov,\N,moy syn,yevgeni chervyakov,a turin; nikolay dirin; yevgeni chervyakov; yuri gromov,my son,yevgeni chervyakov,nikolay dirin; yevgeni chervyakov; yuri gromov
tt0019292,prep and pep,david butler,john stone; malcolm stuart boylan,prep and pep,david butler,john stone,prep and pep,david butler,john stone scenario; john stone story; malcolm stuart boylan titles,prep and pep,david butler,john stone; malcolm stuart boylan
tt0019380,the showdown,victor schertzinger,ethel doherty; hope loring,the showdown,victor schertzinger,\N,the showdown,victor schertzinger,ethel doherty adaptation; ethel doherty screenplay; hope loring adaptation; hope loring screenplay; houston branch play; john farrow titles,the showdown,victor schertzinger,ethel doherty; hope loring
tt0019463,that's my daddy,fred c newmeyer,albert demond; earle snell; reginald denny,that's my daddy,fred c newmeyer,\N,that's my daddy,fred c newmeyer,\N,that's my daddy,fred c newmeyer,albert demond; earle snell; faith thomas; pierre couderc
tt0019663,\N,\N,\N,\N,\N,\N,aveiro desportivo,\N,\N,\N,\N,\N
tt0019877,figaro,gaston ravel; tony lekain,gaston ravel; tony lekain,figaro,tony lekain,\N,figaro,gaston ravel; tony lekain,beaumarchais plays; gaston ravel; tony lekain,figaro,gaston ravel; tony lekain,gaston ravel; tony lekain
tt0019992,the hole in the wall,robert florey,frederick j jackson; pierre collings,the hole in the wall,robert florey,pierre collings,the hole in the wall,robert florey,frederick j jackson play; pierre collings,the hole in the wall,robert florey,pierre collings
tt0020000,hot stuff,mervyn leroy,humphrey pearson; louis stevens; robert s carr,hot stuff,mervyn leroy,\N,hot stuff,mervyn leroy,humphrey pearson screenplay; humphrey pearson titles; louis stevens; robert s carr screenplay; robert s carr story,hot stuff,mervyn leroy,humphrey pearson; louis stevens; robert s carr
tt0020081,the last of mrs. cheyney,sidney franklin,hanns kraly,the last of mrs. cheyney,sidney franklin,claudine west; hanns kraly,the last of mrs. cheyney,sidney franklin,\N,the last of mrs. cheyney,sidney franklin,hanns kraly
tt0020261,\N,\N,\N,the passion song,harry o hoyt,\N,passion song,harry o hoyt,camille collins; francis fenton,\N,\N,\N
tt0020475,diary of a lost girl,gw pabst,rudolf leonhardt,diary of a lost girl,georg wilhelm pabst,margarete bohme,diary of a lost girl,georg wilhelm pabst,margarete bohme; rudolf leonhardt,diary of a lost girl,gw pabst,rudolf leonhardt
tt0020867,the eyes of the world,henry king,brewster morse; clarke silvernail; harold bell wright,the eyes of the world,henry king,\N,the eyes of the world,henry king,\N,the eyes of the world,henry king,brewster morse; clarke silvernail; harold bell wright
tt0020942,grumpy,cyril gardner; george cukor,doris anderson,grumpy,cyril gardner; george cukor,\N,grumpy,cyril gardner; george cukor,doris anderson; horace hodges; thomas wigney percyval,grumpy,cyril gardner; george cukor,doris anderson
tt0021299,ridin' law,harry s webb,\N,\N,\N,\N,ridin' law,harry s webb,carl krusada screenplay; carl krusada story,ridin' law,harry s webb,\N
tt0021412,the spoilers,edwin carewe,agnes brand leahy; bartlett cormack,the spoilers,edwin carewe,\N,the spoilers,edwin carewe,agnes brand leahy; bartlett cormack; rex beach,the spoilers,edwin carewe,agnes brand leahy; bartlett cormack
tt0021707,the skulls,james w horne,\N,los calaveras,james parrott; james w horne,h m walker,the skulls,james w horne,\N,the skulls,james w horne,\N
tt0021746,cimarron,wesley ruggles,howard estabrook,cimarron,wesley ruggles,howard estabrook,cimarron,wesley ruggles,edna ferber; howard estabrook; louis sarecky,cimarron,wesley ruggles,howard estabrook
tt0021905,a gentleman of paris,sinclair hill,sewell collins; sidney gilliat,a gentleman of paris,sinclair hill,sewell collins,a gentleman of paris,sinclair hill,niranjan pal novel; sewell collins; sidney gilliat,a gentleman of paris,sinclair hill,sewell collins; sidney gilliat
tt0022371,sheer luck,bruce mitchell,bruce mitchell,sheer luck,bruce m mitchell,\N,sheer luck,bruce m mitchell,bruce m mitchell,sheer luck,bruce mitchell,bruce mitchell
tt0022509,tukkipojan morsian,erkki karu,erkki karu,tukkipojan morsian,erkki karu,\N,tukkipojan morsian,erkki karu,erkki karu,tukkipojan morsian,erkki karu,erkki karu
tt0022582,the yellow ticket,raoul walsh,guy bolton; jules furthman,the yellow ticket,raoul walsh,jules furthman,the yellow ticket,raoul walsh,guy bolton; jules furthman; michael morton play,the yellow ticket,raoul walsh,guy bolton; jules furthman
tt0022771,ladies hairdresser,rene guissart,rene guissart,ladies hairdresser,rene guissart,\N,ladies hairdresser,rene guissart,\N,ladies hairdresser,rene guissart,\N
tt0023749,air hostess,albert s rogell,milton raison,air hostess,albert s rogell,\N,air hostess,albert s rogell,grace perkins; keene thompson; milton raison,air hostess,albert s rogell,milton raison
tt0023941,destination unknown,tay garnett,tom buckingham,destination unknown,tay garnett,tom buckingham,destination unknown,tay garnett,tom buckingham,destination unknown,tay garnett,tom buckingham
tt0023987,enemy of the police,george king,\N,enemy of the police,george king,\N,enemy of the police,george king,\N,enemy of the police,george king,\N
tt0024046,gallant lady,gregory la cava,douglas z doty; gilbert emery; sam mintz,gallant lady,gregory la cava,sam mintz,gallant lady,gregory la cava,douglas z doty story; gilbert emery story; sam mintz,gallant lady,gregory la cava,sam mintz
tt0024343,mistigri,harry lachman,\N,mistigri,harry lachman,marcel achard,mistigri,harry lachman,\N,mistigri,harry lachman,\N
tt0024370,the night of the great love,geza von bolvary,martha albrand,\N,\N,\N,the night of the great love,geza von bolvary,\N,the night of the great love,geza von bolvary,martha albrand
tt0024383,night of the garter,jack raymond,austin melford; marjorie gaffney,night of the garter,jack raymond,wilson collison,night of the garter,jack raymond,austin melford; avery hopwood play; marjorie gaffney; wilson collison play,night of the garter,jack raymond,austin melford; marjorie gaffney
tt0024653,their night out,harry hughes,harry hughes,their night out,harry hughes,\N,their night out,harry hughes,george arthurs; harry hughes,their night out,harry hughes,harry hughes
tt0024690,trailing north,john p mccarthy,harry l fraser,trailing north,john p mccarthy,\N,trailing north,john p mccarthy,harry l fraser story; john morgan adaptation,trailing north,john p mccarthy,john morgan
tt0026050,\N,\N,\N,\N,\N,\N,l'albergo della felicita,giuseppe vittorio sampieri,giuseppe vittorio sampieri; leo mezzadri,\N,\N,\N
tt0026073,annie oakley,george stevens,ewart adamson; joel sayre; john twist; joseph fields,annie oakley,george stevens,joel sayre; john twist,annie oakley,george stevens,joel sayre; john twist; joseph fields,annie oakley,george stevens,joel sayre; john twist
tt0026605,the last days of pompeii,ernest b schoedsack,ruth rose,the last days of pompeii,ernest b schoedsack; merian c cooper,james ashmore creelman; ruth rose,the last days of pompeii,ernest b schoedsack; merian c cooper,boris ingster; james ashmore creelman; ruth rose,the last days of pompeii,ernest b schoedsack,ruth rose
tt0026949,the roof,george a cooper,\N,the roof,george a cooper,\N,the roof,george a cooper,\N,the roof,george a cooper,\N
tt0027075,a tale of two cities,jack conway,s n behrman; wp lipscomb,a tale of two cities,jack conway; robert z leonard,s n behrman; w p lipscomb,a tale of two cities,jack conway; robert z leonard,charles dickens; sn behrman; wp lipscomb,a tale of two cities,jack conway,s n behrman; wp lipscomb
tt0027330,ballerine,gustav machaty,albrecht joseph; leo bomba; rudolf s joseph,ballerine,gustav machaty,albrecht joseph,ballerine,gustav machat,\N,ballerine,gustav machaty,albrecht joseph; leo bomba; rudolf s joseph
tt0027393,brand of the outlaws,robert n bradbury,forbes parkhill,brand of the outlaws,robert n bradbury,\N,brand of the outlaws,robert n bradbury,forbes parkhill screenplay; forbes parkhill story,brand of the outlaws,robert n bradbury,forbes parkhill
tt0027687,the golden arrow,alfred e green,charles kenyon; michael arlen,the golden arrow,alfred edward green,charles kenyon,the golden arrow,alfred e green,charles kenyon screenplay; michael arlen story,the golden arrow,alfred e green,charles kenyon
tt0027710,a little street in paradise,martin fric,georg wittuhn; hugo haas; otakar vavra,\N,martin fric,hugo haas; otakar vavra; tr georg wittuhn,a little street in paradise,martin fric,\N,a little street in paradise,martin fric,georg wittuhn; hugo haas; otakar vavra
tt0027918,\N,\N,\N,\N,\N,\N,luis candelas,fernando roldn,antonio asenjo; pedro de repide,\N,\N,\N
tt0028145,public nuisance no. 1,marcel varnel,val guest,public nuisance no. 1,marcel varnel,franz arnold,public nuisance no. 1,marcel varnel,franz arnold story; robert edmunds; roger burford; val guest,public nuisance no. 1,marcel varnel,val guest
tt0028158,ramona,henry king,lamar trotti,ramona,henry king,lamar trotti; sonya levien,ramona,henry king,helen hunt jackson novel; lamar trotti screenplay,ramona,henry king,lamar trotti
tt0028501,white fang,david butler,gene fowler; hal long; sg duncan,white fang,david butler,\N,white fang,david butler,gene fowler; jack london; sam duncan,white fang,david butler,gene fowler; hal long; sg duncan
tt0028534,who loves me?,jose luis saenz de heredia,eduardo ugarte; luis bunuel,\N,eduardo ugarte; jose luis saenz de heredia; luis bunuel,eduardo ugarte; enrique horta; luis bunuel,who loves me?,jose luis saenz de heredia,\N,who loves me?,jose luis saenz de heredia,eduardo ugarte; luis bunuel
