tconst,tmdb_title,tmdb_directors,tmdb_writers,wikidata_title,wikidata_directors,wikidata_writers,cinemeta_title,cinemeta_directors,cinemeta_writers,letterboxd_title,letterboxd_directors,letterboxd_writers
tt0037856,kylaraittien kuningas,jorma nortimo,kalle kaarna,\N,jorma nortimo,\N,kylraittien kuningas,jorma nortimo,kaarle halme novel; kalle kaarna,kylaraittien kuningas,jorma nortimo,kalle kaarna
tt0038428,cowboy blues,ray nazarro,j benton cheney,cowboy blues,ray nazarro,\N,cowboy blues,ray nazarro,\N,cowboy blues,ray nazarro,j benton cheney
tt0038504,earl carroll sketchbook,albert s rogell,frank gill jr; parke levy,earl carroll sketchbook,albert s rogell,\N,earl carroll sketchbook,albert s rogell,\N,earl carroll sketchbook,albert s rogell,frank gill jr; parke levy
tt0038582,a guy could change,william k howard,al martin; f hugh herbert,a guy could change,william k howard,\N,a guy could change,william k howard,al martin; f hugh herbert story,a guy could change,william k howard,al martin
tt0038878,renegades,george sherman,francis edward faragoh; harold shumate; melvin levy,renegades,george sherman,\N,renegades,george sherman,francis edward faragoh screenplay; harold shumate story; melvin levy screenplay,renegades,george sherman,francis edward faragoh; melvin levy
tt0039068,uno tra la folla,ennio cerlesi,ennio cerlesi; piero tellini,one between the crowd,ennio cerlesi,\N,one between the crowd,ennio cerlesi,ennio cerlesi screenplay; massimo rendina story; piero tellini story,uno tra la folla,ennio cerlesi,ennio cerlesi; piero tellini
tt0040489,jinx money,william beaudine,edmond seward; gerald schnitzer; tim ryan,jinx money,william beaudine,\N,jinx money,william beaudine,edmond seward; gerald schnitzer; tim ryan,jinx money,william beaudine,edmond seward; gerald schnitzer; tim ryan
tt0041332,el paso,lewis r foster,gladys atwater; j robert bren; lewis r foster,el paso,lewis r foster,j robert bren,el paso,lewis r foster,gladys atwater; j robert bren; lewis r foster,el paso,lewis r foster,lewis r foster
tt0042566,hokm elqawi,hassan alimam,elsayed bedir,\N,hassan elimam,\N,the law of the jungle,hassan al imam,\N,hokm elqawi,hassan alimam,elsayed bedir; hassan alimam
tt0044122,this is korea!,john ford,\N,this is korea,john ford,\N,this is korea!,john ford,\N,this is korea!,john ford,\N
tt0045619,champ for a day,william a seiter,irving shulman,champ for a day,william a seiter,irving shulman,champ for a day,william a seiter,\N,champ for a day,william a seiter,irving shulman
tt0045809,\N,\N,\N,\N,\N,\N,genkai no wani,\N,\N,\N,\N,\N
tt0046237,resan till dej,stig olin,hasse ekman; stig olin,resan till dej,stig olin,\N,resan till dej,stig olin,\N,resan till dej,stig olin,hasse ekman; stig olin
tt0046718,anupama,agradoot,agradoot; sushil jana,anupama,agradoot,\N,anupama,agradoot,\N,anupama,agradoot,agradoot; sushil jana
tt0047027,la gitana y el charro,gilberto martinez solares,blanca estela limon; jesus maria de arozamena; jose maria fernandez,\N,\N,\N,la gitana y el charro,gilberto martinez solares,\N,la gitana y el charro,gilberto martinez solares,jesus maria de arozamena
tt0048283,land of the pharaohs,howard hawks,harold jack bloom; harry kurnitz; william faulkner,land of the pharaohs,howard hawks; paul helmick,harold jack bloom; harry kurnitz; william faulkner,land of the pharaohs,howard hawks,harold jack bloom; harry kurnitz; william faulkner,land of the pharaohs,howard hawks,harold jack bloom; harry kurnitz; william faulkner
tt0049108,crowded paradise,fred pressburger,marc connelly,\N,\N,\N,crowded paradise,fred pressburger,\N,crowded paradise,fred pressburger,marc connelly
tt0049784,early spring,yasujiro ozu,kogo noda; yasujiro ozu,early spring,yasujiro ozu,kogo noda; yasujiro ozu,early spring,yasujiro ozu,kogo noda; yasujiro ozu,early spring,yasujiro ozu,kogo noda; yasujiro ozu
tt0050910,rockets galore,michael relph,monja danischewsky,rockets galore!,michael relph,monja danischewsky,rockets galore,michael relph,\N,rockets galore,michael relph,monja danischewsky
tt0053337,teenagers from outer space,tom graeff,tom graeff,teenagers from outer space,tom graeff,tom graeff,teenagers from outer space,tom graeff,tom graeff,teenagers from outer space,tom graeff,tom graeff
tt0054285,atom age vampire,anton giulio majano,piero monviso,atom age vampire,anton giulio majano,alberto bevilacqua,atom age vampire,anton giulio majano,\N,atom age vampire,anton giulio majano,alberto bevilacqua; anton giulio majano; gino de santis
tt0055613,"watch it, sailor!",wolf rilla,falkland l cary; philip king,"watch it, sailor!",wolf rilla,falkland cary,"watch it, sailor!",wolf rilla,\N,"watch it, sailor!",wolf rilla,falkland l cary; philip king
tt0056289,the notorious landlady,richard quine,blake edwards; larry gelbart; margery sharp,the notorious landlady,richard quine,blake edwards; larry gelbart; margery sharp,the notorious landlady,richard quine,blake edwards; larry gelbart; margery sharp,the notorious landlady,richard quine,blake edwards; larry gelbart
tt0056468,the condemned of altona,vittorio de sica,abby mann; cesare zavattini,the condemned of altona,vittorio de sica,abby mann; cesare zavattini; jeanpaul sartre,the condemned of altona,vittorio de sica,abby mann; cesare zavattini; jeanpaul sartre,the condemned of altona,vittorio de sica,abby mann; cesare zavattini
tt0056935,\N,\N,\N,\N,\N,\N,cinderella,\N,charles perrault,\N,\N,\N
tt0057076,from russia with love,terence young,richard maibaum,from russia with love,terence young,johanna harwood; richard maibaum,from russia with love,terence young,ian fleming; johanna harwood; richard maibaum,from russia with love,terence young,johanna harwood; richard maibaum
tt0057189,island of love,morton dacosta,david r schwartz; leo katcher,island of love,morton dacosta,\N,island of love,morton dacosta,david r schwartz; leo katcher,island of love,morton dacosta,david r schwartz
tt0059036,100 horsemen,vittorio cottafavi,enrico ribulsi; giorgio prosperi; jose maria otero; vittorio cottafavi,100 horsemen,vittorio cottafavi,antonio eceiza; giorgio prosperi; vittorio cottafavi,i cento cavalieri,vittorio cottafavi,giorgio prosperi; jose maria otero; vittorio cottafavi,100 horsemen,vittorio cottafavi,enrico ribulsi; giorgio prosperi; jose maria otero; vittorio cottafavi
tt0059043,the collector,william wyler,john kohn; stanley mann,the collector,william wyler,john kohn; stanley mann; terry southern,the collector,william wyler,john fowles; john kohn; stanley mann,the collector,william wyler,john kohn; stanley mann
tt0059482,placeres conyugales,luis saslavsky,abel santacruz; luis saslavsky,las mujeres los prefieren tontos,luis saslavsky,\N,placeres conyugales,luis saslavsky,\N,placeres conyugales,luis saslavsky,abel santacruz; luis saslavsky
tt0059551,l'or du duc,jacques baratier,eric ollivier; jacques baratier,l'or du duc,jacques baratier,jacques baratier,l'or du duc,jacques baratier,\N,l'or du duc,jacques baratier,eric ollivier; jacques baratier
tt0061180,the whisperers,bryan forbes,bryan forbes,the whisperers,bryan forbes,bryan forbes,the whisperers,bryan forbes,bryan forbes; robert nicolson,the whisperers,bryan forbes,bryan forbes
tt0061437,calamity the cow,david eastman,david eastman; kerry eastman,calamity the cow,david eastman,\N,calamity the cow,david eastman,\N,calamity the cow,david eastman,david eastman; kerry eastman
tt0061441,um campista em apuros,herlander peyroteo,jorge walter,\N,\N,\N,um campista em apuros,herlander peyroteo,cesar de oliveira; herlander peyroteo; jorge walger,um campista em apuros,herlander peyroteo,jorge walter
tt0061828,an italian in america,alberto sordi,alberto sordi; rodolfo sonego,an italian in america,alberto sordi,alberto sordi; rodolfo sonego,an italian in america,alberto sordi,\N,an italian in america,alberto sordi,alberto sordi; rodolfo sonego
tt0061877,"kill, panther, kill!",gianfranco parolini,gianfranco parolini; giovanni simonelli; gunter rudorf,kommissar x - drei blaue panther,gianfranco parolini,giovanni simonelli,kommissar x - drei blaue panther,gianfranco parolini,gianfranco parolini; giovanni simonelli; gunter rudorf,"kill, panther, kill!",gianfranco parolini,gianfranco parolini; giovanni simonelli; gunter rudorf
tt0062231,blood of the virgins,emilio vieyra,emilio vieyra,blood of the virgins,emilio vieyra,emilio vieyra,blood of the virgins,emilio vieyra,\N,blood of the virgins,emilio vieyra,emilio vieyra
tt0062863,dark of the sun,jack cardiff,adrian spies; ranald macdougall,dark of the sun,jack cardiff,ranald macdougall,dark of the sun,jack cardiff,adrian spies; ranald macdougall; wilbur smith,dark of the sun,jack cardiff,adrian spies; ranald macdougall
tt0063142,isle of the snake people,jack hill; juan ibanez,jack hill; juan ibanez; luis enrique vergara,isle of the snake people,jack hill; juan ibanez diezgutierrez,jack hill; luis enrique vergara,isle of the snake people,jack hill; juan ibanez,\N,isle of the snake people,jack hill; juan ibanez,jack hill; juan ibanez; luis enrique vergara
tt0063190,komedi i hagerskog,torgny anderberg,torgny anderberg,\N,torgny anderberg,torgny anderberg,komedi i hagerskog,torgny anderberg,\N,komedi i hagerskog,torgny anderberg,torgny anderberg
tt0063556,it's your move,roberto fizz,\N,it's your move,roberto fizz,ennio de concini; jose gutierrez maesso; luciano martino; tito carpi,it's your move,roberto fizz,juan cesarabea; massimiliano capriccioli; tito carpi,it's your move,roberto fizz,\N
tt0063760,inconsolable widows are looking for distractions,bruno gaburro,bruno gaburro; giacomo gramegna; gianluigi anelli,\N,bruno gaburro,bruno gaburro,inconsolable widows are looking for distractions,bruno gaburro,\N,inconsolable widows are looking for distractions,bruno gaburro,bruno gaburro; giacomo gramegna; gianluigi anelli
tt0064119,poppea's hot nights,guido malatesta,gianfranco clerici; guido malatesta,poppea's hot nights,guido malatesta,gianfranco clerici; guido malatesta,poppea's hot nights,guido malatesta,\N,poppea's hot nights,guido malatesta,gianfranco clerici; guido malatesta
tt0064208,death rides a horse,giulio petroni,luciano vincenzoni,death rides a horse,giulio petroni,luciano vincenzoni,death rides a horse,giulio petroni,luciano vincenzoni,death rides a horse,giulio petroni,luciano vincenzoni
tt0064243,the sweet body of deborah,romolo guerrieri,ernesto gastaldi; luciano martino,the sweet body of deborah,romolo guerrieri,ernesto gastaldi; luciano martino,the sweet body of deborah,romolo guerrieri,\N,the sweet body of deborah,romolo guerrieri,ernesto gastaldi
tt0064667,the mighty gorga,david l hewitt,david l hewitt; jean hewitt,the mighty gorga,david l hewitt,\N,the mighty gorga,david l hewitt,david l hewitt; jean hewitt; robert vincent oneil,the mighty gorga,david l hewitt,david l hewitt; jean hewitt
tt0066470,la tonta del bote,juan de orduna,eloy herrera santos; margarita robles; pilar millan astray; rafael j salvia,the complete idiot,juan de orduna,margarita robles; rafael j salvia,la tonta del bote,juan de orduna,eloy herrera santos; pilar millan astray; rafael j salvia,la tonta del bote,juan de orduna,eloy herrera santos; margarita robles; pilar millan astray; rafael j salvia
tt0067493,bloodiest flower,kosaku yamashita,tatsuo nogami,\N,\N,\N,bloodiest flower,kosaku yamashita,\N,bloodiest flower,kosaku yamashita,tatsuo nogami
tt0067695,the russian field,nikolai moskalenko,mikhail alekseyev,russian field,nikolay moskalenko,mikhail alekseyev,the russian field,nikolai moskalenko,\N,the russian field,nikolai moskalenko,mikhail alekseyev
tt0069147,who is beta?,nelson pereira dos santos,gerard levyclerc; nelson pereira dos santos,\N,nelson pereira dos santos,\N,who is beta?,nelson pereira dos santos,\N,who is beta?,nelson pereira dos santos,gerard levyclerc; nelson pereira dos santos; pierre kast
tt0069224,sattar khan,ali hatami,ali hatami,sattar khan,ali hatami,ali hatami,sattar khan,ali hatami,\N,sattar khan,ali hatami,ali hatami
tt0069702,ambush,ho menghua,patrick kong yeung,ambush,ho meng hua,\N,mai fu,menghua ho,yang chiang,ambush,ho menghua,patrick kong yeung
tt0070049,facets of love,li hanhsiang,li hanhsiang,facets of love,li hanhsiang,li hanhsiang,facets of love,han hsiang li,han hsiang li,facets of love,li hanhsiang,li hanhsiang
tt0070124,gordon's war,ossie davis,ed spielman; howard friedlander,gordon's war,ossie davis,ed spielman; howard friedlander,gordon's war,ossie davis,\N,gordon's war,ossie davis,ed spielman; howard friedlander
tt0071273,can you keep it up for a week?,jim atkinson,\N,can you keep it up for a week?,\N,\N,can you keep it up for a week?,jim atkinson,hazel adair,can you keep it up for a week?,jim atkinson,\N
tt0071974,the wonderful crook,claude goretta,charlotte dubreuil; claude goretta,the wonderful crook,claude goretta,\N,the wonderful crook,claude goretta,charlotte dubreuil; claude goretta,the wonderful crook,claude goretta,charlotte dubreuil; claude goretta
tt0072087,rivals of kung fu,wong fung,wong fung,\N,\N,\N,rivals of kung fu,wong fung,\N,rivals of kung fu,wong fung,wong fung
tt0072284,three the hard way,gordon parks jr,eric bercovici; jerrold l ludwig,three the hard way,gordon parks jr,eric bercovici,three the hard way,gordon parks jr,eric bercovici; jerry ludwig,three the hard way,gordon parks jr,eric bercovici; jerrold l ludwig
tt0072640,"strip first, then we talk",fabio pittorru; renzo ragazzi,fabio pittorru,"strip first, then we talk",fabio pittorru; renzo ragazzi,fabio pittorru,"strip first, then we talk",fabio pittorru; renzo ragazzi,\N,"strip first, then we talk",fabio pittorru; renzo ragazzi,fabio pittorru
tt0072978,five days in falkoping,marianne ahrne,bertrand hurault; marianne ahrne,five days at falkoebing,marianne ahrne,marianne ahrne,five days in falkoping,marianne ahrne,\N,five days in falkoping,marianne ahrne,bertrand hurault; marianne ahrne
tt0074389,the demon lover,donald g jackson; jerry younkins,donald g jackson; jerry younkins,\N,\N,\N,the demon lover,donald g jackson; jerry younkins,\N,the demon lover,donald g jackson; jerry younkins,donald g jackson; jerry younkins
tt0075707,aurel vlaicu,mircea dragan,eugenia busuioceanu,aurel vlaicu,mircea dragan,\N,aurel vlaicu,mircea dragan,\N,aurel vlaicu,mircea dragan,eugenia busuioceanu
tt0075773,bluff stop,jonas cornell,jonas cornell,bluff stop,jonas cornell,jonas cornell,bluff stop,jonas cornell,\N,bluff stop,jonas cornell,jonas cornell
tt0075985,emily,henry herbert,christopher neame,emily,henry herbert 17th earl of pembroke,\N,emily,henry herbert,christopher neame,emily,henry herbert,christopher neame
tt0077373,stay as you are,alberto lattuada,alberto lattuada; enrico oldoini; paolo cavara,stay as you are,alberto lattuada,alberto lattuada; enrico oldoini,stay as you are,alberto lattuada,alberto lattuada; enrico oldoini; paolo cavara,stay as you are,alberto lattuada,alberto lattuada; enrico oldoini
tt0079712,perro callejero 2,gilberto gazcon,gilberto gazcon,perro callejero ii,gilberto gazcon,\N,perro callejero ii,gilberto gazcon,gilberto gazcon,perro callejero 2,gilberto gazcon,gilberto gazcon
tt0080609,denver,carles balague,carles balague; jose maria latorre,\N,\N,\N,denver,carles balague,carles balague; jose maria latorre,denver,carles balague,carles balague; jose maria latorre
tt0082530,the hot touch,roger vadim,jeanyves pitoun; lionel chetwynd,the hot touch,roger vadim,lionel chetwynd,the hot touch,roger vadim,\N,the hot touch,roger vadim,lionel chetwynd
tt0083001,roar,noel marshall,noel marshall,roar,noel marshall,noel marshall,roar,noel marshall,noel marshall; ted cassidy,roar,noel marshall,noel marshall
tt0083853,dreams come true,max kalmanowicz,steve kinjerski,dreams come true,max kalmanowicz,\N,dreams come true,max kalmanowicz,steve kinjerski,dreams come true,max kalmanowicz,steve kinjerski
tt0084547,przekleta ziemia,ryszard czekaa,ryszard czekaa; stanisaw srokowski,\N,ryszard czekaa,ryszard czekaa,przekleta ziemia,ryszard czekaa,\N,przekleta ziemia,ryszard czekaa,ryszard czekaa; stanisaw srokowski
tt0084857,things past,bas van der lecq; bram van erkel; roy logger,\N,\N,bram van erkel,judith herzberg,things past,bas van der lecq; bram van erkel; roy logger,\N,things past,bas van der lecq; bram van erkel; roy logger,bas van der lecq; judith herzberg; roy logger
tt0085234,betrayal,david hugh jones,harold pinter,betrayal,david hugh jones,harold pinter,betrayal,david hugh jones,harold pinter,betrayal,david hugh jones,harold pinter
tt0085527,the very late afternoon of a faun,vera chytilova,ester krumbachova; vera chytilova,the very late afternoon of a faun,vera chytilova,ester krumbachova; vera chytilova,faunovo velmi pozdni odpoledne,vera chytilova,ester krumbachova; jiri brdecka; vera chytilova,the very late afternoon of a faun,vera chytilova,ester krumbachova; vera chytilova
tt0085922,honeymoon,nikola babic,nikola babic,medeni mjesec,nikola babic,zeljko senecic,medeni mjesec,nikola babic,nikola babic; zvonimir majdak,honeymoon,nikola babic,nikola babic
tt0086218,"run rebecca, run!",peter maxwell,\N,"run rebecca, run",peter maxwell,\N,"run rebecca, run!",peter maxwell,\N,"run rebecca, run!",peter maxwell,\N
tt0086550,vive la sociale !,gerard mordillat,gerard mordillat; louischarles sirjacq,vive la sociale!,gerard mordillat,gerard mordillat; jacques audiard; louischarles sirjacq,vive la sociale !,gerard mordillat,\N,vive la sociale !,gerard mordillat,gerard mordillat; louischarles sirjacq
tt0086962,biberspur,walter beck,gudrun deubener; walter beck,\N,\N,\N,biberspur,walter beck,\N,biberspur,walter beck,gudrun deubener; walter beck
tt0088344,the vengeance of the winged serpent,gerard oury,daniele thompson; gerard oury,la vengeance du serpent a plumes,gerard oury,gerard oury,la vengeance du serpent a plumes,gerard oury,daniele thompson; gerard oury,the vengeance of the winged serpent,gerard oury,daniele thompson; gerard oury
tt0089103,staircase c,jeancharles tacchella,elvire murail; jeancharles tacchella,escalier c,jeancharles tacchella,elvire murail; jeancharles tacchella,escalier c,jeancharles tacchella,elvire murail; jeancharles tacchella,staircase c,jeancharles tacchella,elvire murail; jeancharles tacchella
tt0089467,leave all fair,john reid,jean betts; maurice pons; stanley harper,leave all fair,john reid,\N,leave all fair,john reid,jean betts; maurice pons; stanley harper,leave all fair,john reid,jean betts; maurice pons; stanley harper
tt0089945,rustlers' rhapsody,hugh wilson,hugh wilson,rustlers' rhapsody,hugh wilson,hugh wilson,rustlers' rhapsody,hugh wilson,hugh wilson,rustlers' rhapsody,hugh wilson,hugh wilson
tt0090022,silverado,lawrence kasdan,lawrence kasdan; mark kasdan,silverado,lawrence kasdan,lawrence kasdan,silverado,lawrence kasdan,lawrence kasdan; mark kasdan,silverado,lawrence kasdan,lawrence kasdan; mark kasdan
