movie_title,directors_names,writers_names
Bubi,Béla Gaál,"Max Colpet, Felix Jackson"
Liebe kann lügen,Heinz Helbig,"Fred Andreas, Erich Ebermayer, Franz Wallner-Basté"
You're in the Army Now,Raoul Walsh,"Lesser Samuels, Ralph Gilbert Bettison, Austin Melford, Bryan Edgar Wallace"
Wives Under Suspicion,James Whale,"Myles Connolly, Ladislas Fodor"
The Minister's Friend,Viktor Bánky,"Viktor Bánky, István Békeffy"
Mystery Plane,George Waggner,"Paul Schofield, George Waggner, Hal Forrest"
Military Academy,D. Ross Lederman,"Karl Brown, David Silverstein, Richard English"
Thou Shalt Not Kill,John H. Auer,"Robert Presnell Sr., George Carleton Brown"
Margherita and Her Three Uncles,Ivo Perilli,"Nicola Manzari, Renato May, Fritz Schwiefert"
Those Were The Days; Senor Don Simon!,Julio Bracho,"Neftali Beltrán, Julio Bracho"
Battle Troop,Kajirō Yamamoto,Kajirō Yamamoto
A Sight of Light,Rafael Gil,"Wenceslao Fernández Flórez, Rafael Gil"
Idyll in Mallorca,Max Neufeld,"Félix Aguilera, Max Neufeld"
Man from Headquarters,Jean Yarbrough,"John W. Krafft, Edmond Kelso, Rollo Lloyd"
Private Snuffy Smith,Edward F. Cline,"Billy DeBeck, John Grey, Jack Henley, Lloyd French, Doncho Hall"
Kyläraittien kuningas,Jorma Nortimo,"Kaarle Halme, Kalle Kaarna"
Cowboy Blues,Ray Nazarro,J. Benton Cheney
Earl Carroll Sketchbook,Albert S. Rogell,"Frank Gill Jr., Parke Levy"
A Guy Could Change,William K. Howard,"F. Hugh Herbert, Al Martin"
Renegades,George Sherman,"Harold Shumate, Melvin Levy, Francis Edward Faragoh"
One Between the Crowd,Ennio Cerlesi,"Ennio Cerlesi, Massimo Rendina, Piero Tellini"
Jinx Money,William Beaudine,"Edmond Seward, Tim Ryan, Gerald Schnitzer, Jerome T. Gollard"
El Paso,Lewis R. Foster,"Lewis R. Foster, J. Robert Bren, Gladys Atwater"
The Law of the Jungle,Hasan El-Emam,Hasan El-Emam
This Is Korea!,John Ford,James Warner Bellah
Champ for a Day,William A. Seiter,"Irving Shulman, W.G. Fay"
Genkai no wani,\N,\N
Resan till dej,Stig Olin,"Stig Olin, Hasse Ekman"
Anupama,Agradoot,\N
La gitana y el charro,Gilberto Martínez Solares,"Jesús María de Arozamena, José María Fernández, Blanca Estela Limón"
Land of the Pharaohs,Howard Hawks,"William Faulkner, Harry Kurnitz, Harold Jack Bloom"
Crowded Paradise,Fred Pressburger; Ben Gradus,"Marc Connelly, Arthur Forrest"
Early Spring,Yasujirō Ozu,"Kōgo Noda, Yasujirō Ozu"
Mad Little Island,Michael Relph,"Compton MacKenzie, Monja Danischewsky"
Teenagers from Outer Space,Tom Graeff,Tom Graeff
Atom Age Vampire,Anton Giulio Majano,"Piero Monviso, Gino De Santis, Alberto Bevilacqua, Anton Giulio Majano"
Watch It; Sailor!,Wolf Rilla,"Falkland L. Cary, Philip King"
The Notorious Landlady,Richard Quine,"Larry Gelbart, Blake Edwards, Margery Sharp"
The Condemned of Altona,Vittorio De Sica,"Cesare Zavattini, Abby Mann, Jean-Paul Sartre"
Cinderella,\N,Charles Perrault
From Russia with Love,Terence Young,"Richard Maibaum, Johanna Harwood, Ian Fleming, Berkely Mather"
Island of Love,Morton DaCosta,"David R. Schwartz, Leo Katcher"
I cento cavalieri,Vittorio Cottafavi,"Vittorio Cottafavi, Giorgio Prosperi, José María Otero, Enrico Ribulsi, Antonio Eceiza, José Luis Guarner"
The Collector,William Wyler,"John Fowles, John Kohn, Stanley Mann, Terry Southern"
Conjugal Pleasures,Luis Saslavsky,"Carlos Llopis, Abel Santa Cruz, Luis Saslavsky"
L'or du duc,Jacques Baratier,"Jacques Baratier, Eric Ollivier"
The Whisperers,Bryan Forbes,"Robert Nicolson, Bryan Forbes"
Calamity the Cow,David Eastman,"David Eastman, Kerry Eastman"
Um Campista em Apuros,Herlander Peyroteo,"Herlander Peyroteo, Jorge Walger, César de Oliveira"
An Italian in America,Alberto Sordi,"Alberto Sordi, Rodolfo Sonego"
Kommissar X - Drei blaue Panther,Gianfranco Parolini,"Gianfranco Parolini, Günter Rudorf, Giovanni Simonelli, Paul Alfred Müller"
Blood of the Virgins,Emilio Vieyra,Emilio Vieyra
Dark of the Sun,Jack Cardiff,"Ranald MacDougall, Adrian Spies, Wilbur Smith"
Isle of the Snake People,Juan Ibáñez; Jack Hill,"Jack Hill, Juan Ibáñez, Luis Enrique Vergara"
Komedi i Hägerskog,Torgny Anderberg,"Torgny Anderberg, Artur Lundkvist"
It's Your Move,Roberto Fizz,"Massimiliano Capriccioli, Tito Carpi, Juan Cesarabea, Ennio De Concini, Roberto Fizz, José Gutiérrez Maesso, Luciano Martino, Leonardo Martín"
Vedove inconsolabili in cerca di... distrazioni,Bruno Gaburro,"Gianluigi Anelli, Bruno Gaburro, Giacomo Gramegna"
Poppea's Hot Nights,Guido Malatesta,"Gianfranco Clerici, Guido Malatesta"
Death Rides a Horse,Giulio Petroni,Luciano Vincenzoni
The Sweet Body of Deborah,Romolo Guerrieri,"Ernesto Gastaldi, Luciano Martino"
The Mighty Gorga,David L. Hewitt,"David L. Hewitt, Jean Hewitt, Robert Vincent O'Neil"
La tonta del bote,Juan de Orduña,"Rafael J. Salvia, Eloy Herrera Santos, Pilar Millán Astray, Margarita Robles"
Nihon jokyo-den: ketto midare-bana,Kōsaku Yamashita,Tatsuo Nogami
Russkoye pole,Nikolay Moskalenko,Mikhail Alekseyev
Who is Beta?,Nelson Pereira dos Santos,"Gerard Leclery, Levi Menezes, Nelson Pereira dos Santos"
Sattar khan,Ali Hatami,Ali Hatami
Ambush,Meng-Hua Ho,Yang Chiang
Facets of Love,Han Hsiang Li,Han Hsiang Li
Gordon's War,Ossie Davis,"Howard Friedlander, Ed Spielman"
Can You Keep It Up for a Week?,Jim Atkinson,Hazel Adair
The Wonderful Crook,Claude Goretta,"Charlotte Dubreuil, Claude Goretta"
Rivals of Kung Fu,Fung Wong,Fung Wong
Three the Hard Way,Gordon Parks Jr.,"Eric Bercovici, Jerry Ludwig"
Amore mio spogliati... che poi ti spiego!,Fabio Pittorru; Renzo Ragazzi,Fabio Pittorru
Fem dagar i Falköping,Marianne Ahrne,"Marianne Ahrne, Bertrand Hurault"
The Demon Lover,Donald G. Jackson; Jerry Younkins,"Donald G. Jackson, Jerry Younkins"
Aurel Vlaicu,Mircea Dragan,Eugenia Busuioceanu
Bluff Stop,Jonas Cornell,Jonas Cornell
Emily,Henry Herbert,Christopher Neame
Stay as You Are,Alberto Lattuada,"Paolo Cavara, Enrico Oldoini, Alberto Lattuada"
Perro callejero II,Gilberto Gazcón,Gilberto Gazcón
Denver,Carles Balagué,"Carles Balagué, José María Latorre"
The Hot Touch,Roger Vadim,"Peter Dion, Jean-Yves Pitoun, Lionel Chetwynd"
Roar,Noel Marshall,"Noel Marshall, Ted Cassidy"
Dreams Come True,Max Kalmanowicz,Steve Kinjerski
Przekleta ziemia,Ryszard Czekala,"Ryszard Czekala, Stanislaw Srokowski"
Het verleden,Bram van Erkel; Roy Logger; Bas van der Lecq,"Judith Herzberg, Roy Logger, Geert van Oorschot, Bas van der Lecq"
Betrayal,David Hugh Jones,Harold Pinter
The Very Late Afternoon of a Faun,Vera Chytilová,"Jiří Brdečka, Vera Chytilová, Ester Krumbachová"
Honeymoon,Nikola Babic,"Nikola Babic, Zvonimir Majdak"
Run Rebecca; Run,Peter Maxwell,"Charles Stamp, Gary Deacon"
Vive la sociale!,Gérard Mordillat,"Jacques Audiard, Gérard Mordillat, Louis-Charles Sirjacq"
Biberspur,Walter Beck,"Walter Beck, Gudrun Deubener"
La vengeance du serpent à plumes,Gérard Oury,"Gérard Oury, Danièle Thompson"
Escalier C,Jean-Charles Tacchella,"Elvire Murail, Jean-Charles Tacchella"
Leave All Fair,John Reid,"Stanley Harper, Maurice Pons, Jean Betts, John Reid"
Rustlers' Rhapsody,Hugh Wilson,Hugh Wilson
Silverado,Lawrence Kasdan,"Lawrence Kasdan, Mark Kasdan"
Shao ye de mo nan,Yigong Wu; Jianya Zhang,"Mingzhi Ai, Minsan Si, Hans Borgelt, Heinz Freitag, Jules Verne"
Dust Devil,Kianoush Ayari,Kianoush Ayari
The Outing,Tom Daley,Warren Chaney
Fermín Salvoechea: visto para sentencia,M. Carlos Fernández,\N
Penitentiary III,Jamaa Fanaka,Jamaa Fanaka
Teresa,Dino Risi,"Graziano Diana, Dino Risi, Bernardino Zapponi"
Zivot radnika,Miroslav Mandic,"Haris Kulenovic, Emir Kusturica, Miroslav Mandic"
Soltana,Paul Harather,\N
A Taste of Hemlock,Geoffrey Darwin,"Pauline Macaulay, Eric Tynan Young"
Der Untergang des goldenen Webstuhls,Franz Winzentsen,"Hermann Kasack, Franz Winzentsen"
Blood Red,Peter Masterson,Ron Cutler
Curfew,Gary Winick,Kevin Kennedy
Lost Souls,David Lai,Barry Wong
Le bal du gouverneur,Marie-France Pisier,Marie-France Pisier
Moya moryachka,Anatoly Eyramdzhan,Anatoly Eyramdzhan
Street Asylum,Gregory Dark,"Gregory Dark, John Powers"
Where Eagles Fly,Uri Barbash,"Benny Barbash, Assi Dayan"
Alice in Wondertown,Daniel Díaz Torres,"Aldo Busto Hernández, Luis Felipe Calvo Bolaños, Daniel Díaz Torres, Jesús Díaz, Eduardo del Llano"
Nothing But Lies,Paule Muret,"Paule Muret, Jean-François Goyet"
Betty,Claude Chabrol,"Claude Chabrol, Georges Simenon"
The Silent Thrush,Sheng-Fu Cheng,"Sheng-Fu Cheng, Kang-Nien Li, Yan Ling, Chi-Wei Yu"
Aankhen,David Dhawan,Anees Bazmee
India,Paul Harather,"Josef Hader, Alfred Dorfer, Paul Harather"
The Last Wargame,David Spell,\N
The Incorruptible,Ying-Lok Lee,Man Fai Ng
Shen tan gan shi lu,Kin-Kwok Lai,Ella Bo-wah Chan
Taxi Dancers,Norman Thaddeus Vane,Norman Thaddeus Vane
Enter Achilles,Clara van Gool,\N
Paradjanov: A Requiem,Ron Holloway,\N
Pitra; Putra Aur Dharamyuddha,Anand Patwardhan,Anand Patwardhan
Uttoran,Sandip Ray,Satyajit Ray
From the Same Family,Gwing-Gai Lee,Gwing-Gai Lee
Love Is Blind,Denis Piel,\N
Target,Sandip Ray,"Sandip Ray, Satyajit Ray, Prafulla Roy"
On Guard,Philippe de Broca,"Philippe de Broca, Jean Cosmos, Paul Féval, Jérôme Tonnerre"
The Journey,Harish Saluja,"Lisa Kirk Colburn, Renee De Palma, Diana Osberg, Harish Saluja"
XXL,Ariel Zeitoun,Florence Quentin
Complica,\N,\N
It Rains in My Village,Aleksandar Petrović,Aleksandar Petrović
Lip Service,Shaun Costello,Shaun Costello
Het snö,Torbjörn Axelman,"Sandro Key-Åberg, Torbjörn Axelman, Henry Sidoli"
La mondana nuda,Sergio Bergonzelli; Vural Pakel,\N
The Last Insult,Mikhail Doronin,Aleksandr Dubrovskiy
Smotri v oba!,Eldor Urazbaev,Aleksandr Borodyanskiy
Nach dem Gesetz,Willy Grunwald,Louis Levy
Halt; or I'll Miss!,Jirí Chlumský,"Jirí Sebánek, Miloň Čepelka"
The Promise,Vasilis Georgiadis,Nikos Foskolos
Nice - À propos de Jean Vigo,Manoel de Oliveira,\N
Emil Habibi: I Stayed in Haifa,Dalia Karpel,\N
Port Holes,Buck Adams,Mark Weiss
Jealousy,G.B. Samuelson,"John McNally, G.B. Samuelson"
Tied; Trained and Transformed,Richard Rank,"Larry M. Burton, Kurt Clemmens, Sam Menning"
Le gendarme est sans pitié,Claude Autant-Lara,\N
Sundari,Aspi Irani,\N
Maxim's Porter,Henri Diamant-Berger,"Henri Diamant-Berger, François Jérôme, Yves Mirande"
Quai du Point-du-Jour,Jean Faurez,"Raymond Bussières, Jacques Celhay, Jean Faurez"
Domenica,Maurice Cloche,"Maurice Cloche, Jacques Deval"
Folk Dances of India,Mohan Dayaram Bhavnani,\N
An Environment,Santi P. Choudhury,\N
In Her Defense,Sidney J. Furie,"Marc Lynn, Jeffrey M. Rosenbaum"
Minuit... Champs-Elysées,Roger Blanc,"Roger Blanc, Jacques Celhay, Pierre Gaurier"
Pomme d'amour,Jean Dréville,"Robert Paul, Raoul Ploquin, Charles d'Abadie, Raymond de Cesse"
Princesse; à vos ordres!,Hanns Schwarz; Max de Vaucorbeil,"Jean Boyer, Paul Frank, Robert Liebmann, Billy Wilder"
Barriotonia,Kikol Grau,\N
Early Bird Special,Mark Jean,Hillary Seitz
Horse Play,Mario Falcon,\N
Republikaner,Petra Schmidt; Peter Würth,"Petra Schmidt, Peter Würth"
The Killings at Outpost Zeta,Robert Emenegger; Allan Sandler,"Peter Dawson, Allan Sandler, Robert Emenegger"
Place in the Crowd,Zbyněk Brynych; Václav Gajer; Václav Krška,Antonín Mása
Pesnya zovet,Shaken Ajmanov,"Shaken Ajmanov, Kapan Satybaldin, Maro Yerzinkyan"
Gwiazdy musza plonac,Witold Lesiewicz; Andrzej Munk,"Witold Lesiewicz, Karol Malcuzynski, Andrzej Munk"
Nad námi svítá,Jiří Krejčík,"Jiří Krejčík, Jiří Marek"
Poteryannaya fotografiya,Lev Kulidzhanov,\N
Black Flamingos - Sie lieben euch zu Tode,Houchang Allahyari,Harald Posch
Korenite na izgryavashtoto slantze,Vulo Radev,Vulo Radev
Seraya bolezn,Yakov Segel,"Aleksandr Misharin, Yakov Segel, Andrey Veytsler"
Margarita; Armando y su padre,Francisco Múgica,"Enrique Jardiel Poncela, Francisco Múgica"
Something Organic,Bertrand Bonello,Bertrand Bonello
Brook,Luis Moglia Barth,"José Bustamante Balliban, Luis Moglia Barth"
Perjurer,Raphael J. Sevilla,"Marco Aurelio Galindo, Antonio Guzmán Aguilera"
Women Talking Dirty,Coky Giedroyc,Isla Dewar
In China They Eat Dogs,Lasse Spang Olsen,Anders Thomas Jensen
Köyde Bir Kiz Sevdim,Türker Inanoglu,\N
La parte più appetitosa del maschio,Lorenzo Magnolia,Giovanni Simonelli
Birakin Yasasinlar,Melih Gülgen,Melih Gülgen
Jinnah,Jamil Dehlavi,"Akbar Ahmed, Jamil Dehlavi, Farrukh Dhondy"
The Goddess of Mercy,Won-shik Lim; Shin Sang-ok,Liuzhao Wang
Love Is Thicker Than Wine,Joseph Kuo,"Yao Chiung, Chang-Po Liu"
Aladdin's Lamp,Natuk Baytan,Natuk Baytan
Vidas Solidárias,Moacyr Fenelon,"Moacyr Fenelon, Paulo Machado, Arnaldo de Farias"
Wayfarer,Torben Skjødt Jensen,\N
Bai mu mi zong zhang,Zhigang Feng,\N
Beefcake,Thom Fitzgerald,"Thom Fitzgerald, Valentine Hooven"
Siempre te amaré,Leo Fleider,"Jorge Falcón, Leo Fleider"
Clarice,Sean Kirby,\N
Partners in Crime,Jim Travis,\N
She's So Fine!,Henri Pachard,Dick Thomas
La goutte de sang,Jean Epstein; Maurice Mariaud,Jules Mary
Simão; o Fantasma Trapalhão,Paulo Aragão,Renato Aragão
Xia shi zhui ming ke,Tseng-Chai Chang,\N
Thousands of Miles,Derek Lebrero,Derek Lebrero
Das Wunder des Schneeschuhs; 2. Teil - Eine Fuchsjagd auf Skiern durchs Engadin,Arnold Fanck,Arnold Fanck
Night Wings,Demetrios Tsoulos,Demetrios Tsoulos
Tonight,\N,\N
À nous deux; madame la vie,René Guissart; Yves Mirande,Yves Mirande
The Man Who Fell in Love with a Traffic Cone!,Andrew Hindle,Andrew Hindle
The Rebel,Adelqui Migliar,"Martin Brown, Louise Long, Benno Vigny, Lajos Zilahy"
Campaign in Poland,Fritz Hippler; Leni Riefenstahl,\N
Esta É a Minha Casa,João Pedro Rodrigues,"Amândio Coroado, João Pedro Rodrigues"
What Price Honesty?,Hao-Chuan Yuan,"Kuang Ni, Hao-Chuan Yuan"
Yepeto,Eduardo Calcagno,"Eduardo Calcagno, Roberto Cossa"
Vysokaya krov,Viktor Turov; Zygmunt Malanowicz,"Ilya Kashafutdinov, Zygmunt Malanowicz, Viktor Turov"
Sex and Life,Karl-Heinz Frank; Ryūichi Takamori,\N
Feng qiu feng,Pingqian Li,\N
Zhi ai qin peng,Yu Huang; Sun-Fung Lee,"Sun-Fung Lee, Zhaoxiong Li"
A Woman of No Importance,Jean Choux,"Charles Spaak, Oscar Wilde"
Folies anales,Jean Rollin,\N
Gold; Glory and Custer,George Waggner,Gerald Drayson Adams
Cuba Dances,Julio García Espinosa,\N
Roi de Camargue,Jacques de Baroncelli,"Jean Aicard, Henri Decoin"
Bunny and Clod,Robert A. Poore,\N
Neeya,Durai,\N
Past in Perspective,Adoor Gopalakrishnan,\N
Dinner and a Movie,Lisa Kors,Lisa Kors
Mera Karam Mera Dharam,Dulal Guha,"Shafiq Ansari, Nabendu Ghosh, Raj Kumar Moitra"
Everything for Everybody,John Amero; Jack Bravman,"John Amero, Jack Bravman"
A Ghost of a Chance,Gorton Hall,Gorton Hall
Disco 9000,D'Urville Martin,"Demetrius Johnson, John Poole, Roland S. Jefferson"
The History of Pornography,Bob Chinn,Bob Chinn
Kinderen met een schisis,Hans Quatfass,\N
Yes or No; Jean-Guy Moreau,Michael Rubbo,"Michael Rubbo, Jean-Guy Moreau, Jacqueline Barrette, Mark Bradley"
Children of God,Karsten Baagø; Claus Klok,Claus Klok
Secret Book: Peeled Egg,Shōgorō Nishimura,Akane Shiratori
Il lungo inverno,Ivo Barnabò Micheli,Ivo Barnabò Micheli
Eisai stin EOK; pathe gia tin EOK,Dimis Dadiras,Giorgos Mylonas
Kaule,Rainer Bär,"Margot Beichler, Rainer Bär, Alfred Wellm"
Siraj,Bhupen Hazarika,\N
Goodbye CP,Kazuo Hara,\N
Le silence des organes,Jean-Noël Cristiani,Jean-Noël Cristiani
Sonba Ane Roopba,Krishnakant,\N
Adhipathi,Sibi Malayil,\N
Mischa,David Vaisbord,"Andrew Gardner, David Vaisbord"
Munda Bigra Jaye,Shamim Ara,Dabirul Hassan
Wild Sex of the Children of the Night,Levi Salgado,Levi Salgado
Janjir Ne Jankare,Harshadrai Sakerlal Mehta,"Chimanlal Luhar, Champsi Udeshi"
Les sentiers du petit bonheur,Anne Lapied; Erik Lapied,"Anne Lapied, Erik Lapied"
Dracula's Death,Károly Lajthay,"Michael Curtiz, Károly Lajthay, Bram Stoker"
Har Har Gange,Babubhai Mistry,\N
The Smut Peddler,William Rose,\N
Interrupted Song,Nikoloz Sanishvili; Frantisek Zácek; Frantisek Sádek,"Konstantine Lortkipanidze, Albert Marencin, Nikoloz Sanishvili"
Babel 78,Plume Latraverse,\N
The Bench,Per Fly,"Kim Leona, Per Fly"
Dakshayagnam,Kadaru Nagabhushanam,Arudra
Mahatma Kabirdas,Ananthanarayanan Narayan,\N
The Recruit,Graham Baker,\N
La buscona,Emilio Gómez Muriel,Alfredo Ruanova
No te dejaré nunca,Francisco Elías,\N
The Cuban Missile Crisis: 1962,\N,\N
Afigisi/Peripeteia/Glossa/Siopi,Maria Gavala,"Maria Gavala, Theodoros Soumas"
L'anello di Siva,Augusto Genina,\N
Inek Saban,Osman F. Seden,Osman F. Seden
Utharam,V.K. Pavithran,"M.T. Vasudevan Nair, Daphne Du Maurier"
The Anniversary Party,Alan Cumming; Jennifer Jason Leigh,"Jennifer Jason Leigh, Alan Cumming"
Grihapravesham,L.V. Prasad,Tripuraneni Gopichand
Secret Network,Jean-Claude Roy,\N
Thalavattam,Priyadarshan,Priyadarshan
Macha Rekai,P. Pullaiah,\N
Bruma Seca,Mário Civelli,"Mário Brasini, Pola Civelli"
Sundara Kanda,K. Raghavendra Rao,"Bhagyaraj, Paruchuri Venkateswara Rao, Gopalakrishna Paruchuri"
Tierra sangrienta,Rafael Portillo,"José Castro, Fernando Osés"
Pelli Kanuka,Kodi Ramakrishna,\N
The Foul King,Kim Jee-woon,"Kim Dae-woo, Kim Jee-woon"
Bangaru Babu,Rajendra Prasad V.B.,"Acharya Athreya, Rajendra Prasad V.B."
Ploshchad Vosstaniya,Boris Tokarev,"Boris Tokarev, Yuriy Yakovlev"
Pryzhok,Nikolai Maletsky,Yuriy Vizbor
Wild Criminal,Hide,\N
Architektuur; kunst der ruimte,Paul Haesaerts,\N
Sringara Masa,Pattabhi Rama Reddy,\N
Solo y conmigo,Carlos Lozano Dana,Carlos Lozano Dana
Le trou du diable,Richard Lavoie,\N
Kobbari Bondam,Raviteja K.,"Diwakar Babu, S.V. Krishna Reddy"
Thirrja,Fehmi Hoshafi,Kujtim Gjonaj
Love After School,\N,\N
Historia de un canalla,Julio Bracho,"Julio Bracho, José María Fernández Unsáin, Federico Sodi"
Kinali Yapincak,Orhan Aksoy,Bülent Oran
Saladin,Ibrahim Lama,\N
Situation du théâtre au Québec,Jacques Gagné,Jacques Gagné
The Pool,Boris von Sychowski,"Lorenz Stassen, Boris von Sychowski, Andreas Bütow, Ryan Carrassi"
Les frères Gravet,René Féret,René Féret
De läckra skaldjuren,Pauline Brunius,\N
Veinticuatro horas de vida,Arturo Martínez,"Manuel Canseco Noriega, Raúl de Anda"
Enikkum Oru Divasam,Sreekumaran Thampi,Sreekumaran Thampi
Mataron a Venancio Flores,Juan Carlos Rodríguez Castro,Rolando Speranza
Virgins,Glenn Mobley,"Glenn Mobley, Tom Rule"
Der Glanz von Berlin,Judith Keil; Antje Kruska,\N
Mikkel,Jørgen Roos; Carl Weismann,"Jørgen Roos, Carl Weismann"
A Village Tale,Joy Perino,\N
Ölümün ücreti,Cevat Sahiner; Feyzi Tuna,\N
Minor Mishaps,Annette K. Olesen,Kim Fupz Aakeson
Otte hundrede akkorder,\N,\N
La ley del monte,Alberto Mariscal,"Pedro Antonio de Alarcón, Rafael García Travesi"
Wet Grass and Leaves,Jeong-su Lim,\N
Wedding Day,Eung-cheon Kim,Yeong-jin Oh
Med prins Wilhelm på afrikanska jaktstigar,\N,\N
Derzost,Georgi Yungvald-Khilkevich,Vasil Zemlyak
La pistolera,Mario Hernández,"Rafael Buendía, Jorge Patiño"
Lasset die Kleinen zu mir kommen,Max Neufeld,Fritz Löhner-Beda
Unser Mann aus Cernowitz,Peter Leippe,Peter Leippe
Two Husbands,Yu Hyun-mok,Bong-seung Shin
The Bloody Money,Orhon M. Ariburnu,"Orhon M. Ariburnu, Safa Önal"
The Guest Who Came on the Last Train,Yu Hyun-mok,Seong-won Hong
Slim Susie,Ulf Malmros,"Ulf Malmros, Petteri Nuottimäki"
La mujer y el jockey (Hipódromo),José Suárez,Antonio Botta
Red Cherry 2,Ho-tae Park,Seong-su Heo
Les louves,Robert Boudrioz,Robert Boudrioz
Orient - Die Tochter der Wüste,Gennaro Righelli,"Nunzio Malasomma, Gennaro Righelli"
Kara atmaca'nin intikami,Nisan Hançeryan,Suavi Sualp
Kongresi i unifikimit të rinisë,\N,\N
Outsider,Walter Toschi,Bruno Mattei
Yuen ban yau take 2,Marco Mak,Sharon Hui
Një jetë më shumë,Gëzim Erebara; Gavrosh Haxhihyseni,"Gëzim Erebara, Luan Rama"
The Eccentric General and His Men,Shin-myeong Lee,Bong-seung Shin
Kaderim böyle imis,Nejat Saydam,Hüseyin Peyda
Witness,Viji Thampi,"Jagathy Sreekumar, Ranjith, Viji Thampi, John Paul, Kaloor Dennis"
His Cavalryman,Nusret Eraslan,Nusret Eraslan
Puthran,Jude Attippatti,P.F. Mathews
Florida Bush League Wrestling: The Movie,Marq Morrison; Ren Morrison,Ren Morrison
Ismail Yassine for Sale,Houssam El-Din Mustafa,Kamel El Hefnawy
Why?,Park Nou-sik,Il-su Yu
Laguna Beach: A Love Affair,Thor Stephens,Beau Wade
Punla,Robert B. Abihay; Cesar Aquino,"Dennis C. Evangelista, Karlo Montero"
A Walk Among the Tombstones,Scott Frank,"Lawrence Block, Scott Frank"
Chatpati,V. Ravindra,\N
...Y pasa la comparsa,Albert Arliss,\N
Getting Out of Rhode Island,Christian de Rezendes,\N
Dobol trobol,Jose De Villa,\N
The Last Day,Michael Heimark,"Michael Heimark, Jakob Mikkelsen"
Letter TV - ST,Jamie Cope; Frank Panucci,\N
Musmos,Jose Dagumboy,Bert Dueñas Jr.
Barry,Sara Blecher,"Malcolm Kohll, Marsha Levin"
Votre enfant m'intéresse,Jean-Michel Carré,"Patricia Agostini, Jean-Michel Carré, Nicolas Sandret"
Amar Shaheed,\N,\N
Ek Jaan Hain Hum,Rajiv Mehra,\N
Seine Beichte (Bekenntnisse eines Lebemannes),Hubert Moest,"Bobby E. Lüthge, Jolanthe Marés"
Before the Fall,Dennis Gansel,"Dennis Gansel, Maggie Peren"
